tag,files,tt_files,tt_line_count,tt_sum_s,tt_mean_s,tt_min_s,tt_max_s,rate_hz_per_event,rate_times_tt_sum,expected_files_from_normalization,warnings
alpha,1,1,1,18.2946,18.2946,18.2946,18.2946,0.054660938200343276,1.0,1,
eminus,1,1,1,18.3169,18.3169,18.3169,18.3169,0.054594390972271506,1.0,1,
eplus,1,1,1,18.4086,18.4086,18.4086,18.4086,0.05432243625262106,1.0,1,
gamma,12,12,12,18.431889999999996,1.535990833333333,1.52799,1.55001,0.054253796002471814,1.0,12,
muminus,1,1,1,18.5334,18.5334,18.5334,18.5334,0.05395664044373941,1.0,1,
muplus,1,1,1,17.6362,17.6362,17.6362,17.6362,0.056701557024755905,1.0,1,
n,1,1,1,18.4041,18.4041,18.4041,18.4041,0.05433571867138301,1.0,1,
p,1,1,1,18.4169,18.4169,18.4169,18.4169,0.05429795459605037,1.0,1,
