case,idx,stream,tag,local_id,rate_s-1,tes_total_keV,bgo_total_keV,x,y,z,layer,local_x_m45,local_y_m45,local_z_m45,n_pix,source_file
current_prompt_final,22188,prompt,eplus,71871,0.0006792218562725798,510.99890000000005,0.0,-5.923279440996683,-0.1929248221784078,-1.5221804950022009,0.0,-3.1120469093856657,-0.1929248221784078,-5.264735209797568,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
current_prompt_final,23206,prompt,eplus,87905,0.0006792218562725798,510.99893900000006,0.0,-5.46825601540428,1.4640424049019813,-1.1134580589246683,0.0,-3.079307165724053,1.4640424049019813,-4.653974653788939,3,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
current_prompt_final,25468,prompt,eplus,123384,0.0006792218562725798,510.9989,0.0,-1.628297100017828,1.3797715833550717,-5.816134547785132,5.0,2.961248257823224,1.3797715833550717,-5.264008100241217,2,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
current_prompt_final,25659,prompt,eplus,126736,0.0006792218562725798,510.99889,0.0,-4.362435331126922,-0.9065629626325665,-3.5576286794796568,2.0,-0.5690842409238215,-0.9065629626325665,-5.600330969331436,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
current_prompt_final,28438,prompt,eplus,170761,0.0006792218562725798,510.99884000000003,0.0,-5.385102767265303,0.40480781209895506,-3.0161412090302195,1.0,-1.675108782198278,0.40480781209895506,-5.940576586041198,2,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
current_prompt_final,28464,prompt,eplus,171280,0.0006792218562725798,510.9989,0.0,-5.344827308371114,-1.2599658675441376,-2.612118448543627,1.0,-1.932316965792575,-1.2599658675441376,-5.6264103022479395,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
current_prompt_final,29418,prompt,eplus,186726,0.0006792218562725798,510.99892,0.0,-3.5992012946189784,-0.7247975784788078,-2.6098973487176447,2.0,-0.6995435288014429,-0.7247975784788078,-4.390495755759519,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
current_prompt_final,29437,prompt,eplus,187053,0.0006792218562725798,510.998919,0.0,-5.138343646774851,1.2752256746964703,-2.6149714906645274,1.0,-1.78429356304293,1.2752256746964703,-5.482421710359693,2,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
current_prompt_final,32387,prompt,eplus,234513,0.0006792218562725798,510.99889999999994,0.0,-2.6486442694093864,-1.063079168335392,-5.068963205869329,4.0,1.7114239326050376,-1.063079168335392,-5.45717258030557,2,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
current_prompt_final,32751,prompt,eplus,240403,0.0006792218562725798,510.99890000000005,0.0,-5.020787446645384,1.3740731316762131,-2.5595762151583887,1.0,-1.7403391517169482,1.3740731316762131,-5.360126549121537,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
current_prompt_final,33767,prompt,eplus,12294,0.0006792218562725798,510.99890999999997,0.0,-3.7623443366579785,-0.005806515012243385,-4.531805575759937,2.90266206242984,0.5440912600291976,-0.005806515012243385,-5.864849647248517,4,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz
current_prompt_final,36668,prompt,eplus,57164,0.0006792218562725798,510.9989,0.0,-3.0906145821865763,-0.17391665987349483,-5.625997224728468,4.0,1.7927862594440396,-0.17391665987349483,-6.163575317640353,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz
