case,cohort,source_name,source_file,local_id,leakage_class,has_tes_hit,stop_class,stop_process,stop_material,stop_volume,n_ia,n_cc_hits,n_segments_after_annihilation,path_length_total_cm,path_length_by_endpoint_material_cm,path_endpoint_material_sequence,cc_edep_total_keV,cc_edep_by_material_keV,shield_edep_keV,tes_edep_keV,first_primary_volume,last_primary_volume,primary_volume_sequence,path_cm_Ta/TES,path_cm_CsI,path_cm_Aluminium,path_cm_Copper,path_cm_W,path_cm_Be,path_cm_Kapton,path_cm_StainlessSteel,path_cm_LowCarbonSteel,path_cm_other,path_cm_unknown,edep_keV_Ta/TES,edep_keV_CsI,edep_keV_Aluminium,edep_keV_Copper,edep_keV_W,edep_keV_Be,edep_keV_Kapton,edep_keV_StainlessSteel,edep_keV_LowCarbonSteel,edep_keV_other,edep_keV_unknown,group
old,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,1814,,False,scattered/no TES,COMP,CsI,CsI_Active_Shield_Side03,6,22,1,2.3647709549341145,CsI:2.36,CsI,435.95533900000004,Aluminium:413; CsI:23.2,435.95533900000004,0.0,,,,0.0,2.3647709549341145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.21217,412.743169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_shielded
old,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,1845,,False,scattered/no TES,COMP,CsI,CsI_Active_Shield_Side05,7,18,1,11.162032247010398,CsI:11.2,CsI,311.054836001,CsI:292; Aluminium:19.2,311.054836001,0.0,,,,0.0,11.162032247010398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.816838,19.237998001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_shielded
old,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,1860,,False,absorbed before TES,PHOT,CsI,CsI_Active_Shield_Side00,14,37,10,34.52548073795536,CsI:34.5,CsI,529.92886123,CsI:511; Aluminium:18.9,529.92886123,0.0,,,,0.0,34.52548073795536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.99887,18.92999123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_shielded
old,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,1879,,False,scattered/no TES,COMP,Aluminium,Outer_Al_Mech_Shell,6,15,1,2.2606743522232478,Aluminium:2.26,Aluminium,82.21679672,Aluminium:82.2,82.21679672,0.0,,,,0.0,0.0,2.2606743522232478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.21679672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_shielded
old,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,1906,,False,scattered/no TES,COMP,Aluminium,Outer_Al_Mech_Shell,6,24,1,0.32609426443898076,Aluminium:0.326,Aluminium,253.89935717000003,Aluminium:254,253.89935717000003,0.0,,,,0.0,0.0,0.32609426443898076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.89935717000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_shielded
old,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,1920,,False,absorbed before TES,PHOT,CsI,CsI_Active_Shield_Side02,16,34,12,53.748233503502924,CsI:50.5; unknown:3.21,unknown -> CsI,759.35911743,CsI:511; Aluminium:248,759.35911743,0.0,,,,0.0,50.54073715276455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2074963507383756,0.0,510.998894,248.36022343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_shielded
old,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,1921,,False,absorbed before TES,PHOT,CsI,CsI_Active_Shield_Side05,14,30,10,13.989599451189758,CsI:14,CsI,519.0221416700001,CsI:511; Aluminium:8.02,519.02214167,0.0,,,,0.0,13.989599451189758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.9989900000001,8.02315167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_shielded
old,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,1922,,False,absorbed before TES,PHOT,CsI,CsI_Active_Shield_Side04,36,211,4,14.279685425991332,CsI:14.3,CsI,11961.847102538,Aluminium:7.69e+03; CsI:3.4e+03; Kapton:870,11961.847102537991,0.0,,,,0.0,14.279685425991332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3399.6371267300005,7691.944038927,0.0,0.0,0.0,870.2659368810001,0.0,0.0,0.0,0.0,old_shielded
old,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,1932,,False,absorbed before TES,PHOT,CsI,CsI_Active_Shield_Side00,10,32,6,5.523975374288654,CsI:5.52,CsI,547.1792793200001,CsI:511; Aluminium:36.2,547.17927932,0.0,,,,0.0,5.523975374288654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.99898800000005,36.180291319999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_shielded
old,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,1953,,False,absorbed before TES,PHOT,CsI,CsI_Active_Shield_Side02,9,25,5,81.12208847241452,CsI:46.8; other:34.3,other -> CsI,576.5116366,CsI:294; other:217; Aluminium:65.5,359.17008660000005,0.0,,,,0.0,46.81205163596121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.31003683645331,0.0,0.0,293.65742,65.5126666,0.0,0.0,0.0,0.0,0.0,0.0,217.34155,0.0,old_shielded
