case,cohort,source_file,local_id,parent_ia_id,child_ia_id,parent_process,child_process,length_cm,endpoint_material,endpoint_volume,endpoint_x_cm,endpoint_y_cm,endpoint_z_cm,nearest_cc_distance_cm,group
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,37120,5,8,PHOT,PHOT,0.0017114613638642712,Ta/TES,TP_L2_00062,-0.95736,0.73136,3.6959,4.06201920225713e-06,old_selected
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,73592,3,5,ANNI,COMP,16.32340300693149,Ta/TES,TP_L5_00099,-0.76697,0.26926,7.27586,7.4752926363331925e-06,old_selected
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,73592,3,6,ANNI,PHOT,16.434088559655507,Ta/TES,TP_L5_00022,-1.24545,0.08728,7.24051,3.606230719320432e-06,old_selected
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,73592,3,7,ANNI,PHOT,16.434088559655507,Ta/TES,TP_L5_00022,-1.24545,0.08728,7.24051,3.606230719320432e-06,old_selected
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,73592,7,8,PHOT,PHOT,0.015725205881005178,Ta/TES,TP_L5_00039,-1.23131,0.09408,7.23946,1.1872657663011267e-06,old_selected
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,73592,5,9,COMP,BREM,0.0004905099387370846,Ta/TES,TP_L5_00099,-0.76666,0.26895,7.27564,4.045985664506085e-06,old_selected
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,73592,9,10,BREM,PHOT,0.0012581732790041581,Ta/TES,TP_L5_00099,-0.76721,0.26793,7.27515,6.513063795000275e-06,old_selected
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,73592,9,11,BREM,PHOT,0.0012581732790041581,Ta/TES,TP_L5_00099,-0.76721,0.26793,7.27515,6.513063795000275e-06,old_selected
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,73592,11,12,PHOT,PHOT,0.00017291616465799208,Ta/TES,TP_L5_00099,-0.76736,0.26798,7.27522,4.601086828201713e-06,old_selected
old,selected,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,27173,3,5,ANNI,PHOT,15.815202000758637,Ta/TES,TP_L5_00059,-1.01089,0.30444,7.21136,3.522782990943372e-06,old_selected
