line,case,p0,p1,line_length_cm,material_cm,top_volume_chords_cm,ray_cm_Ta/TES,ray_cm_CsI,ray_cm_Aluminium,ray_cm_Copper,ray_cm_W,ray_cm_Be,ray_cm_Kapton,ray_cm_StainlessSteel,ray_cm_LowCarbonSteel,ray_cm_Nb,ray_cm_Cryoperm,ray_cm_Silicon,ray_cm_SilverSinterProxy,ray_cm_CuNi,ray_cm_G10,ray_cm_SaltProxy,ray_cm_CharcoalProxy,ray_cm_NbTiCableProxy,ray_cm_other
current_side_axis_centerline,current,"[-25.0, 0.0, -5.2]","[8.0, 0.0, -5.2]",33.0,Ta/TES:1.8; Copper:0.35; Silicon:0.18; Be:0.015; Aluminium:0.013,Cu_SubstrateSupport_SolidDisk_L0_deepest:0.35; TP_L0_00188:0.3; TP_L4_00188:0.3; TP_L5_00188:0.3; TP_L1_00188:0.3; TP_L2_00188:0.3; TP_L3_00188:0.3; Si_Substrate_Stack_side_entry_L2:0.03; Si_Substrate_Stack_side_entry_L3:0.03; Si_Substrate_Stack_side_entry_L4:0.03; Si_Substrate_Stack_side_entry_L5:0.03; Si_Substrate_Stack_side_entry_L0:0.03,1.800000000018004,0.0,0.01299999996900103,0.349999999998,0.0,0.014999999981999246,0.0,0.0,0.0,0.0,0.0,0.17999999998200122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_same_side_axis_centerline,old,"[-25.0, 0.0, -5.2]","[8.0, 0.0, -5.2]",33.0,SaltProxy:4.6; CsI:4; Copper:3.5; LowCarbonSteel:1.69; Aluminium:1.22; StainlessSteel:0.5; G10:0.16; W:0.06; Kapton:0.05,ADR_SaltPill_Proxy:4.6; CsI_Active_Shield_Side04:4; ADR_Magnet_Coil_Cu:3.1; ADR_Magnet_Yoke_Fe:1.69; ADR_HeatSwitch_Stainless_Link:0.5; Vacuum_Jacket_Al:0.4; ADR_SaltPill_Cu_Can:0.32; Thermal_4K_Al_Shield:0.24; Outer_Al_Mech_Shell:0.2; Support_G10_Post_B:0.16; Thermal_60K_Al_Shield:0.15; Vacuum_Jacket_Al_Reinforcement:0.12,0.0,3.999999999996001,1.2199999999769977,3.499999999979998,0.05999999999399919,0.0,0.04999999999499932,0.5000000000160028,1.6899999999959971,0.0,0.0,0.0,0.0,0.0,0.15999999998399966,4.600000000002001,0.0,0.0,0.0
current_side_axis_window_only,current,"[-14.2, 0.0, -5.2]","[-5.8, 0.0, -5.2]",8.399999999999999,Be:0.015; Aluminium:0.013,Win_Be_Vacuum_150um_side:0.015; Win_Outer_Al_Filter_side:0.003; Win_Still_Al_foil_side:0.0025; Win_60K_Al_foil_side:0.0025; Win_50mK_Al_foil_side:0.0025; Win_4K_Al_foil_side:0.0025,0.0,0.0,0.01300000000319988,0.0,0.0,0.014999999994000144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_corresponding_outer_to_inner,old,"[-16.0, 0.0, -5.2]","[-2.5, 0.0, -5.2]",13.5,CsI:4; Copper:1.63; LowCarbonSteel:1.17; Aluminium:1.1; StainlessSteel:0.25; G10:0.16; W:0.06; Kapton:0.05,CsI_Active_Shield_Side04:4; ADR_Magnet_Coil_Cu:1.55; ADR_Magnet_Yoke_Fe:1.17; Vacuum_Jacket_Al:0.4; ADR_HeatSwitch_Stainless_Link:0.25; Outer_Al_Mech_Shell:0.2; Support_G10_Post_B:0.16; Thermal_60K_Al_Shield:0.15; Vacuum_Jacket_Al_Reinforcement:0.12; Thermal_4K_Al_Shield:0.12; ActiveShield_Al_Backplane_Liner:0.11; Passive_Cu_Inner_Liner:0.08,0.0,4.0000000000095,1.0999999999935002,1.6300000000035,0.06000000000749964,0.0,0.050000000004,0.2499999999930002,1.170000000004501,0.0,0.0,0.0,0.0,0.0,0.16000000000199993,0.0,0.0,0.0,0.0
