particle,down_flux_cm2_s,up_flux_cm2_s,total_flux_cm2_s
gamma,1.186751447069e+00,3.612910130717e+00,4.799661577785e+00
n,1.245928402656e-01,3.376463419640e-01,4.622391822296e-01
eminus,7.748130318558e-02,1.215207413866e-01,1.990020445721e-01
eplus,4.821807714859e-02,6.876246857417e-02,1.169805457228e-01
p,8.926878476716e-02,2.303193686417e-02,1.123007216313e-01
alpha,1.122378657463e-02,2.633098756007e-04,1.148709645023e-02
muminus,4.133255593591e-03,8.356744287836e-04,4.968930022375e-03
muplus,4.648428808680e-03,9.215829573819e-04,5.570011766062e-03
