label,manifest,source_mode,n_pointsource_blocks,seed,sampling_rows,fixed_total_activity_Bq,sum_flux_check_Bq,sampling_status,top20_max_abs_sigma_delta,top20_expected_species_chi2,transport_status,transport_SE,transport_ID,transport_TE_s,step05_status,w2_prompt_cps,w2_delayed_cps,w2_background_cps,w2_signal_cps_at_1e_4,w2_signal_response_cps_per_ph_cm2_s,w2_signal_unit_eventlist_pass_rate_s-1,w2_signal_unit_area_proxy_cps_at_1e_4,w2_final_events,w2_delayed_events,step08_status,Z20d,F3_20d,has_transport_backed_rate
fullstat_v2_exactpos,runs/step02_delay_fix_v3p5_centerfinger_fullstat_v2_exactpos/exactpos_delayed_source_manifest.json,sampled_equal_flux_pointsource_blocks,5000,260613,253770,85.63669586527698,85.63669586527698,PASS,2.085646112209594,17.16573052065295,PASS,1000000,1000000,11530.473845,PASS_V3P5_STEP05_SIDE_ENTRY_COMPTON_TIME_AXIS_L1_FULLSTAT_V2_EXACTPOS,0.05908272463250492,0.003382341482601921,0.06246506611510684,0.0011811656293957314,11.811656293957313,0.7957466258001846,7.957466258001846e-05,126,39,PASS_V3P5_STEP08_TIME_DEPENDENT_FULLSTAT_V2_EXACTPOS,6.155222219143131,4.8739101419763696e-05,True
fullstat_v2_exactpos_m05000_s260614,runs/step02_delay_fix_v3p5_centerfinger_fullstat_v2_exactpos_m05000_s260614/exactpos_delayed_source_manifest.json,sampled_equal_flux_pointsource_blocks,5000,260614,253770,85.63669586527698,85.63669586527698,PASS,2.1574238446904457,22.514900248143714,PASS,1000000,1000000,11503.935303,PASS_V3P5_STEP05_SIDE_ENTRY_COMPTON_TIME_AXIS_L1_FULLSTAT_V2_EXACTPOS_M05000_S260614,0.05908272463250492,0.004085558442574286,0.06316828307507921,0.0011811656293957314,11.811656293957313,0.7957466258001846,7.957466258001846e-05,134,47,PASS_V3P5_STEP08_TIME_DEPENDENT_FULLSTAT_V2_EXACTPOS_M05000_S260614,6.121414663524704,4.900827937496074e-05,True
fullstat_v2_exactpos_m20000_s260613,runs/step02_delay_fix_v3p5_centerfinger_fullstat_v2_exactpos_m20000_s260613/exactpos_delayed_source_manifest.json,sampled_equal_flux_pointsource_blocks,20000,260613,253770,85.63669586527698,85.63669586527698,PASS,1.2434606077602683,10.410427775581601,PASS,1000000,1000000,11527.658342,PASS_V3P5_STEP05_SIDE_ENTRY_COMPTON_TIME_AXIS_L1_FULLSTAT_V2_EXACTPOS_M20000_S260613,0.05908272463250492,0.003643411242244815,0.06272613587474973,0.0011811656293957314,11.811656293957313,0.7957466258001846,7.957466258001846e-05,129,42,PASS_V3P5_STEP08_TIME_DEPENDENT_FULLSTAT_V2_EXACTPOS_M20000_S260613,6.142605265176179,4.883921187330203e-05,True
fullstat_v2_exactpos_m50000_s260613,runs/step02_delay_fix_v3p5_centerfinger_fullstat_v2_exactpos_m50000_s260613/exactpos_delayed_source_manifest.json,sampled_equal_flux_pointsource_blocks,50000,260613,253770,85.63669586527698,85.63669586527698,PASS,1.5324725818897746,10.818470621750377,PASS,1000000,1000000,11545.456287,PASS_V3P5_STEP05_SIDE_ENTRY_COMPTON_TIME_AXIS_L1_FULLSTAT_V2_EXACTPOS_M50000_S260613,0.05908272463250492,0.0038976372073461713,0.06298036183985109,0.0011811656293957314,11.811656293957313,0.7957466258001846,7.957466258001846e-05,132,45,PASS_V3P5_STEP08_TIME_DEPENDENT_FULLSTAT_V2_EXACTPOS_M50000_S260613,6.130394687582996,4.893649027323553e-05,True
