source_name,VN,ZA,nuclide,old_flux_Bq,new_flux_Bq,removed
S_ADR_Magnet_Coil_Cu_27058_z008,ADR_Magnet_Coil_Cu,27058,Co-58,0.00151280651,0.001513123716488837,False
S_ADR_Magnet_Coil_Cu_27058_z009,ADR_Magnet_Coil_Cu,27058,Co-58,0.000756403257,0.0007565618602448377,False
S_ADR_Magnet_Coil_Cu_27060_z000,ADR_Magnet_Coil_Cu,27060,Co-60,9.9391137e-06,9.938713988141658e-06,False
S_ADR_Magnet_Coil_Cu_27060_z001,ADR_Magnet_Coil_Cu,27060,Co-60,2.98173411e-05,2.9816141964424974e-05,False
S_ADR_Magnet_Coil_Cu_27060_z002,ADR_Magnet_Coil_Cu,27060,Co-60,1.98782274e-05,1.9877427976283315e-05,False
S_ADR_Magnet_Coil_Cu_27060_z006,ADR_Magnet_Coil_Cu,27060,Co-60,1.98782274e-05,1.9877427976283315e-05,False
S_ADR_Magnet_Coil_Cu_27060_z008,ADR_Magnet_Coil_Cu,27060,Co-60,1.98782274e-05,1.9877427976283315e-05,False
S_ADR_Magnet_Coil_Cu_27060_z009,ADR_Magnet_Coil_Cu,27060,Co-60,2.98173411e-05,2.9816141964424974e-05,False
S_ADR_Magnet_Coil_Cu_28059_z000,ADR_Magnet_Coil_Cu,28059,Ni-59,5.20719197e-10,6.492779499930588e-10,False
S_ADR_Magnet_Coil_Cu_28059_z001,ADR_Magnet_Coil_Cu,28059,Ni-59,1.56215759e-09,1.9478338487322897e-09,False
S_ADR_Magnet_Coil_Cu_28059_z004,ADR_Magnet_Coil_Cu,28059,Ni-59,2.08287679e-09,2.5971118024660096e-09,False
S_ADR_Magnet_Coil_Cu_28059_z005,ADR_Magnet_Coil_Cu,28059,Ni-59,1.04143839e-09,1.2985558949985701e-09,False
S_ADR_Magnet_Coil_Cu_28059_z006,ADR_Magnet_Coil_Cu,28059,Ni-59,1.56215759e-09,1.9478338487322897e-09,False
S_ADR_Magnet_Coil_Cu_28059_z007,ADR_Magnet_Coil_Cu,28059,Ni-59,5.20719197e-10,6.492779499930588e-10,False
S_ADR_Magnet_Coil_Cu_28059_z008,ADR_Magnet_Coil_Cu,28059,Ni-59,1.56215759e-09,1.9478338487322897e-09,False
S_ADR_Magnet_Coil_Cu_28059_z009,ADR_Magnet_Coil_Cu,28059,Ni-59,1.56215759e-09,1.9478338487322897e-09,False
S_ADR_Magnet_Coil_Cu_28063_z000,ADR_Magnet_Coil_Cu,28063,Ni-63,5.25176934e-06,5.194581999569279e-06,False
S_ADR_Magnet_Coil_Cu_28063_z001,ADR_Magnet_Coil_Cu,28063,Ni-63,3.15106161e-06,3.116749205676233e-06,False
S_ADR_Magnet_Coil_Cu_28063_z002,ADR_Magnet_Coil_Cu,28063,Ni-63,6.30212321e-06,6.233498401461358e-06,False
S_ADR_Magnet_Coil_Cu_28063_z003,ADR_Magnet_Coil_Cu,28063,Ni-63,3.15106161e-06,3.116749205676233e-06,False
S_ADR_Magnet_Coil_Cu_28063_z004,ADR_Magnet_Coil_Cu,28063,Ni-63,3.15106161e-06,3.116749205676233e-06,False
S_ADR_Magnet_Coil_Cu_28063_z005,ADR_Magnet_Coil_Cu,28063,Ni-63,2.62588467e-06,2.5972909997846394e-06,False
S_ADR_Magnet_Coil_Cu_28063_z006,ADR_Magnet_Coil_Cu,28063,Ni-63,2.10070774e-06,2.0778328037841555e-06,False
S_ADR_Magnet_Coil_Cu_28063_z007,ADR_Magnet_Coil_Cu,28063,Ni-63,3.67623854e-06,3.6362074016767176e-06,False
