time_bin_id,day_mid,incident_family,ZA,nuclide,half_life_s,day15_activity_Bq,activity_Bq,activity_scale_to_day15,selected_events_day15,event_weight_cps,selection_response_cps_per_Bq,selected_rate_cps
0,0.0,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002678601091658799,0.988057593631,0,3.481826869560595e-07,0.0,0.0
1,0.25,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002652479498976267,0.9784221021469999,0,3.481826869560595e-07,0.0,0.0
2,0.5,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0026278690668587843,0.9693440335939999,0,3.481826869560595e-07,0.0,0.0
3,0.75,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002605683769697109,0.9611605263909999,0,3.481826869560595e-07,0.0,0.0
4,1.0,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002596240294656055,0.95767710467,0,3.481826869560595e-07,0.0,0.0
5,1.25,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002599175556619764,0.958759836952,0,3.481826869560595e-07,0.0,0.0
6,1.5,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0026138267589962062,0.9641642369609998,0,3.481826869560595e-07,0.0,0.0
7,1.75,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0026413814276274278,0.974328348245,0,3.481826869560595e-07,0.0,0.0
8,2.0,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002680209891451138,0.9886510328169998,0,3.481826869560595e-07,0.0,0.0
9,2.25,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002719099513067924,1.00299627671,0,3.481826869560595e-07,0.0,0.0
10,2.5,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0027563971922143463,1.01675429959,0,3.481826869560595e-07,0.0,0.0
11,2.75,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002795797563862139,1.03128794423,0,3.481826869560595e-07,0.0,0.0
12,3.0,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0028335294308643342,1.04520612631,0,3.481826869560595e-07,0.0,0.0
13,3.25,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002864372674439488,1.0565832967,0,3.481826869560595e-07,0.0,0.0
14,3.5,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0028826757475890943,1.06333476502,0,3.481826869560595e-07,0.0,0.0
15,3.75,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002884317209320609,1.06394025224,0,3.481826869560595e-07,0.0,0.0
16,4.0,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002868028712740167,1.05793190229,0,3.481826869560595e-07,0.0,0.0
17,4.25,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0028359708899933105,1.04610670917,0,3.481826869560595e-07,0.0,0.0
18,4.5,alpha,2006,He-6,0.80692,0.0027109766767899053,0.00279303815645453,1.03027007955,0,3.481826869560595e-07,0.0,0.0
19,4.75,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0027447384111914538,1.01245371629,0,3.481826869560595e-07,0.0,0.0
20,5.0,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0026976811376423857,0.9950956645030001,0,3.481826869560595e-07,0.0,0.0
21,5.25,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002655925079578687,0.9796930760479999,0,3.481826869560595e-07,0.0,0.0
22,5.5,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0026160337258701047,0.964978322487,0,3.481826869560595e-07,0.0,0.0
23,5.75,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002579605364065868,0.9515409653469998,0,3.481826869560595e-07,0.0,0.0
24,6.0,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0025573993727043957,0.943349824659,0,3.481826869560595e-07,0.0,0.0
25,6.25,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0025503738658703623,0.940758320684,0,3.481826869560595e-07,0.0,0.0
26,6.5,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0025573993727043957,0.943349824659,0,3.481826869560595e-07,0.0,0.0
27,6.75,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0025785372453765985,0.951146967605,0,3.481826869560595e-07,0.0,0.0
28,7.0,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0026138194371144907,0.964161536133,0,3.481826869560595e-07,0.0,0.0
29,7.25,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002652479498976267,0.9784221021469999,0,3.481826869560595e-07,0.0,0.0
30,7.5,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002692933488261132,0.993344395515,0,3.481826869560595e-07,0.0,0.0
31,7.75,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0027386459345448235,1.01020637986,0,3.481826869560595e-07,0.0,0.0
32,8.0,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0027856208102702636,1.0275340375,0,3.481826869560595e-07,0.0,0.0
33,8.25,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002828736333959795,1.04343809306,0,3.481826869560595e-07,0.0,0.0
34,8.5,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002861240778592502,1.0554280319300002,0,3.481826869560595e-07,0.0,0.0
35,8.75,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0028781327781885655,1.0616589964899998,0,3.481826869560595e-07,0.0,0.0
36,9.0,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002877144491098847,1.06129444629,0,3.481826869560595e-07,0.0,0.0
37,9.25,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0028594600844062588,1.05477118593,0,3.481826869560595e-07,0.0,0.0
38,9.5,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0028291583346199177,1.04359375676,0,3.481826869560595e-07,0.0,0.0
39,9.75,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0027918960138476685,1.02984877655,0,3.481826869560595e-07,0.0,0.0
40,10.0,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002752942583682767,1.01547999555,0,3.481826869560595e-07,0.0,0.0
41,10.25,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002716147650823493,1.00190742107,0,3.481826869560595e-07,0.0,0.0
42,10.5,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0026779088768030535,0.987802255818,0,3.481826869560595e-07,0.0,0.0
43,10.75,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0026413814276274278,0.974328348245,0,3.481826869560595e-07,0.0,0.0
44,11.0,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0026163137539232917,0.9650816166450001,0,3.481826869560595e-07,0.0,0.0
45,11.25,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002602922292965761,0.9601418983980001,0,3.481826869560595e-07,0.0,0.0
46,11.5,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002601431478006863,0.959591980366,0,3.481826869560595e-07,0.0,0.0
47,11.75,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0026115314273712402,0.963317556263,0,3.481826869560595e-07,0.0,0.0
48,12.0,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0026341424687915753,0.9716581080700001,0,3.481826869560595e-07,0.0,0.0
49,12.25,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0026589609237598804,0.980812910168,0,3.481826869560595e-07,0.0,0.0
50,12.5,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0026851134038928266,0.9904597951289998,0,3.481826869560595e-07,0.0,0.0
51,12.75,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002716780836539628,1.00214098476,0,3.481826869560595e-07,0.0,0.0
52,13.0,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0027506768763042337,1.01464424237,0,3.481826869560595e-07,0.0,0.0
53,13.25,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0027819405514533206,1.02617649767,0,3.481826869560595e-07,0.0,0.0
54,13.5,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002805067045082864,1.03470718472,0,3.481826869560595e-07,0.0,0.0
55,13.75,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0028157394483840203,1.03864392213,0,3.481826869560595e-07,0.0,0.0
56,14.0,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0028121263174160594,1.0373111438,0,3.481826869560595e-07,0.0,0.0
57,14.25,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0027955152227982292,1.03118379687,0,3.481826869560595e-07,0.0,0.0
58,14.5,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0027697578731845775,1.021682664,0,3.481826869560595e-07,0.0,0.0
59,14.75,alpha,2006,He-6,0.80692,0.0027109766767899053,0.002740025100824611,1.01071511396,0,3.481826869560595e-07,0.0,0.0
60,15.0,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0027109766767899053,1.0,0,3.481826869560595e-07,0.0,0.0
61,15.25,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0026874157144094507,0.9913090501359999,0,3.481826869560595e-07,0.0,0.0
62,15.5,alpha,2006,He-6,0.80692,0.0027109766767899053,0.0026637408735634364,0.982576093837,0,3.481826869560595e-07,0.0,0.0
