time_bin_id,day_mid,elapsed_stop_day,dt_s,prompt_event_rate_hz,delayed_event_rate_hz,atm511_event_rate_hz,coincidence_occupancy_rate_hz,accidental_live_factor,prompt_final_cps_noacc,delayed_final_cps_noacc,atm511_final_cps_noacc,background_final_cps_noacc,signal_final_cps_noacc,prompt_final_upper95_cps_noacc,delayed_final_upper95_cps_noacc,atm511_final_upper95_cps_noacc,background_final_componentwise_transport_counting_endpoint_cps_noacc,signal_final_lower95_cps_noacc,cumulative_source_counts,cumulative_background_counts,cumulative_source_transport_counting_lower_endpoint_counts,cumulative_background_componentwise_transport_counting_upper_endpoint_counts,counting_Z,counting_Z_componentwise_transport_counting_endpoint_conditional,prompt_scale_alpha,delayed_alpha_activity_Bq,delayed_alpha_selected_cps,delayed_alpha_upper95_cps,prompt_scale_eminus,delayed_eminus_activity_Bq,delayed_eminus_selected_cps,delayed_eminus_upper95_cps,prompt_scale_eplus,delayed_eplus_activity_Bq,delayed_eplus_selected_cps,delayed_eplus_upper95_cps,prompt_scale_gamma,delayed_gamma_activity_Bq,delayed_gamma_selected_cps,delayed_gamma_upper95_cps,prompt_scale_muminus,delayed_muminus_activity_Bq,delayed_muminus_selected_cps,delayed_muminus_upper95_cps,prompt_scale_muplus,delayed_muplus_activity_Bq,delayed_muplus_selected_cps,delayed_muplus_upper95_cps,prompt_scale_n,delayed_n_activity_Bq,delayed_n_selected_cps,delayed_n_upper95_cps,prompt_scale_p,delayed_p_activity_Bq,delayed_p_selected_cps,delayed_p_upper95_cps
0,0.0,0.125,10800.0,23590.801808130807,10.326514300086073,202.4765592953111,23803.604881726205,0.9764774663347576,0.0033602468659776827,0.00044042781440608924,0.0015552613519498118,0.005355936032333584,0.0011178311747596364,0.043042486445943044,0.0005824839043893287,0.003064484872204819,0.046689455222537195,0.0011112770455776314,11.78859909584839,56.48346914440463,11.719479533705503,492.38497015473496,1.5685613774534808,0.528148354494004,0.988057593631,0.179151043754738,1.5364040361708376e-09,8.560295393943094e-09,0.991606226249,0.0,0.0,0.0,0.992880138908,0.0007289477214151408,0.0,3.0279185398090323e-09,0.99481095789,0.002823332169347453,0.0,1.0486140741029633e-08,0.990330158561,3.5692727762124443,9.118474575288924e-06,2.1279477880266385e-05,0.99033947076,4.424264495991877e-06,0.0,2.3486681986361687e-11,0.988641660054,15.210291846901416,0.00041824495876084997,0.0005383641678813984,0.988792148348,1.150844883445213,1.3062844665914194e-05,2.2818160786307094e-05
1,0.25,0.375,21600.0,22520.248674968338,11.621729866229899,184.8855106204046,22716.755915454974,0.977539326796077,0.0032292483010072175,0.0007395117249017071,0.0014201411274676902,0.005388901153376615,0.0011547294594097721,0.04116439802104294,0.0009710238569604534,0.0027982441639564843,0.044933666041959884,0.0011479589861772056,36.170537796921764,170.26930574628003,35.95846071170843,1441.1525642624988,2.771958879317935,0.9472096480688813,0.978422102147,0.19891012217553972,6.1100262993744594e-09,3.404288764937256e-08,0.963271483165,0.0,0.0,0.0,0.963671071616,0.0008480975079608048,0.0,3.522845455823686e-09,0.947867098147,0.004876072691632428,0.0,1.8110226300352957e-08,0.911224443473,3.339567239613825,1.0364810133233514e-05,2.4188009314739456e-05,0.909827398832,1.6797662199106708e-05,0.0,8.91721890818601e-11,0.943763801381,17.40940153388211,0.000711231047329138,0.0009154953405803213,0.975113393836,1.3091165976836319,1.790975741303624e-05,3.128474193379808e-05
2,0.5,0.625,21600.0,21609.937516238788,12.313212188775688,170.3314266947042,21792.58215512227,0.9784431605769971,0.003113175965384788,0.0010055032374475291,0.0013083484126889774,0.005427027615521295,0.0011854942324020024,0.039425541693094174,0.0013157296633547913,0.00257796794939449,0.04331923930584345,0.0011785433774615368,61.22521422662164,284.9661276839369,60.86623518551242,2356.677494138835,3.6268842281898204,1.253794506295241,0.969344033594,0.20611100451411485,1.2146981732536064e-08,6.767865048994009e-08,0.936829091745,0.0,0.0,0.0,0.938927442252,0.0009702620912761439,0.0,4.030295298743076e-09,0.908475750161,0.00490754589682005,0.0,1.822712096218263e-08,0.823140830933,3.0676057556149616,1.1356142937705801e-05,2.6501449387481236e-05,0.81487297442,3.158352657537904e-05,0.0,1.6766453392552602e-10,0.903240763963,18.754306525618958,0.0009734879480513186,0.0012530719572758564,0.958486155973,1.3533020355499408,2.0646999476772282e-05,3.6066152960168955e-05
3,0.75,0.875,21600.0,20901.978053468672,12.631090757498539,159.60115925051895,21074.21030347669,0.9791462991292242,0.003017473989490258,0.0011733551430253687,0.0012259271669402948,0.005416756299455922,0.001208271778999407,0.037931801298860215,0.0015326495743741,0.0024155652378319227,0.04188001611106624,0.0012011873734958335,86.77963078681199,399.52814037611597,86.27081968600712,3242.421410243487,4.341543043567044,1.5150577774965681,0.961160526391,0.20964448349793519,1.811555691249084e-08,1.0093342294465704e-07,0.913833895049,0.0,0.0,0.0,0.920132696886,0.0010576555365106528,0.0,4.393312049203089e-09,0.878440846597,0.00474730734907392,0.0,1.763197881700866e-08,0.732983306766,2.7703059767314695,1.1612472564886206e-05,2.7099637229823225e-05,0.716739853313,4.425749097434238e-05,0.0,2.349456315214298e-10,0.868757803697,19.47508734166176,0.0011398425952175461,0.0014672033635698871,0.939842811618,1.3641590416217642,2.1881959686023866e-05,3.8223379914947405e-05
4,1.0,1.125,21600.0,20492.04040848864,12.896401447044116,153.07096210669314,20658.007772042376,0.9795539071154203,0.0029639673356316185,0.0012836766478913472,0.001175767468090451,0.005423411451613417,0.0012221587334103527,0.03710036587279494,0.0016751668326291348,0.002316730634807173,0.04109226334023125,0.0012149929051524233,112.63851061524264,514.2786561262806,111.97808230897385,4111.866491757695,4.966925535931279,1.7462785646238308,0.95767710467,0.2124706745079088,2.403330924028304e-08,1.3390502859101377e-07,0.90089524981,0.0,0.0,0.0,0.909423427186,0.0011237568499883456,0.0,4.667885090183689e-09,0.860892667369,0.004638429401223519,0.0,1.7227595125585747e-08,0.684550635909,2.611546423964958,1.1756451143015683e-05,2.7435635202207914e-05,0.665519674484,5.5267114672025264e-05,0.0,2.933913982271155e-10,0.849612702584,20.03233313535736,0.0012492838711301401,0.0016080759794960288,0.930401268155,1.3742562530743716,2.261229230895103e-05,3.94991240306929e-05
5,1.25,1.375,21600.0,20379.210197772245,13.19249744648119,176.97586285940073,20569.378558078126,0.9796407280556225,0.0029517100884975758,0.0013615744456348436,0.0013593856034058464,0.005672670137538266,0.0012268135998361324,0.03688302729399909,0.0017759290722092202,0.002678531561211627,0.04133748792741994,0.0012196204789095351,138.598180486894,634.3137161231199,137.78554401744032,4986.577645972592,5.503075581874773,1.9512025836723117,0.958759836952,0.2152730544065969,2.992915373563118e-08,1.667545716075237e-07,0.898091355058,0.0,0.0,0.0,0.907040401121,0.0011776593133732288,0.0,4.8917862883486455e-09,0.855887204989,0.004595968791488759,0.0,1.7069892133900026e-08,0.670426126608,2.570355298803451,1.1957236800312622e-05,2.7904201947429065e-05,0.650742663513,6.539436919812734e-05,0.0,3.4715301366963366e-10,0.845180107573,20.582673431290427,0.0013264161618021706,0.001707360527019237,0.929381109029,1.3890554143667269,2.317111787862481e-05,4.0475279839510635e-05
6,1.5,1.625,21600.0,20560.854975872848,13.573516362302884,179.5418803657453,20753.970372600896,0.9794599110852301,0.002979961420101869,0.0014239410544889374,0.0013790956768579726,0.005782998151448779,0.0012221587334103527,0.03726047541675219,0.0018568874130170242,0.0027173682633828493,0.04183473109315206,0.0012149929051524233,164.45457894902984,756.6607569959598,163.4903398229955,5871.647193102894,5.9785431055582965,2.1335956651037846,0.964164236961,0.2183584295422203,3.5830758786572696e-08,1.996362103855336e-07,0.905287423461,0.0,0.0,0.0,0.912964342452,0.0012258488910259432,0.0,5.0919571803255776e-09,0.863353276996,0.004620419092640734,0.0,1.7160703021058032e-08,0.688262188502,2.642010081596296,1.2351098472686156e-05,2.8823343704743423e-05,0.669287383736,7.528010986096928e-05,0.0,3.9963252689904324e-10,0.855108894223,21.226827775218275,0.00138785567898042,0.00178644536438034,0.936348221448,1.4108296543894043,2.3698446277044774e-05,4.139641642882723e-05
7,1.75,1.875,21600.0,21044.235417837535,14.09092577813805,187.20135972241323,21245.527703338088,0.9789785686991543,0.003050460391495922,0.0014831105006961024,0.0014379296093435037,0.005971500501535528,0.001208271778999407,0.03826321457279876,0.001934105713655039,0.0028332945646750373,0.04303061485112883,0.0012011873734958335,190.00461796800533,882.9337308979177,188.89057244891558,6781.569867426471,6.394404448645066,2.2937451459994103,0.974328348245,0.2220264954350499,4.176632788422434e-08,2.3270708471992552e-07,0.922754667383,0.0,0.0,0.0,0.927414800332,0.0012732226123455105,0.0,5.288739150923949e-09,0.883538783667,0.004712773406290579,0.0,1.7503716266714245e-08,0.741029533251,2.839969391345673,1.3078669088588709e-05,3.052125081624508e-05,0.72489052383,8.555352846984391e-05,0.0,4.5417007003146714e-10,0.880107043626,22.051336784763837,0.0014457083078012847,0.0018609131654201254,0.951989141384,1.4420560269554523,2.428175747834471e-05,4.24153437084608e-05
8,2.0,2.125,21600.0,21824.991700629605,14.7845248626254,199.78723732611934,22039.56346281835,0.978201533245637,0.0031628268851587745,0.0015480383602602089,0.0015346041532291778,0.006245469398648161,0.0011854942324020018,0.03992786355910701,0.002019308295358934,0.0030237819556807577,0.04497095381014671,0.0011785433774615362,215.0531071250585,1014.8952101163986,213.79219592762988,7731.768036348322,6.750487233829773,2.4313777609139198,0.988651032817,0.22631121185973996,4.7763486892499285e-08,2.6612111607279033e-07,0.949923777123,0.0,0.0,0.0,0.949837614657,0.001322828927456929,0.0,5.494794917071177e-09,0.916210920185,0.004872337992619345,0.0,1.8096355251136093e-08,0.836308593345,3.1939422722577815,1.4303901777059782e-05,3.338053519294944e-05,0.828130469766,9.695361514806384e-05,0.0,5.146886512941552e-10,0.920357455332,23.11569253279844,0.0015087112144895809,0.0019420103949811117,0.976487563549,1.4840951241376894,2.497548050667564e-05,4.3627138229980604e-05
9,2.25,2.375,21600.0,22803.09472804194,15.536838517720216,216.85819290814396,23035.489759467804,0.9772278015782261,0.003294341150348503,0.001619286687576115,0.0016657294427440594,0.006579357280668678,0.001154729459409772,0.0418257952494847,0.002112776565251997,0.0032821510494527215,0.04722072286418942,0.0011479589861772054,239.42727571544958,1153.7730765020065,238.02345255309055,8728.508745328063,7.048771362564274,2.547708433499607,1.00299627671,0.23050551899439276,5.383506867367598e-08,2.999498045764285e-07,0.980098601114,0.0,0.0,0.0,0.977865316941,0.0013752652059031184,0.0,5.712605845072396e-09,0.958072428847,0.005085101317962645,0.0,1.888657972358808e-08,0.929679242777,3.5449258756308084,1.566806481964647e-05,3.656403667119757e-05,0.928277066606,0.00010984034585103721,0.0,5.830992416055655e-10,0.966276729668,24.301824702511535,0.0015779302424282187,0.002031109004772251,0.998197005015,1.522964133774561,2.5634545259576065e-05,4.47783917191621e-05
