window_id,stage,source,lo_keV,hi_keV,rate_cps,prompt_cps,delayed_cps,science_focus_cps,effective_catalog_events
W1_design_passband,both,focused_eventlist_science,500.99393711182086,521.0060628881791,0.0010681453573919552,0.0,0.0,0.0010681453573919552,26765.000060940656
W1_design_passband,compton_fov,focused_eventlist_science,500.99393711182086,521.0060628881791,0.0010681453573919552,0.0,0.0,0.0010681453573919552,26765.000060940656
W1_design_passband,raw,focused_eventlist_science,500.99393711182086,521.0060628881791,0.0012106864267341663,0.0,0.0,0.0012106864267341663,30336.715935780252
W1_design_passband,scintillator,focused_eventlist_science,500.99393711182086,521.0060628881791,0.0012106864267341663,0.0,0.0,0.0012106864267341663,30336.715935780252
W2_511_pm_420eV,both,focused_eventlist_science,510.58,511.42,0.001064618310256617,0.0,0.0,0.001064618310256617,26676.621249804455
W2_511_pm_420eV,compton_fov,focused_eventlist_science,510.58,511.42,0.001064618310256617,0.0,0.0,0.001064618310256617,26676.621249804455
W2_511_pm_420eV,raw,focused_eventlist_science,510.58,511.42,0.001206345904875824,0.0,0.0,0.001206345904875824,30227.953521545398
W2_511_pm_420eV,scintillator,focused_eventlist_science,510.58,511.42,0.001206345904875824,0.0,0.0,0.001206345904875824,30227.953521545398
line_pm_1sigma,both,focused_eventlist_science,510.86,511.14,0.0007287506809821186,0.0,0.0,0.0007287506809821186,18260.63455306814
line_pm_1sigma,compton_fov,focused_eventlist_science,510.86,511.14,0.0007287506809821186,0.0,0.0,0.0007287506809821186,18260.63455306814
line_pm_1sigma,raw,focused_eventlist_science,510.86,511.14,0.0008257559924161024,0.0,0.0,0.0008257559924161024,20691.340400800073
line_pm_1sigma,scintillator,focused_eventlist_science,510.86,511.14,0.0008257559924161024,0.0,0.0,0.0008257559924161024,20691.340400800073
line_pm_2sigma,both,focused_eventlist_science,510.72,511.28,0.0010189089275437998,0.0,0.0,0.0010189089275437998,25531.26062765349
line_pm_2sigma,compton_fov,focused_eventlist_science,510.72,511.28,0.0010189089275437998,0.0,0.0,0.0010189089275437998,25531.26062765349
line_pm_2sigma,raw,focused_eventlist_science,510.72,511.28,0.0011545468077014402,0.0,0.0,0.0011545468077014402,28930.000177061607
line_pm_2sigma,scintillator,focused_eventlist_science,510.72,511.28,0.0011545468077014402,0.0,0.0,0.0011545468077014402,28930.000177061607
W1_design_passband,both,non_xray_background,500.99393711182086,521.0060628881791,0.05977961490451396,0.05494114947463476,0.004838465429879204,0.0,272.8638373709364
W1_design_passband,compton_fov,non_xray_background,500.99393711182086,521.0060628881791,0.11921773872638608,0.11304270816906103,0.006175030557325042,0.0,411.4602001052519
W1_design_passband,raw,non_xray_background,500.99393711182086,521.0060628881791,0.1375401786618738,0.13068425602818434,0.0068559226336894425,0.0,464.4607158685104
W1_design_passband,scintillator,non_xray_background,500.99393711182086,521.0060628881791,0.06902572179182372,0.06375854653608544,0.005267175255738271,0.0,302.8638373907609
W2_511_pm_420eV,both,non_xray_background,510.58,511.42,0.056911150237755316,0.05265466229710279,0.004256487940652522,0.0,246.41644920013636
W2_511_pm_420eV,compton_fov,non_xray_background,510.58,511.42,0.1014832113031615,0.09596921731371022,0.005513993989451284,0.0,360.093496662623
W2_511_pm_420eV,raw,non_xray_background,510.58,511.42,0.11631780238081714,0.11020020549322686,0.006117596887590285,0.0,405.0036042195459
W2_511_pm_420eV,scintillator,non_xray_background,510.58,511.42,0.06475383365577204,0.06009494378341046,0.004658889872361586,0.0,273.3435328890938
line_pm_1sigma,both,non_xray_background,510.86,511.14,0.03866836766252107,0.035758826285076616,0.00290954137744445,0.0,168.09477180050857
line_pm_1sigma,compton_fov,non_xray_background,510.86,511.14,0.06907019066567407,0.06529985663322657,0.0037703340324475,0.0,245.74909462268232
line_pm_1sigma,raw,non_xray_background,510.86,511.14,0.07912024096166016,0.07493672655097641,0.004183514410683752,0.0,276.3369497890444
line_pm_1sigma,scintillator,non_xray_background,510.86,511.14,0.044036867190072014,0.0408518722341176,0.0031849949559544185,0.0,186.52699104234023
line_pm_2sigma,both,non_xray_background,510.72,511.28,0.05425498705067107,0.050186128201267464,0.004068858849403605,0.0,235.33677668016816
line_pm_2sigma,compton_fov,non_xray_background,510.72,511.28,0.0968616680423764,0.09158927786064343,0.005272390181732978,0.0,344.0575843459029
line_pm_2sigma,raw,non_xray_background,510.72,511.28,0.11099494089622862,0.10514485571789356,0.005850085178335058,0.0,386.94485549572335
line_pm_2sigma,scintillator,non_xray_background,510.72,511.28,0.0617610453617712,0.05730705651774822,0.004453988844022973,0.0,261.10809236644434
