cut_id,radius_cm,signal_cps_at_reference_flux,signal_response_cps_per_ph_cm2_s,signal_psf_fraction,prompt_cps,delayed_cps,background_cps,Z20d_at_reference_flux,T3_day_constant_rate,T3_status,flux_3sigma_20d_ph_cm2_s
spot_r50,0.7245795359278085,0.0005323394677792716,5.323394677792717,0.5000284727875673,0.008009824773019987,0.0009358450412829607,0.008945669814302948,7.398677596645246,3.2882459895012555,mission_internal_crossing,4.0547786557969205e-05
spot_r68,0.8539620688831576,0.0007239790906276313,7.239790906276313,0.6800362943721647,0.012068685013067366,0.0013130968522280576,0.013381781865295423,8.22698905252018,2.6594428763411897,mission_internal_crossing,3.646534571576958e-05
spot_r90,1.055732784975917,0.0009581916528460724,9.581916528460724,0.9000330387095764,0.01680340951731633,0.001866399511774606,0.018669809029090937,9.218373798909598,2.118184940828613,mission_internal_crossing,3.254370093296561e-05
spot_r95,1.1449645028010191,0.0010114049811420483,10.114049811420482,0.9500165189703581,0.02086226952770138,0.0021180660444099215,0.0229803355721113,8.77038733906474,2.3401029106964555,mission_internal_crossing,3.420601490013456e-05
spot_r99,1.3112857613168307,0.0010539915648172448,10.539915648172448,0.9900182578705029,0.025597518951509857,0.0027971192952788663,0.02839463824678872,8.2222529674168,2.6625074804957056,mission_internal_crossing,3.6486350053792074e-05
spot_rmax,1.708006744272094,0.0010646183102565668,10.646183102565667,1.0,0.05265466229710279,0.004206187701991149,0.05686084999909394,5.868932661575647,5.225817657199103,mission_internal_crossing,5.111661988629093e-05
full_aperture_1p8,1.8,0.0010646183102565668,10.646183102565667,1.0,0.05265466229710279,0.00425648794065252,0.05691115023775531,5.8663384953152145,5.2304405194208625,mission_internal_crossing,5.113922427755853e-05
