VN,ZA,nuclide,exc_keV,RP_yield,hl_s,Activity_Bq,Points
Cu_50mK_StillLike_Can_bottom_cap_2mm,29064,Cu-64,0.0,23.375,45721.44,0.12693189286116877,187
Cu_50mK_StillLike_Can_side_wall_above_side_port,29064,Cu-64,0.0,22.75,45721.44,0.1235379919825279,182
CsI_Bottom_Quadrant_01,55134,Cs-134,0.0,1601.25,65166444.0,0.11904026599844965,12810
CsI_Bottom_Quadrant_02,55134,Cs-134,0.0,1562.0,65166444.0,0.11612246853703546,12496
ColdPlate_CP_100mK_intercept,29066,Cu-66,0.0,21.0,307.2,0.114035069856662,168
Plate_300K_Top_Service_Lid,13026,Al-26,0.0,19.125,717.0,0.1038258835590297,153
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,13026,Al-26,0.0,19.0,717.0,0.10315313533814602,152
ColdPlate_MXC_50mK_SD_anchor,29066,Cu-66,0.0,18.625,307.2,0.10113479153893143,149
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11025,Na-25,0.0,18.0,59.1,0.0972606538396277,144
Window,11024,Na-24,0.0,16.0,53841.6,0.08677236011873607,128
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11024,Na-24,0.0,15.875,53841.6,0.08589005623386377,127
DR_Capillary_CuNi_4K_60K,29064,Cu-64,0.0,15.5,45721.44,0.08416874179029374,124
Cu_50mK_StillLike_Can_side_wall_below_side_port,29064,Cu-64,0.0,15.25,45721.44,0.08281118143883738,122
DR_4K_Condenser_Cu,29064,Cu-64,0.0,15.25,45721.44,0.08281118143883738,122
Nb_MagShield_Inner_Back_ColdFingerCap_2mm,41094,Nb-94,0.0,14.5,20.4,0.07873850061531423,116
DR_Capillary_CuNi_Still_4K,29064,Cu-64,0.0,14.5,45721.44,0.07873850038446834,116
NbTi_Bundle_bay_to_MXC,41094,Nb-94,0.0,14.125,20.4,0.07670216008215955,113
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,13026,Al-26,0.0,14.125,717.0,0.07668570977150957,113
CsI_Side_Segment_00,55134,Cs-134,0.0,1010.75,65166444.0,0.07514123009875481,8086
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11025,Na-25,0.0,13.75,59.1,0.07429590595561486,110
CsI_Side_Segment_07,55134,Cs-134,0.0,998.375,65166444.0,0.07422138355895268,7987
CsI_Side_Segment_01,55134,Cs-134,0.0,913.75,65166444.0,0.06793017044011995,7310
CsI_Side_Segment_06,55134,Cs-134,0.0,912.875,65166444.0,0.06786511880475334,7303
DR_MixingChamber_Cu,29064,Cu-64,0.0,12.375,45721.44,0.06719923739708936,99
DR_Continuous_HEX_CuNi_CP_to_Still,29064,Cu-64,0.0,12.0,45721.44,0.06516289686990484,96
CsI_Side_Segment_02,55134,Cs-134,0.0,790.125,65166444.0,0.05873966254964683,6321
CsI_Side_Segment_05,55134,Cs-134,0.0,789.0,65166444.0,0.05865602431356355,6312
CsI_Bottom_Quadrant_01,55132,Cs-132,0.0,13.125,559872.0,0.05694322698469736,105
MuMetal_MagShield_Outer_Cylinder_2mm,28059,Ni-59,0.0,10.375,81.0,0.05633851985323892,83
CsI_Bottom_Quadrant_00,55132,Cs-132,0.0,12.75,559872.0,0.0553137481968152,102
Passive_W_Bottom_Plate_detector_bay,74185,W-185,0.0,74.25,6488639.999999999,0.052128622183823456,594
Outer_Al_Mechanical_Shell_detector_bay_top_annulus,13026,Al-26,0.0,9.5,717.0,0.0515695852005816,76
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,11024,Na-24,0.0,9.375,53841.6,0.050752568304725174,75
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,11024,Na-24,0.0,8.75,53841.6,0.047389527179397255,70
CsI_Bottom_Quadrant_03,55132,Cs-132,0.0,10.875,559872.0,0.04718282673961408,87
NbTi_Bundle_MXC_CP,41094,Nb-94,0.0,8.125,20.4,0.0441207115516847,65
Plate_300K_Top_Service_Lid,11024,Na-24,0.0,8.125,53841.6,0.043978745559716925,65
CsI_Bottom_Quadrant_02,55132,Cs-132,0.0,10.125,559872.0,0.04392795717245664,81
DR_Continuous_HEX_CuNi_MXC_to_CP,29064,Cu-64,0.0,8.0,45721.44,0.04344193124660322,64
CsI_Bottom_Quadrant_02,53126,I-126,0.0,14.375,1117152.0,0.04312604400502547,115
NbTi_Bundle_CP_Still,41094,Nb-94,0.0,7.875,20.4,0.042763151196248246,63
DR_Capillary_CuNi_4K_60K,28059,Ni-59,0.0,7.375,81.0,0.04004803048537534,59
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,11025,Na-25,0.0,7.125,59.1,0.03850044837030441,57
CsI_Bottom_Quadrant_01,53126,I-126,0.0,12.25,1117152.0,0.0367513355304899,98
DR_Still_Pot_Cu,29066,Cu-66,0.0,6.75,307.2,0.03665412959678421,54
Outer_Al_Mechanical_Shell_detector_bay_top_annulus,11025,Na-25,0.0,6.5,59.1,0.03512036724605033,52
CsI_Bottom_Quadrant_00,53126,I-126,0.0,11.375,1117152.0,0.03412596984496726,91
ColdPlate_4K,29062,Cu-62,0.0,6.125,580.32,0.0332530839286507,49
CsI_Bottom_Quadrant_03,53126,I-126,0.0,10.875,1117152.0,0.03262717425808859,87
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,11025,Na-25,0.0,5.875,59.1,0.031750650945049044,47
Plate_300K_Top_Service_Lid,11025,Na-25,0.0,5.75,59.1,0.03107187076733082,46
CsI_Side_Segment_02,55132,Cs-132,0.0,6.75,559872.0,0.029280924551346562,54
Window,29066,Cu-66,0.0,5.375,307.2,0.029187547641883724,43
ColdPlate_60K,13026,Al-26,0.0,5.25,717.0,0.028505402886927662,42
CsI_Side_Segment_01,55132,Cs-132,0.0,6.375,559872.0,0.02764577121233755,51
CsI_Side_Segment_05,55132,Cs-132,0.0,6.25,559872.0,0.027117281498512204,50
CsI_Side_Segment_06,53126,I-126,0.0,8.75,1117152.0,0.026251456120174817,70
Outer_Al_Mechanical_Shell_detector_bay_top_annulus,11024,Na-24,0.0,4.75,53841.6,0.02572407667681858,38
CsI_Side_Segment_06,55132,Cs-132,0.0,5.875,559872.0,0.025478804564923307,47
CsI_Side_Segment_05,53126,I-126,0.0,8.375,1117152.0,0.02512492649535315,67
Cu_50mK_StillLike_Can_side_wall_above_side_port,29066,Cu-66,0.0,4.625,307.2,0.025114866575574366,37
Cu_50mK_StillLike_Can_side_wall_below_side_port,29066,Cu-66,0.0,4.5,307.2,0.02443608639785614,36
CsI_Side_Segment_07,55132,Cs-132,0.0,5.625,559872.0,0.02440018242220985,45
CsI_Side_Segment_00,55132,Cs-132,0.0,5.5,559872.0,0.023863538045509447,44
DR_Capillary_CuNi_4K_60K,29066,Cu-66,0.0,4.375,307.2,0.023757306220137914,35
ColdPlate_Still_0p7K,29062,Cu-62,0.0,4.375,580.32,0.023756601528016362,35
CsI_Side_Segment_03_below_side_port,55134,Cs-134,0.0,311.75,65166444.0,0.023176095571962672,2494
Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,13028,Al-28,0.0,4.25,134.70000000000002,0.023078526042419688,34
CsI_Side_Segment_02,53126,I-126,0.0,7.625,1117152.0,0.022874921588342034,61
CsI_Bottom_Quadrant_03,55131,Cs-131,0.0,6.375,837129.6,0.022780224456810088,51
CsI_Side_Segment_04_below_side_port,55134,Cs-134,0.0,305.875,65166444.0,0.02273938542610853,2447
DR_MixingChamber_Cu,29066,Cu-66,0.0,4.125,307.2,0.022399745864701462,33
Cu_SubstrateSupport_SolidDisk_L0_deepest,29064,Cu-64,0.0,4.125,45721.44,0.022399745799029785,33
Window,11025,Na-25,0.0,4.125,59.1,0.022305916646674733,33
ColdPlate_MXC_50mK_SD_anchor,29062,Cu-62,0.0,4.0,580.32,0.021720419878231614,32
Window,55134,Cs-134,0.0,290.75,65166444.0,0.021614864443729984,2326
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11026,Na-26,0.0,4.0,1.07128,0.021613862513371076,32
Cu_50mK_StillLike_Can_bottom_cap_2mm,29066,Cu-66,0.0,3.875,307.2,0.02104218550926501,31
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,10024,Ne-24,0.0,3.875,202.79999999999998,0.02093508233565285,31
DR_Continuous_HEX_CuNi_CP_to_Still,28059,Ni-59,0.0,3.75,81.0,0.020363405331546784,30
DR_Capillary_CuNi_Still_4K,28059,Ni-59,0.0,3.75,81.0,0.020363170434172934,30
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_below_side_port,13028,Al-28,0.0,3.625,134.70000000000002,0.019684625153828558,29
CsI_Bottom_Quadrant_00,55131,Cs-131,0.0,5.375,837129.6,0.019206434365785983,43
CsI_Side_Segment_00,53126,I-126,0.0,6.375,1117152.0,0.019124421008272698,51
ColdPlate_CP_100mK_intercept,29062,Cu-62,0.0,3.5,580.32,0.019001215548156813,28
CsI_Bottom_Quadrant_02,55131,Cs-131,0.0,5.25,837129.6,0.018760071466154157,42
CsI_Side_Segment_01,53126,I-126,0.0,6.125,1117152.0,0.018377067222355627,49
CsI_TopAnnulus_Segment_00,55134,Cs-134,0.0,246.625,65166444.0,0.01833465499295257,1973
CsI_TopAnnulus_Segment_07,55134,Cs-134,0.0,245.875,65166444.0,0.018278851013226,1967
CsI_Side_Segment_04_above_side_port,55134,Cs-134,0.0,235.625,65166444.0,0.017516795751459698,1885
CsI_Side_Segment_03_above_side_port,55134,Cs-134,0.0,233.625,65166444.0,0.017368158570595815,1869
CsI_TopAnnulus_Segment_06,55134,Cs-134,0.0,230.125,65166444.0,0.017107960729844336,1841
CsI_TopAnnulus_Segment_01,55134,Cs-134,0.0,228.375,65166444.0,0.01697785859362686,1827
CsI_Side_Segment_05,55131,Cs-131,0.0,4.75,837129.6,0.016970646020564965,38
DR_4K_Condenser_Cu,29066,Cu-66,0.0,3.125,307.2,0.016969504442955655,25
CsI_Bottom_Quadrant_01,55131,Cs-131,0.0,4.75,837129.6,0.01696878619508598,38
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,14027,Si-27,0.0,3.125,4.117,0.01696379089197931,25
TES_L5,73182,Ta-182,0.0,34.75,9913536.0,0.01634735595579306,278
CsI_Bottom_Quadrant_02,55130,Cs-130,0.0,3.0,1752.6000000000001,0.016290254470489724,24
CsI_Bottom_Quadrant_03,55130,Cs-130,0.0,3.0,1752.6000000000001,0.016289784675742023,24
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,14027,Si-27,0.0,3.0,4.117,0.016285245611634934,24
Window,55132,Cs-132,0.0,3.75,559872.0,0.016270406436245808,30
CsI_Side_Segment_07,53126,I-126,0.0,5.375,1117152.0,0.016126464635830465,43
DR_Continuous_HEX_CuNi_CP_to_Still,29066,Cu-66,0.0,2.875,307.2,0.015611944087519201,23
PreCool_FlexLink_Cu_remote_interface,29064,Cu-64,0.0,2.875,45721.44,0.015611944041748031,23
DR_Continuous_HEX_CuNi_MXC_to_CP,28059,Ni-59,0.0,2.875,81.0,0.01561170919014535,23
CsI_Side_Segment_02,55131,Cs-131,0.0,4.25,837129.6,0.015186385928507807,34
CsI_Bottom_Quadrant_01,55130,Cs-130,0.0,2.75,1752.6000000000001,0.014932459217679422,22
CsI_TopAnnulus_Segment_02,55134,Cs-134,0.0,199.875,65166444.0,0.014859107963349393,1599
Plate_300K_Top_Service_Lid,10024,Ne-24,0.0,2.75,202.79999999999998,0.014857155205947183,22
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,10023,Ne-23,0.0,2.75,37.15,0.014857155205947183,22
CsI_TopAnnulus_Segment_05,55134,Cs-134,0.0,197.25,65166444.0,0.014664006882351319,1578
CsI_Bottom_Quadrant_02,53124,I-124,0.0,2.875,360806.4,0.014316807483722285,23
DR_Capillary_CuNi_Still_4K,29066,Cu-66,0.0,2.625,307.2,0.01425438373208275,21
Passive_W_Bottom_Plate_detector_bay,74180,W-180,0.0,2.625,1.59,0.01425438373208275,21
DR_Capillary_CuNi_CP_Still,29064,Cu-64,0.0,2.625,45721.44,0.014254383690291682,21
CsI_TopAnnulus_Segment_04,55134,Cs-134,0.0,189.375,65166444.0,0.01407856174066049,1515
CsI_Bottom_Quadrant_03,53124,I-124,0.0,2.75,360806.4,0.013694534278418614,22
Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,13026,Al-26,0.0,2.5,717.0,0.013575980603299762,20
CsI_Bottom_Quadrant_00,55130,Cs-130,0.0,2.5,1752.6000000000001,0.01357489886224297,20
TES_L0,73182,Ta-182,0.0,28.25,9913536.0,0.013289577143918098,226
CsI_TopAnnulus_Segment_03,55134,Cs-134,0.0,177.75,65166444.0,0.013214333198164499,1422
CsI_Bottom_Quadrant_01,53124,I-124,0.0,2.625,360806.4,0.013071830238663719,21
ColdPlate_60K,12027,Mg-27,0.0,2.375,566.1,0.012876093730140717,19
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11026,Na-26,0.0,2.375,1.07128,0.012831179496045295,19
CsI_Side_Segment_03_below_side_port,55132,Cs-132,0.0,2.875,559872.0,0.012473714784765744,23
TES_L4,73182,Ta-182,0.0,26.375,9913536.0,0.012407525563569551,211
TES_L3,73182,Ta-182,0.0,26.25,9913536.0,0.01234872212487965,210
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,10024,Ne-24,0.0,2.25,202.79999999999998,0.012155854259411332,18
TES_L2,73182,Ta-182,0.0,25.5,9913536.0,0.011995901492740232,204
MuMetal_MagShield_Outer_Back_ColdFingerCap_2mm,28059,Ni-59,0.0,2.125,81.0,0.011539263021209844,17
CsI_Bottom_Quadrant_03,55129,Cs-129,0.0,2.125,115416.00000000001,0.011533751019776613,17
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,10023,Ne-23,0.0,2.125,37.15,0.011483749066487782,17
CsI_Side_Segment_04_below_side_port,55132,Cs-132,0.0,2.625,559872.0,0.01138333175327435,21
CsI_Side_Segment_00,55131,Cs-131,0.0,3.125,837129.6,0.011163909388940938,25
ActiveShield_Flex_Kapton_detector_bay_below_side_port,6014,C-14,0.0,2.0,5.7,0.010860482843491618,16
CsI_Side_Segment_05,55130,Cs-130,0.0,2.0,1752.6000000000001,0.010860013048743917,16
TES_L1,73182,Ta-182,0.0,23.0,9913536.0,0.010819812369536316,184
CsI_Side_Segment_03_above_side_port,55132,Cs-132,0.0,2.375,559872.0,0.010306010041501343,19
CsI_TopAnnulus_Segment_04,55132,Cs-132,0.0,2.375,559872.0,0.010304334239176002,19
CsI_Side_Segment_06,55131,Cs-131,0.0,2.875,837129.6,0.010273302543011347,23
DR_Continuous_HEX_CuNi_MXC_to_CP,29066,Cu-66,0.0,1.875,307.2,0.010181702665773392,15
Nb_MagShield_Inner_Cylinder_2mm,41092,Nb-92,0.0,1.875,34.7,0.010181702665773392,15
CsI_Bottom_Quadrant_01,53123,I-123,0.0,1.875,47603.520000000004,0.010181467703490434,15
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,10024,Ne-24,0.0,1.875,202.79999999999998,0.010133333490593706,15
CsI_Side_Segment_04_below_side_port,53126,I-126,0.0,3.375,1117152.0,0.010125741578489455,27
CsI_Side_Segment_01,53124,I-124,0.0,2.0,360806.4,0.009959602543242916,16
CsI_Bottom_Quadrant_00,53124,I-124,0.0,2.0,360806.4,0.009959602543242916,16
CsI_Side_Segment_01,55131,Cs-131,0.0,2.75,837129.6,0.009826321345470243,22
CsI_Side_Segment_03_below_side_port,53126,I-126,0.0,3.125,1117152.0,0.009375667419398897,25
CsI_Side_Segment_07,55131,Cs-131,0.0,2.125,837129.6,0.007593270251492564,17
CsI_Side_Segment_04_above_side_port,53126,I-126,0.0,2.375,1117152.0,0.00712544494212722,19
CsI_TopAnnulus_Segment_05,53126,I-126,0.0,2.375,1117152.0,0.007123795600262461,19
CsI_Side_Segment_03_above_side_port,53126,I-126,0.0,2.25,1117152.0,0.006750407862581942,18
CsI_TopAnnulus_Segment_03,53126,I-126,0.0,2.0,1117152.0,0.006000593272724468,16
Window,53126,I-126,0.0,2.0,1117152.0,0.006000333703491383,16
CsI_Bottom_Quadrant_03,53125,I-125,0.0,6.0,5131468.8,0.005231123579292835,48
CsI_Bottom_Quadrant_01,53125,I-125,0.0,5.125,5131468.8,0.004469202757499861,41
CsI_Bottom_Quadrant_02,53125,I-125,0.0,4.875,5131468.8,0.0042511867509537294,39
CsI_Bottom_Quadrant_00,53125,I-125,0.0,4.875,5131468.8,0.004250675406231707,39
CsI_Side_Segment_06,53125,I-125,0.0,4.0,5131468.8,0.003488218381636373,32
CsI_Side_Segment_07,53125,I-125,0.0,2.625,5131468.8,0.002288613226030684,21
CsI_Side_Segment_00,53125,I-125,0.0,2.5,5131468.8,0.0021801600654613156,20
CsI_Side_Segment_05,53125,I-125,0.0,2.5,5131468.8,0.0021800846192578517,20
CsI_Side_Segment_02,53125,I-125,0.0,2.375,5131468.8,0.0020713757137710872,19
Passive_W_Bottom_Plate_detector_bay,74181,W-181,0.0,4.5,10450598.4,0.002012422774546208,36
CsI_Side_Segment_01,53125,I-125,0.0,2.25,5131468.8,0.001961513770008023,18
CsI_Side_Segment_03_below_side_port,53125,I-125,0.0,1.875,5131468.8,0.001634527483290557,15
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11022,Na-22,0.0,5.75,82109719.44,0.0003393210566840852,46
Window,11022,Na-22,0.0,5.0,82109719.44,0.00029529212119969574,40
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11022,Na-22,0.0,3.5,82109719.44,0.00020672878695503265,28
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,11022,Na-22,0.0,3.125,82109719.44,0.00018453913881056997,25
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,11022,Na-22,0.0,2.125,82109719.44,0.00012549972037783003,17
Plate_300K_Top_Service_Lid,11022,Na-22,0.0,2.0,82109719.44,0.00011800207195279722,16
ColdPlate_4K,28063,Ni-63,0.0,3.125,3193629120.0,4.7705138121909365e-06,25
ColdPlate_Still_0p7K,28063,Ni-63,0.0,2.25,3193629120.0,3.436198239383356e-06,18
