production_tag,raw_volume,ZA,exc_keV_decimal,dat_production_count_raw,rpip_count,delta_rpip_minus_dat,status
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,11024,0,25,25,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,11025,0,25,25,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,11026,0,2,2,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,12023,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,12027,0,169,169,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,9021,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,10023,0,3,3,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,10024,0,7,7,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,10025,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,11022,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,11024,0,20,20,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,11025,0,51,51,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,11026,0,10,10,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12023,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12027,0,266,266,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,13026,0,2,2,0,PASS
muminus,Passive_W_Bottom_Plate_detector_bay,74181,0,1,1,0,PASS
muminus,Passive_W_Bottom_Plate_detector_bay,74183,0,11,11,0,PASS
muminus,Plate_300K_Top_Service_Lid,9020,0,5,5,0,PASS
muminus,Plate_300K_Top_Service_Lid,9022,0,1,1,0,PASS
muminus,Plate_300K_Top_Service_Lid,9023,0,1,1,0,PASS
muminus,Plate_300K_Top_Service_Lid,10023,0,12,12,0,PASS
muminus,Plate_300K_Top_Service_Lid,10024,0,22,22,0,PASS
muminus,Plate_300K_Top_Service_Lid,10025,0,3,3,0,PASS
muminus,Plate_300K_Top_Service_Lid,11022,0,4,4,0,PASS
muminus,Plate_300K_Top_Service_Lid,11024,0,41,41,0,PASS
muminus,Plate_300K_Top_Service_Lid,11025,0,44,44,0,PASS
muminus,Plate_300K_Top_Service_Lid,11026,0,8,8,0,PASS
muminus,Plate_300K_Top_Service_Lid,12023,0,3,3,0,PASS
muminus,Plate_300K_Top_Service_Lid,12027,0,348,348,0,PASS
muminus,Plate_300K_Top_Service_Lid,13026,0,1,1,0,PASS
muminus,Shield_4K_Al_side_window_bottom_cap,11024,0,1,1,0,PASS
muminus,Shield_4K_Al_side_window_side_wall_above_side_port,11024,0,1,1,0,PASS
muminus,Shield_4K_Al_side_window_side_wall_above_side_port,12027,0,5,5,0,PASS
muminus,Shield_4K_Al_side_window_side_wall_above_side_port,13026,0,1,1,0,PASS
muminus,Shield_60K_Al_side_window_side_wall_above_side_port,10023,0,1,1,0,PASS
muminus,Shield_60K_Al_side_window_side_wall_above_side_port,11024,0,4,4,0,PASS
muminus,Shield_60K_Al_side_window_side_wall_above_side_port,11025,0,2,2,0,PASS
muminus,Shield_60K_Al_side_window_side_wall_above_side_port,12027,0,7,7,0,PASS
muminus,Shield_60K_Al_side_window_side_wall_above_side_port,13026,0,2,2,0,PASS
muminus,Shield_60K_Al_side_window_side_wall_below_side_port,11024,0,1,1,0,PASS
muminus,Still_Shield_Al_side_window_side_wall_above_side_port,12027,0,1,1,0,PASS
muminus,Still_Shield_Al_side_window_side_wall_above_side_port,13026,0,2,2,0,PASS
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,8015,0,1,1,0,PASS
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,9020,0,1,1,0,PASS
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,9022,0,1,1,0,PASS
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,10023,0,22,22,0,PASS
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,10024,0,31,31,0,PASS
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,10025,0,8,8,0,PASS
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11022,0,10,10,0,PASS
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11024,0,125,125,0,PASS
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11025,0,140,140,0,PASS
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11026,0,31,31,0,PASS
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12023,0,3,3,0,PASS
