production_tag,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_keV_decimal,state_id,state_class,dat_production_count_raw,rpip_count,coverage_fraction,activity_day15_direct_Bq,source_files_count,rpip_volume_count,rpip_volume_examples,centroid_x_cm,centroid_y_cm,centroid_z_cm,effective_sample_size,dominant_cproc,dominant_sproc,dominant_prim,status
alpha,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,55132,Cs-132,0,gs,EMITTED_CANDIDATE,2,2,1,0.001084584802676140562347121887,2,1,CsI_Bottom_Quadrant_01,-17.06387,11.1360645,-10.875919,2,neutronInelastic:1,RadioactiveDecay:2,alpha:2,PASS
alpha,CsI_Bottom_Quadrant_02,CsI_Bottom_Quadrant_02,53125,I-125,0,gs,EMITTED_CANDIDATE,1,1,1,0.0001089957958824253357549497895,1,1,CsI_Bottom_Quadrant_02,-22.96331,-8.319721,-3.205051,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Bottom_Quadrant_02,CsI_Bottom_Quadrant_02,53126,I-126,0,gs,EMITTED_CANDIDATE,1,1,1,0.0003749950805727525390322764552,1,1,CsI_Bottom_Quadrant_02,-12.43869,-5.693099,-9.222276,1,neutronInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Bottom_Quadrant_02,CsI_Bottom_Quadrant_02,55132,Cs-132,0,gs,EMITTED_CANDIDATE,1,1,1,0.0005422924013380702811735609436,1,1,CsI_Bottom_Quadrant_02,-12.72783,-5.595403,-9.330763,1,neutronInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,51118,Sb-118,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006787041637143035545094462046,1,1,CsI_Bottom_Quadrant_03,-3.329386,-2.337307,-24.53201,1,neutronInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,52114,Te-114,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006787041637143035545094462046,1,1,CsI_Bottom_Quadrant_03,0.1470482,-1.590875,-25.00258,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,53126,I-126,0,gs,EMITTED_CANDIDATE,1,1,1,0.0003749950805727525390322764552,1,1,CsI_Bottom_Quadrant_03,-5.330714,-7.426016,-22.11054,1,neutronInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,55131,Cs-131,0,gs,EMITTED_CANDIDATE,1,1,1,0.0004466220274868972767674135128,1,1,CsI_Bottom_Quadrant_03,-0.3599412,-0.01803414,-20.23011,1,neutronInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Bottom_Quadrant_03,CsI_Bottom_Quadrant_03,55132,Cs-132,0,gs,EMITTED_CANDIDATE,1,1,1,0.0005422924013380702811735609436,1,1,CsI_Bottom_Quadrant_03,-11.29467,-14.94334,-16.04041,1,neutronInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Side_Segment_00,CsI_Side_Segment_00,53126,I-126,0,gs,EMITTED_CANDIDATE,1,1,1,0.0003749950805727525390322764552,1,1,CsI_Side_Segment_00,10.07126,10.2825,-8.41888,1,neutronInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Side_Segment_01,CsI_Side_Segment_01,48107,Cd-107,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006787041637143035545094462046,1,1,CsI_Side_Segment_01,8.672514,10.8626,-6.538667,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Side_Segment_01,CsI_Side_Segment_01,52127,Te-127,0,gs,EMITTED_CANDIDATE,2,2,1,0.001357408327425121691656553975,2,1,CsI_Side_Segment_01,5.3739255,12.23949,-9.5523255,2,neutronInelastic:2,RadioactiveDecay:2,alpha:2,PASS
alpha,CsI_Side_Segment_01,CsI_Side_Segment_01,54123,Xe-123,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006787041637143035545094462046,1,1,CsI_Side_Segment_01,-5.659217,17.21267,-8.849578,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Side_Segment_01,CsI_Side_Segment_01,55132,Cs-132,0,gs,EMITTED_CANDIDATE,1,1,1,0.0005422924013380702811735609436,1,1,CsI_Side_Segment_01,1.159326,12.69567,-14.71029,1,neutronInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Side_Segment_01,CsI_Side_Segment_01,55134,Cs-134,0,gs,EMITTED_CANDIDATE,1,1,1,0.00000929173936383665083928556885,1,1,CsI_Side_Segment_01,3.71295,12.6638,-13.67914,1,nCapture:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Side_Segment_02,CsI_Side_Segment_02,51114,Sb-114,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006787041637143035545094462046,1,1,CsI_Side_Segment_02,-8.938194,12.62642,0.9354579,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Side_Segment_02,CsI_Side_Segment_02,53126,I-126,0,gs,EMITTED_CANDIDATE,1,1,1,0.0003749950805727525390322764552,1,1,CsI_Side_Segment_02,-10.12058,17.18267,-7.722494,1,neutronInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Side_Segment_02,CsI_Side_Segment_02,55124,Cs-124,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006787041637143035545094462046,1,1,CsI_Side_Segment_02,-10.45184,15.02421,-8.484196,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Side_Segment_02,CsI_Side_Segment_02,55132,Cs-132,0,gs,EMITTED_CANDIDATE,1,1,1,0.0005422924013380702811735609436,1,1,CsI_Side_Segment_02,-10.31925,14.54002,-8.447929,1,neutronInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Side_Segment_03_below_side_port,CsI_Side_Segment_03_below_side_port,55131,Cs-131,0,gs,EMITTED_CANDIDATE,1,1,1,0.0004466220274868972767674135128,1,1,CsI_Side_Segment_03_below_side_port,-18.81596,7.958264,3.167266,1,protonInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Side_Segment_04_below_side_port,CsI_Side_Segment_04_below_side_port,51120,Sb-120,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006787041637143035545094462046,1,1,CsI_Side_Segment_04_below_side_port,-18.78655,-4.761363,1.166364,1,neutronInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Side_Segment_04_rectcut_window_band,Window,53122,I-122,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006787041637143035545094462046,1,1,CsI_Side_Segment_04_rectcut_window_band,-14.41555,-4.582242,9.015242,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Side_Segment_05,CsI_Side_Segment_05,53128,I-128,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006787041637143035545094462046,1,1,CsI_Side_Segment_05,-6.695044,-17.5419,-1.651436,1,nCapture:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_Side_Segment_06,CsI_Side_Segment_06,50111,Sn-111,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006787041637143035545094462046,1,1,CsI_Side_Segment_06,-4.129023,-16.82487,-12.76055,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_TopAnnulus_Segment_00,CsI_TopAnnulus_Segment_00,56131,Ba-131,0,gs,EMITTED_CANDIDATE,1,1,1,0.000403462373866759445525846412,1,1,CsI_TopAnnulus_Segment_00,14.87253,0.7743354,-8.123164,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_TopAnnulus_Segment_02,CsI_TopAnnulus_Segment_02,54125,Xe-125,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006787039079712173102139547006,1,1,CsI_TopAnnulus_Segment_02,-0.3765012,16.73223,7.127694,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_TopAnnulus_Segment_04,CsI_TopAnnulus_Segment_04,48109,Cd-109,0,gs,EMITTED_CANDIDATE,1,1,1,0.00001512616054103533876839627636,1,1,CsI_TopAnnulus_Segment_04,-8.842675,-8.079065,11.93384,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_TopAnnulus_Segment_04,CsI_TopAnnulus_Segment_04,53124,I-124,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006224189124019870421801063666,1,1,CsI_TopAnnulus_Segment_04,-6.884254,-11.99991,11.37962,1,alphaInelastic:1,RadioactiveDecay:1,alpha:1,PASS
alpha,CsI_TopAnnulus_Segment_05,CsI_TopAnnulus_Segment_05,53125,I-125,0,gs,EMITTED_CANDIDATE,1,1,1,0.0001089957958824253357549497895,1,1,CsI_TopAnnulus_Segment_05,-0.9727544,-15.35821,6.76975,1,neutronInelastic:1,RadioactiveDecay:1,alpha:1,PASS
