time_bin_id,day_mid,ZA,nuclide,half_life_s,day15_activity_Bq,activity_Bq,activity_scale_to_day15,selected_events_day15,selection_response_cps_per_Bq,selected_rate_cps
0,0.0,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03490034936271489,0.9886416600539999,0,0.0,0.0
1,0.25,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03331610199622955,0.9437638013809999,0,0.0,0.0
2,0.5,3008,Li-8,0.8387000000000001,0.035301313684079044,0.031885585540905065,0.9032407639630001,0,0.0,0.0
3,0.75,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03066829174379936,0.868757803697,0,0.0,0.0
4,1.0,3008,Li-8,0.8387000000000001,0.035301313684079044,0.029992444523895937,0.849612702584,0,0.0,0.0
5,1.25,3008,Li-8,0.8387000000000001,0.035301313684079044,0.02983596809697814,0.845180107573,0,0.0,0.0
6,1.5,3008,Li-8,0.8387000000000001,0.035301313684079044,0.030186467309012085,0.8551088942229998,0,0.0,0.0
7,1.75,3008,Li-8,0.8387000000000001,0.035301313684079044,0.031068934822608862,0.8801070436259999,0,0.0,0.0
8,2.0,3008,Li-8,0.8387000000000001,0.035301313684079044,0.032489827232155696,0.9203574553319999,0,0.0,0.0
9,2.25,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03411083793963612,0.966276729668,0,0.0,0.0
10,2.5,3008,Li-8,0.8387000000000001,0.035301313684079044,0.035862219985377114,1.01588910561,0,0.0,0.0
11,2.75,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03783448730601419,1.07175862192,0,0.0,0.0
12,3.0,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03983192795037179,1.12834123701,0,0.0,0.0
13,3.25,3008,Li-8,0.8387000000000001,0.035301313684079044,0.04157380677896558,1.17768441002,0,0.0,0.0
14,3.5,3008,Li-8,0.8387000000000001,0.035301313684079044,0.04274594541727172,1.21088823492,0,0.0,0.0
15,3.75,3008,Li-8,0.8387000000000001,0.035301313684079044,0.04309782496609377,1.22085612314,0,0.0,0.0
16,4.0,3008,Li-8,0.8387000000000001,0.035301313684079044,0.04253974156364454,1.20504698336,0,0.0,0.0
17,4.25,3008,Li-8,0.8387000000000001,0.035301313684079044,0.0411825719171261,1.1666016819,0,0.0,0.0
18,4.5,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03929183070315465,1.11304160108,0,0.0,0.0
19,4.75,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03717875043445734,1.05318319786,0,0.0,0.0
20,5.0,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03513676001878845,0.995338596553,0,0.0,0.0
21,5.25,3008,Li-8,0.8387000000000001,0.035301313684079044,0.033357302567689935,0.9449309129460001,0,0.0,0.0
22,5.5,3008,Li-8,0.8387000000000001,0.035301313684079044,0.031748619009616216,0.899360836646,0,0.0,0.0
23,5.75,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03037490095097938,0.860446759087,0,0.0,0.0
24,6.0,3008,Li-8,0.8387000000000001,0.035301313684079044,0.029562976126862067,0.8374469117900001,0,0.0,0.0
25,6.25,3008,Li-8,0.8387000000000001,0.035301313684079044,0.029299620236282558,0.829986682606,0,0.0,0.0
26,6.5,3008,Li-8,0.8387000000000001,0.035301313684079044,0.029562976126862067,0.8374469117900001,0,0.0,0.0
27,6.75,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03036287244849776,0.8601060209889999,0,0.0,0.0
28,7.0,3008,Li-8,0.8387000000000001,0.035301313684079044,0.031722981067585046,0.8986345763639999,0,0.0,0.0
29,7.25,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03331610199622955,0.9437638013809999,0,0.0,0.0
30,7.5,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03507796296112851,0.9936730195100001,0,0.0,0.0
31,7.75,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03710034331111388,1.05096211555,0,0.0,0.0
32,8.0,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03919272386272406,1.11023414634,0,0.0,0.0
33,8.25,3008,Li-8,0.8387000000000001,0.035301313684079044,0.04108279111919421,1.16377513559,0,0.0,0.0
34,8.5,3008,Li-8,0.8387000000000001,0.035301313684079044,0.04244410863582826,1.20233793608,0,0.0,0.0
35,8.75,3008,Li-8,0.8387000000000001,0.035301313684079044,0.043010066835053935,1.21837014962,0,0.0,0.0
36,9.0,3008,Li-8,0.8387000000000001,0.035301313684079044,0.0426681003392049,1.20868307398,0,0.0,0.0
37,9.25,3008,Li-8,0.8387000000000001,0.035301313684079044,0.04150619349013906,1.17576909068,0,0.0,0.0
38,9.5,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03977370263642431,1.12669185607,0,0.0,0.0
39,9.75,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03778447230241278,1.07034181902,0,0.0,0.0
40,10.0,3008,Li-8,0.8387000000000001,0.035301313684079044,0.035819630244210414,1.01468264226,0,0.0,0.0
41,10.25,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03407571343960659,0.965281738367,0,0.0,0.0
42,10.5,3008,Li-8,0.8387000000000001,0.035301313684079044,0.032463317882562036,0.9196065102019999,0,0.0,0.0
43,10.75,3008,Li-8,0.8387000000000001,0.035301313684079044,0.031068934822608862,0.8801070436259999,0,0.0,0.0
44,11.0,3008,Li-8,0.8387000000000001,0.035301313684079044,0.030213881804516257,0.8558854799259998,0,0.0,0.0
45,11.25,3008,Li-8,0.8387000000000001,0.035301313684079044,0.02987705993523839,0.8463441389920001,0,0.0,0.0
46,11.5,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03004974580484755,0.8512359079259999,0,0.0,0.0
47,11.75,3008,Li-8,0.8387000000000001,0.035301313684079044,0.030734000774038327,0.8706191800419999,0,0.0,0.0
48,12.0,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03195813807156527,0.905295999961,0,0.0,0.0
49,12.25,3008,Li-8,0.8387000000000001,0.035301313684079044,0.0333935955356954,0.945959004091,0,0.0,0.0
50,12.5,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03498107395174718,0.990928390507,0,0.0,0.0
51,12.75,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03681868801217624,1.04298350882,0,0.0,0.0
52,13.0,3008,Li-8,0.8387000000000001,0.035301313684079044,0.038725175714950044,1.09698964921,0,0.0,0.0
53,13.25,3008,Li-8,0.8387000000000001,0.035301313684079044,0.040436255441853655,1.14546035889,0,0.0,0.0
54,13.5,3008,Li-8,0.8387000000000001,0.035301313684079044,0.04165110977747274,1.17987421517,0,0.0,0.0
55,13.75,3008,Li-8,0.8387000000000001,0.035301313684079044,0.04212273899292142,1.19323431898,0,0.0,0.0
56,14.0,3008,Li-8,0.8387000000000001,0.035301313684079044,0.04175091059230853,1.18270132851,0,0.0,0.0
57,14.25,3008,Li-8,0.8387000000000001,0.035301313684079044,0.04062399468777686,1.15077855321,0,0.0,0.0
58,14.5,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03898060692044238,1.10422539142,0,0.0,0.0
59,14.75,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03711809535509388,1.0514649876,0,0.0,0.0
60,15.0,3008,Li-8,0.8387000000000001,0.035301313684079044,0.035301313684079044,1.0,0,0.0,0.0
61,15.25,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03373337987564977,0.955584264584,0,0.0,0.0
62,15.5,3008,Li-8,0.8387000000000001,0.035301313684079044,0.032299977655414376,0.914979480494,0,0.0,0.0
63,15.75,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03106259317424118,0.879927400216,0,0.0,0.0
64,16.0,3008,Li-8,0.8387000000000001,0.035301313684079044,0.030354734421298102,0.859875490554,0,0.0,0.0
65,16.25,3008,Li-8,0.8387000000000001,0.035301313684079044,0.030153897760905563,0.85418627847,0,0.0,0.0
66,16.5,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03045012111122562,0.862577562516,0,0.0,0.0
67,16.75,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03125180285995494,0.8852872485040001,0,0.0,0.0
68,17.0,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03257968484754381,0.9229029021159999,0,0.0,0.0
69,17.25,3008,Li-8,0.8387000000000001,0.035301313684079044,0.03409447909567811,0.9658133235720001,0,0.0,0.0
