time_bin_id,day_mid,elapsed_stop_day,dt_s,prompt_old_scalar,prompt_family_response_scale,delayed_selected_response_scale,atm511_scale,science_scale,prompt_event_rate_hz,delayed_event_rate_hz,atm511_event_rate_hz,coincidence_occupancy_rate_hz,accidental_live_factor,prompt_final_cps_noacc,delayed_final_cps_noacc,atm511_final_cps_noacc,background_final_cps_noacc,signal_final_cps_noacc,prompt_final_upper95_cps_noacc,delayed_final_upper95_cps_noacc,atm511_final_upper95_cps_noacc,background_final_upper95_cps_noacc,signal_final_lower95_cps_noacc,cumulative_source_counts,cumulative_background_counts,cumulative_source_lower95_counts,cumulative_background_upper95_counts,counting_Z,counting_Z_conservative95,prompt_scale_alpha,prompt_scale_eminus,prompt_scale_eplus,prompt_scale_gamma,prompt_scale_muminus,prompt_scale_muplus,prompt_scale_n,prompt_scale_p
0,0.0,0.125,10800.0,0.9995980883233027,0.9903376529197038,0.22917036907158156,1.0,1.0,23590.805161829932,7.334460589345588,202.4765592953111,23800.61618171459,0.9764803847373338,0.0033602468659776827,0.00020653420503706043,0.0015552613519498118,0.005122042422964555,0.0011134811712591435,0.043042486445943044,0.0002966175700378014,0.003064484872204819,0.046403588888185666,0.0011069016402656172,11.74275924309618,54.016998722827644,11.673371587171921,489.3716987718689,1.5977356720262192,0.5276875956727369,0.988057593631,0.991606226249,0.992880138908,0.99481095789,0.990330158561,0.99033947076,0.988641660054,0.988792148348
1,0.25,0.375,21600.0,0.987358392119787,0.9517295337716026,0.3671215587858308,0.9131205669627661,1.033008816969226,22520.25187643148,8.344687841791943,184.8855106204046,22713.482074893676,0.9775425271092141,0.0032292483010072175,0.00033085934976224865,0.0014201411274676902,0.004980248778237157,0.001150235867439916,0.04116439802104294,0.0004751692163201502,0.0027982441639564843,0.044437811401319575,0.001143439153912081,36.029895938279864,159.174546211135,35.816996229566,1427.6724686311584,2.855789533614653,0.9479269461856822,0.978422102147,0.963271483165,0.963671071616,0.947867098147,0.911224443473,0.909827398832,0.943763801381,0.975113393836
2,0.5,0.625,21600.0,0.9775859608713237,0.917520498241179,0.4984461796167251,0.8412402269552428,1.0605306589851686,21609.940580238497,8.985672246714987,170.3314266947042,21789.25767917992,0.9784464133931524,0.003113175965384788,0.0004492124609213542,0.0013083484126889774,0.0048707368389951195,0.0011808809203230368,0.039425541693094174,0.0006451440262172728,0.00257796794939449,0.04264865366870593,0.001173903125982659,60.98715588278464,262.1148540101832,60.62678438060284,2329.027988544106,3.766973492091397,1.25625319775215,0.969344033594,0.936829091745,0.938927442252,0.908475750161,0.823140830933,0.81487297442,0.903240763963,0.958486155973
3,0.75,0.875,21600.0,0.9706063435772849,0.8893150496633434,0.5842922740041757,0.788245117390312,1.0809072123607733,20901.981000494277,9.340599942209083,159.60115925051895,21070.922759687008,0.9791495181208505,0.003017473989490258,0.0005265791594682791,0.0012259271669402948,0.0047699803158988315,0.0012035698288419296,0.037931801298860215,0.00075625551073248,0.0024155652378319227,0.04110362204742462,0.0011964579663370756,86.44221195018864,362.9981708497621,85.93142719032413,3198.3543697124655,4.537050916416296,1.5194581201857222,0.961160526391,0.913833895049,0.920132696886,0.878440846597,0.732983306766,0.716739853313,0.868757803697,0.939842811618
4,1.0,1.125,21600.0,0.9664823980807905,0.8735454779290552,0.6415995938145971,0.7559934969234631,1.093330335569814,20492.043290569673,9.61727400474777,153.07096210669314,20654.731526681113,0.9795571163796217,0.0029639673356316185,0.0005782259835660009,0.001175767468090451,0.004717960787288071,0.001217402742623429,0.03710036587279494,0.0008304289652519728,0.002316730634807173,0.04024752547285408,0.001210209141794385,112.20054718298456,462.82283143190364,111.5375570968152,4049.9289695743187,5.215399577119644,1.7526589912450903,0.95767710467,0.90089524981,0.909423427186,0.860892667369,0.684550635909,0.665519674484,0.849612702584,0.930401268155
5,1.25,1.375,21600.0,0.9651818096122368,0.8699330012741733,0.6821474515130582,0.8740560560458868,1.0974945300661616,20379.2130648169,9.888187477347975,176.97586285940073,20566.077115153646,0.9796439622889115,0.0029517100884975758,0.0006147687512441894,0.0013593856034058464,0.004925864443147612,0.0012220394947885728,0.03688302729399909,0.000882910475272142,0.002678531561211627,0.04044446933048286,0.001214818495512777,138.05928121834606,567.0556480248206,137.24349255198462,4905.746461626189,5.797660332235395,1.9594726757243417,0.958759836952,0.898091355058,0.907040401121,0.855887204989,0.670426126608,0.650742663513,0.845180107573,0.929381109029
6,1.5,1.625,21600.0,0.9666800367242471,0.8782592816186715,0.7143418628615348,0.8867292144365431,1.093330335569814,20560.85787659822,10.201799630377943,179.54188036574533,20750.60155659434,0.9794632107110143,0.002979961420101869,0.0006437831791627342,0.0013790956768579726,0.005002840276122576,0.001217402742623429,0.03726047541675219,0.0009245800336084546,0.0027173682633828493,0.040902423713743495,0.001210209141794385,163.81514711714217,672.8977648145691,162.8471677157056,5771.09471756714,6.315089549541433,2.1436363285892814,0.964164236961,0.905287423461,0.912964342452,0.863353276996,0.688262188502,0.669287383736,0.855108894223,0.936348221448
7,1.75,1.875,21600.0,0.9709942780162459,0.8990368579838313,0.7444541625164017,0.9245581828036743,1.0809072123607733,21044.238403362364,10.600245608235072,187.20135972241323,21242.040008693013,0.9789819830834202,0.003050460391495922,0.0006709211547057815,0.0014379296093435037,0.0051593111555452075,0.0012035698288419296,0.03826321457279876,0.0009635546933258586,0.0028332945646750373,0.04206006383079965,0.0011964579663370756,189.26584775803354,781.9966144088104,188.14748083501513,6660.497283037276,6.768147549047804,2.3053935833873913,0.974328348245,0.922754667383,0.927414800332,0.883538783667,0.741029533251,0.72489052383,0.880107043626,0.951989141384
8,2.0,2.125,21600.0,0.9781496956660047,0.9321537014894671,0.7770378487586908,0.9867178601881051,1.0605306589851682,21824.994822693054,11.112613009145587,199.78723732611934,22035.89467302832,0.978205122068018,0.0031628268851587745,0.0007002864071269013,0.0015346041532291778,0.005397717445514854,0.0011808809203230363,0.03992786355910701,0.001005728094168282,0.0030237819556807577,0.04395737360895605,0.0011739031259826586,214.21695307798115,896.0462312266666,212.95115072900964,7589.282768203144,7.156301494070345,2.4444413634534836,0.988651032817,0.949923777123,0.949837614657,0.916210920185,0.836308593345,0.828130469766,0.920357455332,0.976487563549
9,2.25,2.375,21600.0,0.9880765706559972,0.9709138086804487,0.8126190407260045,1.0710286349337719,1.0330088169692258,22803.098005874093,11.682563272222092,216.85819290814396,23031.63876205446,0.9772315648872084,0.003294341150348503,0.000732353088465381,0.0016657294427440594,0.005692423681557943,0.0011502358674399158,0.0418257952494847,0.0010517811975566025,0.0032821510494527215,0.04615972749649403,0.0011434391539120808,238.49636388729957,1016.2030590369918,237.0870951375951,8563.631611304329,7.481548802749998,2.5619988311476223,1.00299627671,0.980098601114,0.977865316941,0.958072428847,0.929679242777,0.928277066606,0.966276729668,0.998197005015
