source_family,local_id,source_file,tes_energy_keV,init_energy_keV,theta_local_deg,phi_local_deg,theta_from_global_plus_z_deg,entry_class,entry_surface_proxy,entry_region_proxy,entry_phi_deg_local,xz_init_quadrant,first_recorded_volume,first_recorded_material,init_x_cm,init_y_cm,init_z_cm,dir_x,dir_y,dir_z,side_compton_class
eplus,12403,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.99896,142.273,114.3577437538264,156.42295739258745,72.61692388595858,top,top,top_phi05_225deg,229.59167688584725,right_lower,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,54.06556,-36.13443,-5.90792,-0.88203,0.36438,0.29876,keep
eplus,34023,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.9989,10.451,135.81397005697005,179.76653723639228,90.81420450013746,top,top,top_phi01_045deg,49.32953729471958,right_lower,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,geoopt_plastic_active,64.65843,16.06134,-3.6973,-0.99989,0.00284,-0.01421,single
eplus,71105,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.998946,13.468,111.19714337672853,88.77145691299302,105.65291815902656,side_wall,side,side_phi06_270deg,278.35387206925384,right_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,0.65591,-67.77909,-3.85815,-0.24154,0.93213,-0.26981,veto
eplus,88910,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.99890000000005,165.269,34.46655006642085,19.648285054861972,78.10553684811624,side_wall,side,side_phi03_135deg,131.87767010936255,left_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-58.68781,13.93605,-5.26549,0.95985,0.19029,0.20611,keep
eplus,125566,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.99894,116.959,77.48722725354446,67.25641798466273,96.52748725252066,side_wall,side,side_phi05_225deg,246.76655292475238,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-27.19745,-51.92485,3.9516,0.42008,0.90034,-0.11368,single
eplus,130016,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.99890500000004,563.064,86.58138580151456,56.13189060206396,110.56024885958767,side_window,side,side_neg_x_window_axis_pm15deg,180.599024297157,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-37.46092,-36.74401,36.59293,0.43552,0.82884,-0.35119,keep
eplus,211256,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.998959,121.248,106.93910957169473,298.1646237815541,121.68831502698478,top,top,top_phi00_000deg,12.414202989186135,right_upper,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,1.64539,52.20651,34.28196,0.11326,-0.84335,-0.5253,single
eplus,36753,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.99888,89.022,126.69274872258234,175.43067389869523,81.79708221068601,top,top,top_phi00_000deg,357.9349139912734,right_lower,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,63.07589,-3.63192,-8.84427,-0.98771,0.06388,0.14268,single
eplus,90474,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.9989,1228.66,84.81643434139049,145.07030095638774,50.11571276722065,envelope_miss,miss_current_outer_envelope,phi06_270deg,,right_upper,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,45.60996,-71.68236,7.59206,-0.51347,0.57023,0.64124,single
eplus,130729,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.99894000000006,168.22,76.80368011484765,11.830242669254709,120.82299508601146,side_wall,side,side_phi03_135deg,135.5600867175841,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-50.22272,10.84363,36.62634,0.83524,0.1996,-0.51239,veto
eplus,156993,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.99893000000003,148.234,158.6058955077283,279.7135575086142,134.5798487336395,side_wall,side,side_phi02_090deg,95.75216983529693,right_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,30.16901,53.12517,40.2641,-0.61486,-0.35955,-0.7019,keep
eplus,192957,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.998868,44.81,78.12967270884198,292.4774679149748,96.84074223497869,envelope_miss,miss_current_outer_envelope,phi03_135deg,,left_upper,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,-15.3215,55.5256,18.48458,0.41001,-0.90427,-0.11911,keep
eplus,231354,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.99894000000006,365.181,103.59875217988333,196.63270343425836,60.50998859922802,envelope_miss,miss_current_outer_envelope,phi01_045deg,,right_upper,TP_L1_00360,tes,65.77783,27.57023,0.87293,-0.82478,-0.27821,0.49227,veto
eplus,28520,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.99890000000005,1439.489,109.35037641150807,212.85668044139638,70.96528924165827,side_wall,side,side_phi07_315deg,335.2536519621229,right_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,48.90007,15.62975,-46.73031,-0.79473,-0.51189,0.32614,single
eplus,71755,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.99890600000003,279.82,71.10420340742594,119.18498793252438,56.27411019978542,side_wall,side,side_phi06_270deg,252.40741047152272,left_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-15.67733,-54.60262,-25.8746,-0.09723,0.826,0.55522,keep
eplus,80084,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.99890000000005,57.458,136.2229033953679,210.3740490159797,95.07676529134814,top,top,top_phi06_270deg,292.4925054440556,right_upper,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,geoopt_plastic_active,68.44518,0.9178,4.86164,-0.93262,-0.34983,-0.08849,single
