pilot,source,run_status,sim_outputs,activity_Bq,triggers,normalization_rule
v2_weighted_eventlist,engineering/delayed_source_authority_v2_20260624/07_transport/pilot_inputs/v2_eventlist_pilot1000.source,PASS,engineering/delayed_source_authority_v2_20260624/07_transport/pilot_runs/v2_eventlist_pilot1000.inc1.id1.sim.gz,86.999842066995796472549657847893265995051576885679999999999999999999999999991435,1000,pilot_event_weight_Bq from weighted PPS ledger
native_volume_activation,engineering/delayed_source_authority_v2_20260624/07_transport/pilot_inputs/native_activation_sources_pilot1000.source,PASS,engineering/delayed_source_authority_v2_20260624/07_transport/pilot_runs/native_activation_pilot1000.inc1.id1.sim.gz,86.99984206699579647254965784789326599505157688568,1000,sum(RP activity in native ActivationSources store)/Triggers
legacy_l0,engineering/delayed_source_authority_v2_20260624/07_transport/pilot_inputs/legacy_l0_pilot1000.source,TIMEOUT_PREVIOUS,,85.4492025,1000,sum(Source.Flux)/Triggers
