VN,ZA,nuclide,exc_keV,RP_yield,hl_s,Activity_Bq,Points
CsI_Side_Segment_03_above_side_port,54133,Xe-133,0.0,0.25,452995.2,0.001175566470350737,2
CsI_Side_Segment_02,54133,Xe-133,0.0,0.25,452995.2,0.0011728102644665466,2
CsI_Side_Segment_04_below_side_port,54133,Xe-133,0.0,0.25,452995.2,0.001170054058582356,2
CsI_Side_Segment_03_below_side_port,54133,Xe-133,0.0,0.25,452995.2,0.001170054058582356,2
CsI_Side_Segment_00,51126,Sb-126,0.0,0.375,1067040.0,0.0011600642330622055,3
CsI_Side_Segment_06,52118,Te-118,0.0,0.25,518400.0,0.0011174746742832835,2
CsI_Bottom_Quadrant_03,52118,Te-118,0.0,0.25,518400.0,0.0011169619612810548,2
CsI_TopAnnulus_Segment_04,52118,Te-118,0.0,0.25,518400.0,0.0011169619612810548,2
CsI_Side_Segment_00,52118,Te-118,0.0,0.25,518400.0,0.0011169619612810548,2
CsI_Bottom_Quadrant_00,52118,Te-118,0.0,0.25,518400.0,0.0011169619612810548,2
Passive_W_Bottom_Plate_detector_bay,74178,W-178,0.0,0.5,1866240.0000000002,0.00103675006657989,4
CsI_Side_Segment_04_below_side_port,54127,Xe-127,0.0,0.75,3144960.0,0.0010125942773271898,6
CsI_Side_Segment_05,54127,Xe-127,0.0,0.75,3144960.0,0.001012467187852493,6
CsI_Side_Segment_04_side_port_band_00,53125,I-125,0.0,1.125,5132160.0,0.0009811259814116772,9
W_Side_Aperture_Sleeve_collimator_YM_panel,74185,W-185,0.0,1.375,6488639.999999999,0.0009648150433187954,11
CsI_TopAnnulus_Segment_01,55131,Cs-131,0.0,0.25,837129.6,0.0008928538015401,2
CsI_TopAnnulus_Segment_02,55131,Cs-131,0.0,0.25,837129.6,0.0008928538015401,2
CsI_TopAnnulus_Segment_06,52121,Te-121,0.0,0.375,1655424.0,0.0008536797318856907,3
CsI_TopAnnulus_Segment_03,52121,Te-121,0.0,0.375,1655424.0,0.000852341202370705,3
CsI_Bottom_Quadrant_01,54127,Xe-127,0.0,0.625,3144960.0,0.0008441884302898929,5
CsI_Side_Segment_02,54127,Xe-127,0.0,0.625,3144960.0,0.0008439065939013744,5
Cryoperm_Horizontal_Sleeve_1p2mm_YP_panel,27058,Co-58,0.0,1.125,6122304.0,0.0008332523753844316,9
CsI_TopAnnulus_Segment_03,56131,Ba-131,0.0,0.25,993600.0,0.0008095265171414062,2
CsI_Side_Segment_03_above_side_port,56131,Ba-131,0.0,0.25,993600.0,0.0008081764707459039,2
CsI_Side_Segment_05,56131,Ba-131,0.0,0.25,993600.0,0.0008081764707459039,2
CsI_Side_Segment_03_below_side_port,56131,Ba-131,0.0,0.25,993600.0,0.0008081764707459039,2
CsI_TopAnnulus_Segment_04,56131,Ba-131,0.0,0.25,993600.0,0.0008078058381346964,2
CsI_TopAnnulus_Segment_04,53125,I-125,0.0,0.875,5132160.0,0.0007630564669062691,7
CsI_Side_Segment_03_side_port_band_00,53125,I-125,0.0,0.875,5132160.0,0.0007627432634843032,7
CsI_Side_Segment_04_below_side_port,53125,I-125,0.0,0.875,5132160.0,0.0007627432634843032,7
CsI_TopAnnulus_Segment_05,53125,I-125,0.0,0.875,5132160.0,0.0007625432485704535,7
W_Side_Aperture_Sleeve_collimator_ZM_panel,73186,Ta-186,0.0,0.125,630.0,0.0006816037864453545,1
DR_MXC_Sinter_HEX_AgProxy,45104,Rh-104,0.0,0.125,42.3,0.0006816037864453545,1
DR_Still_PumpLine_SS_to_300K_top,24049,Cr-49,0.0,0.125,2538.0,0.0006816037864453545,1
G10_Support_Ring_MXC_CP,13028,Al-28,0.0,0.125,134.484,0.0006816037864453545,1
CsI_Side_Segment_04_below_side_port,52131,Te-131,0.0,0.125,1500.0,0.0006816037864453545,1
ColdPlate_Still_0p7K,27061,Co-61,0.0,0.125,5940.0,0.0006816037864453545,1
G10_Support_Ring_60K_Top,13029,Al-29,0.0,0.125,393.59999999999997,0.0006816037864453545,1
W_Side_Aperture_Sleeve_collimator_ZP_panel,72184,Hf-184,0.0,0.125,14832.0,0.0006816037864453545,1
ColdPlate_Still_0p7K,27062,Co-62,0.0,0.125,90.0,0.0006816037864453545,1
W_Side_Aperture_Sleeve_collimator_ZP_panel,73176,Ta-176,0.0,0.125,29124.0,0.0006816037864453271,1
W_Side_Aperture_Sleeve_collimator_YP_panel,73180,Ta-180,0.0,0.125,29347.199999999997,0.0006816037864453198,1
W_Side_Aperture_Sleeve_collimator_YM_panel,73180,Ta-180,0.0,0.125,29347.199999999997,0.0006816037864453198,1
W_Side_Aperture_Sleeve_collimator_YP_panel,73184,Ta-184,0.0,0.125,31319.999999999996,0.0006816037864451162,1
W_Side_Aperture_Sleeve_collimator_YM_panel,73184,Ta-184,0.0,0.125,31319.999999999996,0.0006816037864451162,1
W_Side_Aperture_Sleeve_collimator_ZM_panel,73184,Ta-184,0.0,0.125,31319.999999999996,0.0006816037864451162,1
CsI_TopAnnulus_Segment_06,52127,Te-127,0.0,0.125,33660.0,0.0006816037864436044,1
CsI_TopAnnulus_Segment_01,52127,Te-127,0.0,0.125,33660.0,0.0006816037864436044,1
NbTi_Bundle_4K_60K,38091,Sr-91,0.0,0.125,34668.0,0.0006816037864415519,1
W_Side_Aperture_Sleeve_collimator_YP_panel,73175,Ta-175,0.0,0.125,37800.0,0.0006816037864128081,1
CsI_TopAnnulus_Segment_05,53130,I-130,0.0,0.125,44496.0,0.0006816037852821179,1
CsI_Side_Segment_04_above_side_port,53130,I-130,0.0,0.125,44496.0,0.0006816037852821179,1
DR_MXC_Sinter_HEX_AgProxy,46109,Pd-109,0.0,0.125,49324.32,0.0006816037780517684,1
CsI_Side_Segment_01,52119,Te-119,0.0,0.125,57780.0,0.0006816036658147997,1
CsI_TopAnnulus_Segment_07,54125,Xe-125,0.0,0.125,60839.99999999999,0.000681603522776572,1
DR_Continuous_HEX_CuNi_MXC_to_CP,28057,Ni-57,0.0,0.125,128160.0,0.0006809880307426015,1
CsI_TopAnnulus_Segment_06,49108,In-108,0.0,0.125,3480.0,0.0006801647631122164,1
Outer_Al_Mechanical_Shell_detector_bay_top_annulus,15030,P-30,0.0,0.125,149.88000000000002,0.0006801647631122164,1
Passive_W_Liner_detector_bay_below_side_port,72169,Hf-169,0.0,0.125,194.4,0.0006801647631122164,1
Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_01,9018,F-18,0.0,0.125,6586.2,0.0006801647631122164,1
CsI_Side_Segment_04_below_side_port,49108,In-108,0.0,0.125,3480.0,0.0006801647631122164,1
CsI_Side_Segment_06,57132,La-132,0.0,0.125,17280.0,0.0006801647631122164,1
Cu_SubstrateSupport_EdgeRod_2,29061,Cu-61,0.0,0.125,11998.800000000001,0.0006801647631122164,1
Cu_SubstrateSupport_SolidDisk_L0_deepest,29061,Cu-61,0.0,0.125,11998.800000000001,0.0006801647631122164,1
Passive_W_Liner_detector_bay_above_side_port,72169,Hf-169,0.0,0.125,194.4,0.0006801647631122164,1
CsI_Side_Segment_02,46101,Pd-101,0.0,0.125,30492.000000000004,0.0006801647631121073,1
CsI_TopAnnulus_Segment_07,52119,Te-119,0.0,0.125,57780.0,0.0006801646427363405,1
ActiveShield_Flex_Kapton_detector_bay_above_side_port,6011,C-11,0.0,0.125,1223.4,0.0006790304531577632,1
ActiveShield_Flex_Kapton_detector_bay_side_port_band_00,6011,C-11,0.0,0.125,1223.4,0.0006790304531577632,1
ColdPlate_4K,29059,Cu-59,0.0,0.125,81.5,0.0006790304531577632,1
CsI_Bottom_Quadrant_00,50110,Sn-110,0.0,0.125,14796.000000000002,0.0006790304531577632,1
CsI_Bottom_Quadrant_01,54121,Xe-121,0.0,0.125,2406.0,0.0006790304531577632,1
CsI_Bottom_Quadrant_01,55123,Cs-123,0.0,0.125,352.8,0.0006790304531577632,1
CsI_Bottom_Quadrant_02,47104,Ag-104,0.0,0.125,4152.0,0.0006790304531577632,1
CsI_Side_Segment_00,54123,Xe-123,0.0,0.125,7488.0,0.0006790304531577632,1
CsI_Side_Segment_03_side_port_band_00,51115,Sb-115,0.0,0.125,1926.0,0.0006790304531577632,1
CsI_Side_Segment_04_above_side_port,51116,Sb-116,0.0,0.125,948.0,0.0006790304531577632,1
CsI_Side_Segment_04_above_side_port,56127,Ba-127,0.0,0.125,762.0,0.0006790304531577632,1
CsI_Side_Segment_07,54123,Xe-123,0.0,0.125,7488.0,0.0006790304531577632,1
CsI_TopAnnulus_Segment_01,53121,I-121,0.0,0.125,7632.0,0.0006790304531577632,1
CsI_TopAnnulus_Segment_03,51118,Sb-118,0.0,0.125,216.0,0.0006790304531577632,1
CsI_TopAnnulus_Segment_04,56129,Ba-129,0.0,0.125,8028.0,0.0006790304531577632,1
CsI_Bottom_Quadrant_00,49117,In-117,0.0,0.125,2592.0,0.0006790304531577632,1
CsI_Bottom_Quadrant_02,55123,Cs-123,0.0,0.125,352.8,0.0006790304531577632,1
CsI_Side_Segment_04_above_side_port,51118,Sb-118,0.0,0.125,216.0,0.0006790304531577632,1
