case_id,time_bin_id,day_mid,elapsed_stop_day,dt_s,T_atm_vertical,T_atm_slant,science_scale_to_day15,accidental_live_factor,source_cps,background_cps,cumulative_source_counts,cumulative_background_counts,counting_Z
w2_hard_window,0,0.0,0.125,10800.0,0.7390423888027,0.6520342542373311,1.0,0.9992367455821493,0.0010413105304750297,0.07033609819336259,11.24615372913032,759.629860488316,0.4080402469175318
w2_hard_window,1,0.25,0.375,21600.0,0.7634373037471879,0.6826789626589138,1.0469986173616401,0.9992446971269093,0.0010902593614504406,0.07058719634928363,34.79575593645984,2284.3133016328425,0.7280286018062772
w2_hard_window,2,0.5,0.625,21600.0,0.7837771116149006,0.7085421765182374,1.0866640393716773,0.9992518746502125,0.0011315718397308578,0.07012515924345837,59.23770767464637,3799.0167412915434,0.9610868621094943
w2_hard_window,3,0.75,0.875,21600.0,0.7988362482971733,0.7278710495576816,1.116307992758839,0.9992569945649767,0.001162446823981137,0.0698002868107431,84.34655907263894,5306.702936403594,1.157857149631936
w2_hard_window,4,1.0,1.125,21600.0,0.808017462949973,0.7397298852634182,1.134495435563677,0.9992599848013027,0.0011813895187300885,0.0696362356601151,109.86457267720886,6810.845626662081,1.3312424338570503
w2_hard_window,5,1.25,1.375,21600.0,0.8110949791979928,0.7437174703023954,1.1406110422408775,0.9992608548624698,0.0011877589466567494,0.06964284120075905,135.52016592499464,8315.130996598476,1.4861730341008228
w2_hard_window,6,1.5,1.625,21600.0,0.808017462949973,0.7397298852634182,1.134495435563677,0.9992596127161933,0.0011813890788271054,0.06982697871312221,161.03817002766013,9823.393736801916,1.624793043444347
w2_hard_window,7,1.75,1.875,21600.0,0.7988362482971733,0.7278710495576816,1.116307992758839,0.9992562373564784,0.0011624459431120325,0.07019615988760568,186.14700239888003,11339.630790374198,1.7480610246458597
w2_hard_window,8,2.0,2.125,21600.0,0.7837771116149004,0.708542176518237,1.0866640393716767,0.9992507037591164,0.0011315705137914967,0.07075681805478468,210.58892549677637,12867.978060357547,1.8564376718556594
w2_hard_window,9,2.25,2.375,21600.0,0.7634373037471877,0.6826789626589136,1.04699861736164,0.9992430609296873,0.0010902575762227144,0.07150743782136364,234.138489143187,14412.538717299001,1.9503051524465602
w2_hard_window,10,2.5,2.625,21600.0,0.7390423888027,0.6520342542373311,1.0,0.9992335596104209,0.001041307210355023,0.0724269119891004,256.6307248868555,15976.960016263569,2.0303063667423915
w2_hard_window,11,2.75,2.875,21600.0,0.7126370627291281,0.6193334023908916,0.9498479541006801,0.9992228045350435,0.0009890728775187652,0.07346049422761432,277.99469904126084,17563.70669158004,2.0976277833533947
w2_hard_window,12,3.0,3.125,21600.0,0.6870515445807625,0.58812289446444,0.9019815916762737,0.9992118648813025,0.0009392195428346421,0.07450955509302631,298.28184116648913,19173.113081589407,2.1541726034953097
w2_hard_window,13,3.25,3.375,21600.0,0.6655438918795834,0.5622559937833749,0.8623105153287266,0.9992022374938281,0.0008979020105309571,0.07543500474987351,317.6765245939578,20802.509184186674,2.2025575341083297
w2_hard_window,14,3.5,3.625,21600.0,0.6511747745022454,0.5451657636924687,0.8360998830193915,0.9991955732290426,0.0008706037390547383,0.07608280088108164,336.48156535754015,22445.897683218038,2.2459122621212075
w2_hard_window,15,3.75,3.875,21600.0,0.6461225723909806,0.539193661275189,0.8269406979329191,0.9991931945935496,0.0008610645263447458,0.07632899662307485,355.08055912658665,24094.604010276453,2.287531054099605
w2_hard_window,16,4.0,4.125,21600.0,0.6511747745022454,0.5451657636924687,0.8360998830193915,0.9991956099901568,0.0008706037710848676,0.0761252477935161,373.8856005820198,25738.9093626164,2.3304708188787053
w2_hard_window,17,4.25,4.375,21600.0,0.6655438918795834,0.5622559937833749,0.8623105153287266,0.9992023068586722,0.0008979020728635167,0.07551844004034418,393.28028535587174,27370.107667487835,2.3771901573289695
w2_hard_window,18,4.5,4.625,21600.0,0.6870515445807625,0.58812289446444,0.9019815916762737,0.9992119586395836,0.0009392196309637095,0.07463173341626128,413.56742938468784,28982.15310927908,2.4292991892526143
w2_hard_window,19,4.75,4.875,21600.0,0.7126370627291283,0.6193334023908919,0.9498479541006805,0.9992229105248814,0.0009890729824319775,0.07361946275414182,434.93140580521856,30572.333504768543,2.4874621112681976
w2_hard_window,20,5.0,5.125,21600.0,0.7390423888027,0.6520342542373311,1.0,0.9992336617266929,0.0010413073167709948,0.07262214355400291,457.423643847472,32140.971805535006,2.551462015679884
w2_hard_window,21,5.25,5.375,21600.0,0.7634373037471879,0.6826789626589138,1.0469986173616401,0.9992431390483528,0.0010902576614566983,0.07174077322858408,480.9732093349367,33690.57250727242,2.620394570557966
w2_hard_window,22,5.5,5.625,21600.0,0.7837771116149006,0.7085421765182374,1.0866640393716773,0.9992507336341683,0.0011315705476225746,0.0710331688479199,505.4151331635843,35224.88895438749,2.6929198345466108
w2_hard_window,23,5.75,5.875,21600.0,0.7988362482971733,0.7278710495576816,1.116307992758839,0.9992561904905989,0.0011624458885924312,0.07052408406429955,530.5239643571808,36748.209170176364,2.7674954554642732
