component,scope,events,rate_cps,share_of_measured_dominant_subset,share_of_estimated_total_background,counting_relative_1sigma
eplus,measured S3c final W2 screen,2,0.0013599733989203171,0.35018736431578296,0.26924915009340267,0.7071067811865475
n,measured S3c final W2 screen,2,0.0013567020743296366,0.34934501215129116,0.2686014893623768,0.7071067811865475
atm511,measured S3c final W2 screen,6,0.001166883836714055,0.30046762353292583,0.23102104904582518,0.4082482904638631
retained_non_dominant_residual,held at retained S3 value; not measured in S3c,,0.0011674256177452956,,0.23112831149839524,
