volume_class,activity_bq,fraction_of_neutron_only_activity
Window package,31.821756233187223,0.5503183732859049
Cryostat and cold structure,8.145178622133207,0.1408609071293398
S3c W mechanical shell,7.155029643424839,0.12373749095832373
NF2 support,6.962298361798235,0.12040443904852859
S3c BGO active shell,1.4782140966436441,0.025563905746497695
Retained passive W/collimator,1.0717347842335958,0.01853434294233734
Other,1.0516305021728325,0.018186663960741038
S3c Al mechanical shell,0.1384241772831776,0.002393876928340991
