component,entry_surface,events,rate_cps,share_of_selected_component_rate
atm511,bottom,1,0.00019448063945234253,0.16666666666666669
atm511,side,5,0.0009724031972617127,0.8333333333333334
eplus,side,2,0.0013599733989203171,1.0
n,side,1,0.0006783510371648183,0.5
n,top,1,0.0006783510371648183,0.5
