volume,volume_class,material,activity_bq,fraction_of_neutron_only_activity,mass_kg_pre_relief_if_s3c_replacement,activity_bq_per_kg_if_available
TES_L4,Other,mixed/retained,0.005819565321400041,0.00010064226805822545,,
MuMetal_MagShield_Outer_Cylinder_2mm,Other,mixed/retained,0.001389357382849185,2.402723750504155e-05,,
XS400_Group4_SS_TopPipe_GasReturn_LargePort_A_HollowTube_300KTop,Cryostat and cold structure,mixed/retained,0.00011155566274713599,1.9292188150762557e-06,,
Nb_MagShield_Inner_Cylinder_2mm,Other,mixed/retained,1.4013271016100387e-07,2.423423915852958e-09,,
NbTi_Bundle_Still_4K,Other,mixed/retained,4.734213178000002e-08,8.187242953575694e-10,,
NbTi_Bundle_4K_60K,Other,mixed/retained,4.639528916100121e-08,8.023498097375154e-10,,
NbTi_Bundle_bay_to_MXC,Other,mixed/retained,3.976739071499881e-08,6.877284084427543e-10,,
Nb_MagShield_Inner_Back_ColdFingerCap_2mm,Other,mixed/retained,3.40863348939984e-08,5.89481492871865e-10,,
NbTi_Bundle_MXC_CP,Other,mixed/retained,1.5149482174e-08,2.6199177459051477e-10,,
MuMetal_MagShield_Outer_Back_ColdFingerCap_2mm,Other,mixed/retained,4.053891332e-09,7.010709487421096e-11,,
