tag,files,division,rp_raw_total,rp_scaled_total,expected_scaled_total,scaled_rel_error,status
alpha,8,8.0,145.0,18.125,18.125,0.0,PASS
eminus,8,8.0,0.0,0.0,0.0,0.0,PASS
eplus,8,8.0,4.0,0.5,0.5,0.0,PASS
gamma,12,12.0,0.0,0.0,0.0,0.0,PASS
muminus,8,8.0,4422.0,552.75,552.75,0.0,PASS
muplus,8,8.0,14.0,1.75,1.75,0.0,PASS
n,8,8.0,251062.0,31382.75,31382.75,0.0,PASS
p,8,8.0,1662.0,207.75,207.75,0.0,PASS
