incident_family,activity_Bq,fraction,percent
n,133.67231348113341,0.9424597987000747,94.24597987000747
muminus,7.632663429907381,0.05381427351978331,5.38142735197833
p,0.43370069270757744,0.0030578169622459397,0.305781696224594
alpha,0.08250655381704154,0.0005817144035052615,0.05817144035052615
muplus,0.0067934880042912005,4.7897647390529543e-05,0.004789764739052954
eplus,0.004553637330328943,3.210552738956435e-05,0.0032105527389564353
gamma,0.0009067751832367999,6.393239814617231e-06,0.0006393239814617231
