tag,files,tt_files,tt_line_count,tt_sum_s,tt_mean_s,tt_min_s,tt_max_s,rate_hz_per_event,rate_times_tt_sum,expected_files_from_normalization,warnings
alpha,8,8,8,1473.9089999999999,184.23862499999998,183.72,185.196,0.0006784679379798889,1.0,8,
eminus,8,8,8,1473.8729999999998,184.23412499999998,183.849,184.51,0.0006784845098593978,1.0,8,
eplus,8,8,8,1473.8280000000002,184.22850000000003,183.381,184.893,0.0006785052258472494,1.0,8,
gamma,12,12,12,184.23799999999997,15.353166666666665,15.312,15.3858,0.005427761916651288,0.9999999999999999,12,
muminus,8,8,8,1480.768,185.096,181.482,188.002,0.0006753252366339629,1.0,8,
muplus,8,8,8,1469.7069999999999,183.71337499999998,181.086,185.87,0.0006804077275266432,1.0,8,
n,8,8,8,1473.2879999999998,184.16099999999997,183.876,184.452,0.0006787539164100978,1.0,8,
p,8,8,8,1474.3590000000002,184.29487500000002,183.767,184.555,0.0006782608577693763,1.0,8,
