selection_id,time_bin_id,day_mid,dt_s,prompt_event_rate_hz,delayed_event_rate_hz,coincidence_occupancy_rate_hz,coincidence_window_s,accidental_live_factor,accidental_loss_fraction
broad_480_550,0,0.0,10800.0,749.372515771234,14.173329030718348,763.5458448019524,1e-06,0.9992367455821493,0.000763254417850745
broad_480_550,1,0.25,21600.0,740.1967359818898,15.391522034198776,755.5882580160886,1e-06,0.9992446971269093,0.0007553028730906686
broad_480_550,2,0.5,21600.0,732.8706001324844,15.53473507599757,748.4053352084819,1e-06,0.9992518746502125,0.0007481253497875207
broad_480_550,3,0.75,21600.0,727.6381637844643,15.643436580366755,743.281600364831,1e-06,0.9992569945649767,0.0007430054350232584
broad_480_550,4,1.0,21600.0,724.5465498170995,15.742595285269298,740.2891451023688,1e-06,0.9992599848013027,0.0007400151986972636
broad_480_550,5,1.25,21600.0,723.5715326936695,15.84690728536247,739.418439979032,1e-06,0.9992608548624698,0.0007391451375301505
broad_480_550,6,1.5,21600.0,724.6947143336095,15.966791500034763,740.6615058336442,1e-06,0.9992596127161933,0.0007403872838066539
broad_480_550,7,1.75,21600.0,727.9289880766217,16.110384102031414,744.0393721786531,1e-06,0.9992562373564784,0.000743762643521606
broad_480_550,8,2.0,21600.0,733.2932173485963,16.283886271624148,749.5771036202204,1e-06,0.9992507037591164,0.0007492962408836013
broad_480_550,9,2.25,21600.0,740.7351356274468,16.49055770992376,757.2256933373706,1e-06,0.9992430609296873,0.0007569390703127121
broad_480_550,10,2.5,21600.0,750.0057437109097,16.728511466807902,766.7342551777176,1e-06,0.9992335596104209,0.0007664403895790706
broad_480_550,11,2.75,21600.0,760.5097854573147,16.987852469603165,777.4976379269178,1e-06,0.9992228045350435,0.0007771954649564705
broad_480_550,12,3.0,21600.0,771.1973356140475,17.2485248477779,788.4458604618253,1e-06,0.9992118648813025,0.0007881351186974639
broad_480_550,13,3.25,21600.0,780.5998487620619,17.48103925798801,798.0808880200499,1e-06,0.9992022374938281,0.0007977625061719174
broad_480_550,14,3.5,21600.0,787.0985229224607,17.651972870134774,804.7504957925954,1e-06,0.9991955732290426,0.0008044267709573782
broad_480_550,15,3.75,21600.0,789.3972577447469,17.73379135288751,807.1310490976343,1e-06,0.9991931945935496,0.0008068054064503949
broad_480_550,16,4.0,21600.0,786.998763208158,17.714941875506575,804.7137050836646,1e-06,0.9991956099901568,0.0008043900098432255
broad_480_550,17,4.25,21600.0,780.4069714657106,17.604496331784752,798.0114677974954,1e-06,0.9992023068586722,0.0007976931413278265
broad_480_550,18,4.5,21600.0,770.9235754971025,17.428452735692705,788.3520282327953,1e-06,0.9992119586395836,0.000788041360416436
broad_480_550,19,4.75,21600.0,760.1713576280393,17.22020802775983,777.3915656557991,1e-06,0.9992229105248814,0.0007770894751185642
broad_480_550,20,5.0,21600.0,749.6212600746122,17.010800510201662,766.6320605848139,1e-06,0.9992336617266929,0.0007663382733070767
broad_480_550,21,5.25,21600.0,740.3243800900963,16.82313540895267,757.147515499049,1e-06,0.9992431390483528,0.0007568609516471758
broad_480_550,22,5.5,21600.0,732.8762844065338,16.67092176029247,749.5472061668263,1e-06,0.9992507336341683,0.0007492663658317245
broad_480_550,23,5.75,21600.0,727.5256272021082,16.560645740244308,744.0862729423526,1e-06,0.9992561904905989,0.0007438095094011166
broad_480_550,24,6.0,21600.0,724.3237340499935,16.494507969248033,740.8182420192416,1e-06,0.9992594560960656,0.0007405439039344097
broad_480_550,25,6.25,21600.0,723.2502032064864,16.472975559419684,739.723178765906,1e-06,0.9992605503489757,0.0007394496510243487
broad_480_550,26,6.5,21600.0,724.2900167200605,16.496404092877523,740.786420812938,1e-06,0.9992594878937073,0.0007405121062926678
broad_480_550,27,6.75,21600.0,727.4589156536277,16.565622554280477,744.0245382079082,1e-06,0.9992562521794164,0.0007437478205836179
broad_480_550,28,7.0,21600.0,732.7780213610778,16.68147148461955,749.4594928456974,1e-06,0.9992508212817726,0.000749178718227439
broad_480_550,29,7.25,21600.0,740.1967359818898,16.843253135662014,757.0399891175518,1e-06,0.9992432464933576,0.0007567535066423936
broad_480_550,30,7.5,21600.0,749.4671766951033,17.046143090387467,766.5133197854907,1e-06,0.9992337803765037,0.0007662196234963226
broad_480_550,31,7.75,21600.0,759.9946438729033,17.278052537407465,777.2726964103108,1e-06,0.999223029301762,0.0007769706982380109
broad_480_550,32,8.0,21600.0,770.7290373200319,17.517271993056507,788.2463093130884,1e-06,0.9992120642751979,0.0007879357248020691
broad_480_550,33,8.25,21600.0,780.2004990467826,17.733044561817103,797.9335436085997,1e-06,0.9992023847207046,0.0007976152792954494
broad_480_550,34,8.5,21600.0,786.7872495005713,17.890948446038152,804.6781979466094,1e-06,0.9991956454687329,0.0008043545312671485
broad_480_550,35,8.75,21600.0,789.1882457522994,17.962634341639333,807.1508800939388,1e-06,0.9991931747785532,0.0008068252214468163
broad_480_550,36,9.0,21600.0,786.8996042639556,17.93586705136283,804.8354713153184,1e-06,0.9991954883218801,0.0008045116781199013
broad_480_550,37,9.25,21600.0,780.4179933027254,17.819146320175907,798.2371396229014,1e-06,0.999202081366889,0.0007979186331109611
broad_480_550,38,9.5,21600.0,771.0383863879131,17.63800220368262,788.6763885915957,1e-06,0.9992116345348867,0.0007883654651132943
broad_480_550,39,9.75,21600.0,760.3782494646548,17.425463137957443,777.8037126026122,1e-06,0.9992224986982945,0.0007775013017055077
broad_480_550,40,10.0,21600.0,749.9048415316045,17.212286869592738,767.1171284011972,1e-06,0.9992331770307201,0.0007668229692798789
broad_480_550,41,10.25,21600.0,740.6669747620233,17.021169154552492,757.6881439165758,1e-06,0.9992425988292618,0.0007574011707381922
broad_480_550,42,10.5,21600.0,733.2589653204582,16.86566400273015,750.1246293231883,1e-06,0.9992501566438222,0.0007498433561777818
broad_480_550,43,10.75,21600.0,727.9289880766217,16.752144493446632,744.6811325700684,1e-06,0.9992555960736101,0.0007444039263898583
broad_480_550,44,11.0,21600.0,724.7285448722815,16.682732194989608,741.4112770672712,1e-06,0.9992588635003617,0.0007411364996382508
broad_480_550,45,11.25,21600.0,723.6380381434582,16.657844404669788,740.295882548128,1e-06,0.9992599780688428,0.0007400219311571865
broad_480_550,46,11.5,21600.0,724.643867114308,16.677812575471165,741.3216796897792,1e-06,0.9992589530313394,0.0007410469686606191
broad_480_550,47,11.75,21600.0,727.7637564278524,16.74346379637947,744.5072202242319,1e-06,0.9992557698565101,0.000744230143489899
broad_480_550,48,12.0,21600.0,733.0212943317955,16.85565529191872,749.8769496237143,1e-06,0.9992504041378314,0.0007495958621686061
broad_480_550,49,12.25,21600.0,740.368741336166,17.013721137452297,757.3824624736183,1e-06,0.999242904279228,0.0007570957207719831
