bytes	GiB	path
265748027	0.247497	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_n_fullsphere20_rep05_part01.inc1.id1.sim.gz
265748027	0.247497	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_n_fullsphere20_rep05_part01.inc1.id1.sim.gz
265370996	0.247146	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_n_fullsphere20_rep07_part01.inc1.id1.sim.gz
265370996	0.247146	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_n_fullsphere20_rep07_part01.inc1.id1.sim.gz
264974447	0.246777	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_gamma_fullsphere20_rep01_part03.inc1.id1.sim.gz
264974447	0.246777	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_gamma_fullsphere20_rep01_part02.inc1.id1.sim.gz
264914545	0.246721	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_gamma_fullsphere20_rep01_part01.inc1.id1.sim.gz
264778080	0.246594	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_buildup_equiv2602_aligned/Background_gamma_fullsphere20_rep01_part04.inc1.id1.sim.gz
264778080	0.246594	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_buildup_equiv2602_aligned/Background_gamma_fullsphere20_rep01_part03.inc1.id1.sim.gz
264778080	0.246594	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_buildup_equiv2602_aligned/Background_gamma_fullsphere20_rep01_part02.inc1.id1.sim.gz
264778080	0.246594	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_buildup_equiv2602_aligned/Background_gamma_fullsphere20_rep01_part01.inc1.id1.sim.gz
264767644	0.246584	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz
264767644	0.246584	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz
264686840	0.246509	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_gamma_fullsphere20_rep01_part04.inc1.id1.sim.gz
264283455	0.246133	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_n_fullsphere20_rep08_part01.inc1.id1.sim.gz
264283455	0.246133	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_n_fullsphere20_rep08_part01.inc1.id1.sim.gz
264183141	0.246040	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_n_fullsphere20_rep03_part01.inc1.id1.sim.gz
264183141	0.246040	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_n_fullsphere20_rep03_part01.inc1.id1.sim.gz
263547457	0.245448	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz
263547457	0.245448	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz
263529784	0.245431	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz
263529784	0.245431	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz
263316339	0.245232	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_n_fullsphere20_rep08_part01.inc1.id1.sim.gz
263316339	0.245232	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_n_fullsphere20_rep08_part01.inc1.id1.sim.gz
263077430	0.245010	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_n_fullsphere20_rep04_part01.inc1.id1.sim.gz
263077430	0.245010	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_n_fullsphere20_rep04_part01.inc1.id1.sim.gz
262603619	0.244569	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_n_fullsphere20_rep04_part01.inc1.id1.sim.gz
262603619	0.244569	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_n_fullsphere20_rep03_part01.inc1.id1.sim.gz
262603619	0.244569	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_n_fullsphere20_rep04_part01.inc1.id1.sim.gz
262603619	0.244569	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_n_fullsphere20_rep03_part01.inc1.id1.sim.gz
262558279	0.244526	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_n_fullsphere20_rep06_part01.inc1.id1.sim.gz
262558279	0.244526	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_n_fullsphere20_rep06_part01.inc1.id1.sim.gz
262430178	0.244407	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_n_fullsphere20_rep05_part01.inc1.id1.sim.gz
262430178	0.244407	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_n_fullsphere20_rep05_part01.inc1.id1.sim.gz
262401917	0.244381	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_n_fullsphere20_rep07_part01.inc1.id1.sim.gz
262401917	0.244381	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_n_fullsphere20_rep06_part01.inc1.id1.sim.gz
