policy,k,active_w2_events,current_final_events,new_final_events,current_kept_to_rejected,current_rejected_to_kept,net_event_change,new_atm511_rate_cps,atm511_rate_change_fraction,current_kept_rejection_fraction,rejection_fraction_wilson95_low,rejection_fraction_wilson95_high,atm_component_sqrtB_gain_signal_unchanged,s3c_total_proxy_background_cps,s3c_total_proxy_sqrtB_gain_signal_unchanged
current,,8,6,6,0,0,0,0.001166883836714055,0.0,0.0,0.0,0.39033428790216534,1.0,0.005050984927709305,1.0
literal_brief,2.0,8,6,7,0,1,1,0.0013613644761663977,0.16666666666666674,0.0,0.0,0.39033428790216534,0.9258200997725514,0.005245465567161647,0.9812869336330848
monotonic_frozen,2.0,8,6,6,0,0,0,0.001166883836714055,0.0,0.0,0.0,0.39033428790216534,1.0,0.005050984927709305,1.0
literal_brief,2.5,8,6,7,0,1,1,0.0013613644761663977,0.16666666666666674,0.0,0.0,0.39033428790216534,0.9258200997725514,0.005245465567161647,0.9812869336330848
monotonic_frozen,2.5,8,6,6,0,0,0,0.001166883836714055,0.0,0.0,0.0,0.39033428790216534,1.0,0.005050984927709305,1.0
literal_brief,3.0,8,6,7,0,1,1,0.0013613644761663977,0.16666666666666674,0.0,0.0,0.39033428790216534,0.9258200997725514,0.005245465567161647,0.9812869336330848
monotonic_frozen,3.0,8,6,6,0,0,0,0.001166883836714055,0.0,0.0,0.0,0.39033428790216534,1.0,0.005050984927709305,1.0
