scope,energy_bin_low_keV,energy_bin_high_keV,two_hit_events
diagnostic_430_550,60,61,0
diagnostic_430_550,61,62,0
diagnostic_430_550,62,63,0
diagnostic_430_550,63,64,0
diagnostic_430_550,64,65,0
diagnostic_430_550,65,66,0
diagnostic_430_550,66,67,0
diagnostic_430_550,67,68,0
diagnostic_430_550,68,69,1
diagnostic_430_550,69,70,0
diagnostic_430_550,70,71,0
diagnostic_430_550,71,72,0
diagnostic_430_550,72,73,0
diagnostic_430_550,73,74,0
diagnostic_430_550,74,75,0
diagnostic_430_550,75,76,1
diagnostic_430_550,76,77,0
diagnostic_430_550,77,78,0
diagnostic_430_550,78,79,0
diagnostic_430_550,79,80,0
diagnostic_430_550,80,81,0
diagnostic_430_550,81,82,0
diagnostic_430_550,82,83,0
diagnostic_430_550,83,84,0
diagnostic_430_550,84,85,0
diagnostic_430_550,85,86,0
diagnostic_430_550,86,87,0
diagnostic_430_550,87,88,0
diagnostic_430_550,88,89,0
diagnostic_430_550,89,90,0
diagnostic_430_550,90,91,0
diagnostic_430_550,91,92,0
diagnostic_430_550,92,93,0
diagnostic_430_550,93,94,0
diagnostic_430_550,94,95,0
diagnostic_430_550,95,96,0
diagnostic_430_550,96,97,0
diagnostic_430_550,97,98,0
diagnostic_430_550,98,99,0
diagnostic_430_550,99,100,0
diagnostic_430_550,100,101,0
diagnostic_430_550,101,102,0
diagnostic_430_550,102,103,0
diagnostic_430_550,103,104,0
diagnostic_430_550,104,105,0
diagnostic_430_550,105,106,0
diagnostic_430_550,106,107,0
diagnostic_430_550,107,108,0
diagnostic_430_550,108,109,0
diagnostic_430_550,109,110,0
diagnostic_430_550,110,111,0
diagnostic_430_550,111,112,0
diagnostic_430_550,112,113,0
diagnostic_430_550,113,114,0
diagnostic_430_550,114,115,0
diagnostic_430_550,115,116,0
diagnostic_430_550,116,117,0
diagnostic_430_550,117,118,0
diagnostic_430_550,118,119,0
diagnostic_430_550,119,120,0
diagnostic_430_550,120,121,0
diagnostic_430_550,121,122,0
diagnostic_430_550,122,123,0
diagnostic_430_550,123,124,0
diagnostic_430_550,124,125,0
diagnostic_430_550,125,126,0
diagnostic_430_550,126,127,0
diagnostic_430_550,127,128,0
diagnostic_430_550,128,129,0
diagnostic_430_550,129,130,0
diagnostic_430_550,130,131,0
diagnostic_430_550,131,132,0
diagnostic_430_550,132,133,0
diagnostic_430_550,133,134,0
diagnostic_430_550,134,135,0
diagnostic_430_550,135,136,0
diagnostic_430_550,136,137,0
diagnostic_430_550,137,138,0
diagnostic_430_550,138,139,0
diagnostic_430_550,139,140,0
diagnostic_430_550,140,141,0
diagnostic_430_550,141,142,0
diagnostic_430_550,142,143,0
diagnostic_430_550,143,144,0
diagnostic_430_550,144,145,0
diagnostic_430_550,145,146,0
diagnostic_430_550,146,147,0
diagnostic_430_550,147,148,0
diagnostic_430_550,148,149,0
diagnostic_430_550,149,150,0
diagnostic_430_550,150,151,0
diagnostic_430_550,151,152,0
diagnostic_430_550,152,153,0
diagnostic_430_550,153,154,0
diagnostic_430_550,154,155,0
diagnostic_430_550,155,156,0
diagnostic_430_550,156,157,0
diagnostic_430_550,157,158,0
diagnostic_430_550,158,159,0
diagnostic_430_550,159,160,0
diagnostic_430_550,160,161,0
diagnostic_430_550,161,162,0
diagnostic_430_550,162,163,0
diagnostic_430_550,163,164,0
diagnostic_430_550,164,165,0
diagnostic_430_550,165,166,0
diagnostic_430_550,166,167,0
diagnostic_430_550,167,168,0
diagnostic_430_550,168,169,0
diagnostic_430_550,169,170,0
diagnostic_430_550,170,171,0
diagnostic_430_550,171,172,0
diagnostic_430_550,172,173,0
diagnostic_430_550,173,174,0
diagnostic_430_550,174,175,0
diagnostic_430_550,175,176,0
diagnostic_430_550,176,177,0
diagnostic_430_550,177,178,0
diagnostic_430_550,178,179,0
diagnostic_430_550,179,180,0
diagnostic_430_550,180,181,0
diagnostic_430_550,181,182,0
diagnostic_430_550,182,183,0
diagnostic_430_550,183,184,0
diagnostic_430_550,184,185,0
diagnostic_430_550,185,186,0
diagnostic_430_550,186,187,0
diagnostic_430_550,187,188,0
diagnostic_430_550,188,189,0
diagnostic_430_550,189,190,0
diagnostic_430_550,190,191,0
diagnostic_430_550,191,192,0
diagnostic_430_550,192,193,0
diagnostic_430_550,193,194,0
diagnostic_430_550,194,195,0
diagnostic_430_550,195,196,0
diagnostic_430_550,196,197,0
diagnostic_430_550,197,198,0
diagnostic_430_550,198,199,0
diagnostic_430_550,199,200,0
w2,0,1,0
w2,1,2,0
w2,2,3,1
w2,3,4,0
w2,4,5,0
w2,5,6,0
w2,6,7,0
w2,7,8,0
w2,8,9,0
w2,9,10,0
w2,10,11,0
w2,11,12,0
w2,12,13,0
w2,13,14,0
w2,14,15,0
w2,15,16,0
w2,16,17,0
w2,17,18,0
w2,18,19,0
w2,19,20,0
w2,20,21,0
w2,21,22,0
w2,22,23,0
w2,23,24,0
w2,24,25,0
w2,25,26,0
w2,26,27,0
w2,27,28,0
w2,28,29,0
w2,29,30,0
w2,30,31,0
w2,31,32,0
w2,32,33,0
w2,33,34,0
w2,34,35,0
w2,35,36,0
w2,36,37,0
w2,37,38,0
w2,38,39,0
w2,39,40,0
w2,40,41,0
w2,41,42,0
w2,42,43,0
w2,43,44,0
w2,44,45,0
w2,45,46,0
w2,46,47,0
w2,47,48,0
w2,48,49,1
w2,49,50,0
w2,50,51,0
w2,51,52,0
w2,52,53,0
w2,53,54,0
w2,54,55,0
w2,55,56,0
w2,56,57,0
w2,57,58,0
w2,58,59,0
w2,59,60,0
w2,60,61,0
w2,61,62,0
w2,62,63,0
w2,63,64,0
w2,64,65,0
w2,65,66,0
w2,66,67,0
w2,67,68,0
w2,68,69,1
w2,69,70,0
w2,70,71,0
w2,71,72,0
w2,72,73,0
w2,73,74,0
w2,74,75,0
w2,75,76,0
w2,76,77,0
w2,77,78,0
w2,78,79,0
w2,79,80,0
w2,80,81,0
w2,81,82,0
w2,82,83,0
w2,83,84,0
w2,84,85,0
w2,85,86,0
w2,86,87,0
w2,87,88,0
w2,88,89,0
w2,89,90,0
w2,90,91,0
w2,91,92,0
w2,92,93,0
w2,93,94,0
w2,94,95,0
w2,95,96,0
w2,96,97,0
w2,97,98,0
w2,98,99,0
w2,99,100,0
w2,100,101,0
