analysis_case_id,source_case_id,source_class,model_id,selection_id,flux_ph_cm2_s,duration_s,time_bin_id,day_mid,elapsed_stop_day,dt_s,dt_active_s,source_final_cps_noacc,background_final_cps_noacc,accidental_live_factor,source_final_cps,background_final_cps,cumulative_source_counts,cumulative_background_counts,counting_Z,template_proxy_Z,template_proxy_note
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,0,0.0,0.125,10800.0,10800.0,0.00035498423061374644,0.07809560854787978,0.9991913965182652,0.0003546971891289112,0.07803246016689977,3.830729642592241,842.7505698025175,0.13195686067674076,0.13195686067674076,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,1,0.25,0.375,21600.0,21600.0,0.0003667018401090371,0.07754282185529236,0.9991954500299518,0.0003664068101545608,0.07748043478029124,11.745116741930755,2516.327961056808,0.23413897679912654,0.23413897679912654,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,2,0.5,0.625,21600.0,21600.0,0.0003764716600221396,0.07686101781873615,0.9992021689796085,0.00037617129925347564,0.07679969571446149,19.870416805805828,4175.201388489177,0.3075163865811609,0.3075163865811609,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,3,0.75,0.875,21600.0,21600.0,0.0003837050151447385,0.07637592329283259,0.9992069408401653,0.00038340071436780346,0.07631535266727438,28.151872236150382,5823.613006102303,0.36890201650893933,0.36890201650893933,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,4,1.0,1.125,21600.0,21600.0,0.00038811502797891966,0.07609942921090768,0.9992096136593183,0.0003878082671621918,0.0760392812615257,36.52853080685372,7466.061481351258,0.4227527331927087,0.4227527331927087,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,5,1.25,1.375,21600.0,21600.0,0.0003895932513583316,0.07603340413060218,0.9992101499206143,0.0003892855310978181,0.07597334914031366,44.937098278566594,9107.085822782034,0.4708854927081514,0.4708854927081514,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,6,1.5,1.625,21600.0,21600.0,0.00038811502797891966,0.07617905201460702,0.9992085242572103,0.0003878078443488622,0.07611875814282874,53.31374771650202,10751.250998667134,0.5141735263632461,0.5141735263632461,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,7,1.75,1.875,21600.0,21600.0,0.0003837050151447385,0.0765400045125063,0.9992046896345699,0.00038339985056892636,0.07647913145354743,61.595184488790835,12403.200238063759,0.5530697211353269,0.5530697211353269,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,8,2.0,2.125,21600.0,21600.0,0.00037647166002213945,0.07711992175769312,0.9991986011925799,0.00037616995608277023,0.07705811794436818,69.72045554017868,14067.65558566211,0.5878267595507336,0.5878267595507336,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,9,2.25,2.375,21600.0,21600.0,0.000366701840109037,0.0779145883753991,0.9991902975100693,0.00036640492071603854,0.0778515007391896,77.6348018276451,15749.248001628606,0.6186236767198732,0.6186236767198732,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,10,2.5,2.625,21600.0,21600.0,0.00035498423061374644,0.07889887324226491,0.9991800353599594,0.00035469315609687116,0.0788341789560672,85.29617399933753,17452.06626707966,0.6456633341300757,0.6456633341300757,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,11,2.75,2.875,21600.0,21600.0,0.00034230096034082246,0.08001113717389248,0.9991684511092788,0.00034201632035695825,0.07994460400153018,92.68372651904782,19178.86971351271,0.6692555519020952,0.6692555519020952,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,12,3.0,3.125,21600.0,21600.0,0.00033001146840861296,0.08114190515533246,0.9991566780493475,0.0003297331624933369,0.0810734764055972,99.8059628289039,20930.05680387361,0.6898763948079224,0.6898763948079224,same count selection; no profile likelihood gain claimed
