window,lo_keV,hi_keV,background_cps,signal_cps_at_reference_flux,signal_to_background,source_counts_20d,background_counts_20d,Z20d_direct_s_over_sqrt_b,T3_day_constant_rate_direct,T5_day_constant_rate_direct,flux_3sigma_20d_ph_cm2_s,low_stat_final_background_events,low_stat_background_relative_poisson_sigma_approx
broad_480_550,480.0,550.0,0.07277845691525832,0.001183280768712488,0.016258668002404542,2044.7091683351794,125761.17354956637,5.765782473301814,5.414470573912926,15.040196038647018,5.203109922879262e-05,83,0.10976425998969035
w2_510p58_511p42,510.58,511.42,0.015783279812947575,0.0011811656293957314,0.07483651328456967,2041.0542075958238,27273.50751677341,12.35902020069842,1.1784317117899297,3.2734214216386945,2.427376888525894e-05,18,0.23570226039551587
