selection_id,time_bin_id,day_mid,dt_s,prompt_event_rate_hz,delayed_event_rate_hz,coincidence_occupancy_rate_hz,coincidence_window_s,accidental_live_factor,accidental_loss_fraction
broad_480_550,0,0.0,10800.0,735.9429827419606,14.46855178460438,750.411534526565,1e-06,0.999249869953794,0.0007501300462060545
broad_480_550,1,0.25,21600.0,726.9316424472026,15.671371571736703,742.6030140189393,1e-06,0.9992576726473594,0.0007423273526405705
broad_480_550,2,0.5,21600.0,719.736798553795,15.804756044856742,735.5415545986517,1e-06,0.9992647288897789,0.0007352711102210918
broad_480_550,3,0.75,21600.0,714.5981328942916,15.908898867788793,730.5070317620804,1e-06,0.9992697597235402,0.0007302402764598481
broad_480_550,4,1.0,21600.0,711.5619238570713,16.007009444143097,727.5689333012144,1e-06,0.9992726956807962,0.0007273043192037587
broad_480_550,5,1.25,21600.0,710.6043800521679,16.112777089323988,726.717157141492,1e-06,0.999273546837818,0.0007264531621820058
broad_480_550,6,1.5,21600.0,711.7074331117103,16.235907216800676,727.943340328511,1e-06,0.9992723215461469,0.0007276784538531311
broad_480_550,7,1.75,21600.0,714.8837453133751,16.38405153466924,731.2677968480443,1e-06,0.9992689995142847,0.000731000485715283
broad_480_550,8,2.0,21600.0,720.1518420308878,16.563094458836453,736.7149364897242,1e-06,0.9992635563713295,0.0007364436286705356
broad_480_550,9,2.25,21600.0,727.4603934124694,16.776071404238944,744.2364648167083,1e-06,0.9992560404104499,0.0007439595895500917
broad_480_550,10,2.5,21600.0,736.5648625799219,17.020879816892442,753.5857423968143,1e-06,0.9992466981320264,0.0007533018679736214
broad_480_550,11,2.75,21600.0,746.8806609992694,17.287335134089318,764.1679961333587,1e-06,0.999236123905871,0.0007638760941289791
broad_480_550,12,3.0,21600.0,757.3766791678238,17.554959910278296,774.9316390781021,1e-06,0.9992253685428993,0.0007746314571006607
broad_480_550,13,3.25,21600.0,766.6106895242067,17.793714211794672,784.4044037360013,1e-06,0.9992159031609746,0.0007840968390253611
broad_480_550,14,3.5,21600.0,772.9929007006465,17.96959021040488,790.9624909110514,1e-06,0.9992093502374624,0.0007906497625376208
broad_480_550,15,3.75,21600.0,775.250439809757,18.05460612252622,793.3050459322833,1e-06,0.9992070095373233,0.0007929904626766682
broad_480_550,16,4.0,21600.0,772.8949287839346,18.037069226348766,790.9319980102833,1e-06,0.9992093807062544,0.0007906192937455758
broad_480_550,17,4.25,21600.0,766.421268789135,17.926282518684616,784.3475513078196,1e-06,0.9992159599688266,0.0007840400311733831
broad_480_550,18,4.5,21600.0,757.1078251162272,17.7487572954428,774.85658241167,1e-06,0.9992254435414273,0.0007745564585727172
broad_480_550,19,4.75,21600.0,746.5482981478464,17.53850080830579,764.0867989561522,1e-06,0.999236205041027,0.0007637949589730519
broad_480_550,20,5.0,21600.0,736.1872692893259,17.327084263845432,753.5143535531713,1e-06,0.9992467694670952,0.0007532305329047695
broad_480_550,21,5.25,21600.0,727.056999040547,17.137777748241795,744.1947767887888,1e-06,0.9992560820674645,0.0007439179325354761
broad_480_550,22,5.5,21600.0,719.7423809597555,16.984485020442804,736.7268659801982,1e-06,0.9992635444506245,0.0007364555493755143
