VN,ZA,nuclide,exc_keV,RP_yield,hl_s,Activity_Bq,Points
CsI_Bottom_Quadrant_03,55134,Cs-134,0.0,170.0,65158740.969984,0.12693074027578247,170
CsI_Bottom_Quadrant_01,55134,Cs-134,0.0,164.0,65158740.969984,0.12245083179546074,164
ColdPlate_CP_100mK_intercept,29066,Cu-66,0.0,2.0,307.2,0.10906374230418968,2
ColdPlate_MXC_50mK_SD_anchor,29066,Cu-66,0.0,2.0,307.2,0.10906374230418968,2
CsI_Bottom_Quadrant_00,55130,Cs-130,0.0,2.0,1752.6000000000001,0.10906374230418968,2
CsI_Bottom_Quadrant_02,55130,Cs-130,0.0,2.0,1752.6000000000001,0.10906374230418968,2
Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,13028,Al-28,0.0,2.0,134.484,0.10906374230418968,2
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_side_port_band_00,13028,Al-28,0.0,2.0,134.484,0.10906374230418968,2
DR_Capillary_CuNi_Still_4K,29064,Cu-64,0.0,2.0,45720.0,0.10906374198463392,2
DR_Continuous_HEX_CuNi_CP_to_Still,29064,Cu-64,0.0,2.0,45720.0,0.10906374198463392,2
Passive_Cu_Liner_detector_bay_side_port_band_01,29064,Cu-64,0.0,2.0,45720.0,0.10906374198463392,2
Plate_300K_Top_Service_Lid,11024,Na-24,0.0,2.0,53852.4,0.1090637360932286,2
Window,11024,Na-24,0.0,2.0,53852.4,0.1090637360932286,2
Passive_W_Liner_detector_bay_side_port_band_01,74187,W-187,0.0,2.0,85392.0,0.10906079836826386,2
Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_00,11024,Na-24,0.0,2.0,53852.4,0.1083123652501363,2
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11024,Na-24,0.0,2.0,53852.4,0.107560994407044,2
CsI_Side_Segment_03_below_side_port,55132,Cs-132,0.0,2.0,559785.6,0.08714860731985427,2
CsI_Side_Segment_04_above_side_port,55132,Cs-132,0.0,2.0,559785.6,0.08714860731985427,2
CsI_Side_Segment_05,55132,Cs-132,0.0,2.0,559785.6,0.08714860731985427,2
CsI_Side_Segment_07,55134,Cs-134,0.0,112.0,65158740.969984,0.08362495829933904,112
CsI_Side_Segment_00,55134,Cs-134,0.0,101.0,65158740.969984,0.07541179275208253,101
CsI_Side_Segment_06,55134,Cs-134,0.0,91.0,65158740.969984,0.06794527861821296,91
CsI_Side_Segment_02,55134,Cs-134,0.0,85.0,65158740.969984,0.06346537013789123,85
CsI_Side_Segment_06,53126,I-126,0.0,2.0,1117152.0,0.06025949009816514,2
CsI_Bottom_Quadrant_00,53126,I-126,0.0,2.0,1117152.0,0.060072043560171526,2
CsI_Side_Segment_01,55134,Cs-134,0.0,77.0,65158740.969984,0.0574921588307956,77
ActiveShield_Al_Backplane_detector_bay_above_side_port,13028,Al-28,0.0,1.0,134.484,0.05453187115209484,1
ColdPlate_4K,29062,Cu-62,0.0,1.0,580.38,0.05453187115209484,1
CsI_Bottom_Quadrant_00,55127,Cs-127,0.0,1.0,22500.0,0.05453187115209484,1
CsI_Bottom_Quadrant_01,51115,Sb-115,0.0,1.0,1926.0,0.05453187115209484,1
CsI_Bottom_Quadrant_01,51117,Sb-117,0.0,1.0,10080.0,0.05453187115209484,1
CsI_Bottom_Quadrant_01,55130,Cs-130,0.0,1.0,1752.6000000000001,0.05453187115209484,1
CsI_Side_Segment_00,53122,I-122,0.0,1.0,217.79999999999998,0.05453187115209484,1
DR_Still_Pot_Cu,29066,Cu-66,0.0,1.0,307.2,0.05453187115209484,1
Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12027,Mg-27,0.0,1.0,567.48,0.05453187115209484,1
Passive_Cu_Liner_detector_bay_above_side_port,29066,Cu-66,0.0,1.0,307.2,0.05453187115209484,1
Passive_Cu_Liner_detector_bay_below_side_port,29066,Cu-66,0.0,1.0,307.2,0.05453187115209484,1
