time_bin_id,day_mid,total_activity_Bq,activity_scale_to_day15
0,0.0,14.820104999907182,0.5069620246659111
1,0.25,17.506100731577966,0.5988438186464763
2,0.5,19.500734217404972,0.6670756854549514
3,0.75,20.8847824980136,0.7144208236018887
4,1.0,21.9159122553262,0.7496934231862872
5,1.25,22.716024578946932,0.77706344273375
6,1.5,23.36739178328337,0.7993452306639599
7,1.75,23.92921641006924,0.8185639710375483
8,2.0,24.444562713353825,0.8361927938643017
9,2.25,24.943419988650046,0.8532575646135694
10,2.5,25.44299485637425,0.870346882564775
11,2.75,25.946165482451203,0.8875592032163483
12,3.0,26.439809724519034,0.9044456479766887
13,3.25,26.895670615660944,0.9200396103906362
14,3.5,27.276329976203385,0.9330610997883049
15,3.75,27.546492522579143,0.94230274493862
16,4.0,27.685709792973825,0.9470650505544163
17,4.25,27.696186083079198,0.9474234205688555
18,4.5,27.601549661878924,0.9441861242272218
19,4.75,27.438095575194083,0.9385947323493516
20,5.0,27.244008916781457,0.9319554699885166
21,5.25,27.05156413649767,0.9253723725374753
22,5.5,26.884038854637556,0.9196417143488144
23,5.75,26.756319227121974,0.9152727168987099
24,6.0,26.677267935625935,0.9125685523337802
25,6.25,26.652317239491126,0.911715045868785
26,6.5,26.685454321731353,0.9128485899498919
27,6.75,26.780240900594187,0.9160910228430299
28,7.0,26.939676180287478,0.921544940490509
29,7.25,27.164732010375612,0.9292435876515825
30,7.5,27.451514242138604,0.9390537543712978
31,7.75,27.787501115281046,0.9505470997605867
32,8.0,28.148285046230644,0.9628886959977443
33,8.25,28.497292475969466,0.9748274449610578
34,8.5,28.790925697824623,0.9848719684419506
35,8.75,28.989246096499695,0.9916560574106519
36,9.0,29.06827354211969,0.9943594062624946
37,9.25,29.02750176780143,0.9929646967609266
38,9.5,28.888472691533973,0.9882088288374252
39,9.75,28.685879422131524,0.9812785746968105
40,10.0,28.45668171474374,0.9734382433505195
41,10.25,28.232218234228462,0.9657598591186739
42,10.5,28.035051394223593,0.9590152307637146
43,10.75,27.879520760660185,0.9536948821636627
44,11.0,27.774073520454884,0.9500877723361516
45,11.25,27.723830662583918,0.9483690786459634
46,11.5,27.73255241963533,0.9486674300823031
47,11.75,27.803642221048282,0.951099250211623
48,12.0,27.939996702626665,0.955763626344834
49,12.25,28.142530196409155,0.9626918356976878
50,12.5,28.407328027674744,0.9717499661675048
51,12.75,28.7218799458884,0.9825100705878944
52,13.0,29.061819599199065,0.9941386315803895
53,13.25,29.390642120064044,1.0053869008021328
54,13.5,29.664839190322237,1.0147665578218654
55,13.75,29.844567422363248,1.0209146511319807
56,14.0,29.90592653470341,1.0230136065593456
57,14.25,29.84845516792105,1.0210476420493448
58,14.5,29.69369607513233,1.0157536861012513
59,14.75,29.476302736718093,1.0083171553214725
60,15.0,29.233165954932538,1.0
61,15.25,28.995537533604118,0.9918712731390517
62,15.5,28.785882814629726,0.9846994628979848
63,15.75,28.6184381224544,0.9789715614988183
64,16.0,28.501543540149367,0.974972864180668
65,16.25,28.440211341244858,0.972874829400615
66,16.5,28.438094280826657,0.9728024095873978
67,16.75,28.4984928018189,0.9748685053734429
68,17.0,28.624208119394407,0.9791689399472868
69,17.25,28.81606910134562,0.9857320669875463
70,17.5,29.070087277067703,0.994421450002499
71,17.75,29.373692170697456,1.0048070816545003
72,18.0,29.702474512227635,1.0160539764327479
73,18.25,30.01991074104969,1.0269127465471937
74,18.5,30.282507204992545,1.0358955732566815
75,18.75,30.45047534214956,1.0416413805160103
76,19.0,30.500008263295513,1.0433357888884156
77,19.25,30.43076422684876,1.0409671081730423
78,19.5,30.26441333046767,1.0352766230357997
79,19.75,30.035727751968476,1.0274538104519098
80,20.0,29.803754723886325,1.0195185417081898
