selection_id,time_bin_id,time_mid_s,day_mid,dt_s,prompt_scale_to_day15,delayed_activity_scale_to_day15,science_atm_scale_to_day15,atm511_phi_4pi_ph_cm2_s,atm511_phi_4pi_scale_to_day15,atm511_fixed_day15_angular_transfer,T_atm_511,prompt_event_rate_hz,delayed_event_rate_hz,atm511_event_rate_hz,prompt_raw_cps,delayed_raw_cps,atm511_raw_cps,background_raw_cps,science_raw_cps_at_ref_flux,prompt_active_cps,delayed_active_cps,atm511_active_cps,background_active_cps,science_active_cps_at_ref_flux,prompt_final_cps,delayed_final_cps,atm511_final_cps,background_final_cps,science_final_cps_at_ref_flux,prompt_final_upper95_cps,delayed_final_upper95_cps,atm511_final_upper95_cps,background_final_upper95_cps,science_final_lower95_cps_at_ref_flux
broad_480_550,0,0.0,0.0,10800.0,0.9995980883233027,0.5069620246659111,1.0,0.051555854113229785,1.0,True,0.7390423888027,23724.458518496176,7.444030964752058,202.4765592953111,0.07798056427029451,0.0027728324104940006,0.0031105227038996236,0.08386391938468814,0.001209340881425964,0.01627659128372762,0.0008507553986742955,0.0031105227038996236,0.02023786938630154,0.001209340881425964,0.012885324455926071,0.0007404722914387386,0.0031105227038996236,0.016736319451264435,0.0011828018692445431,0.05921264603314865,0.0009846711728545387,0.005051293996411417,0.0652486112024146,0.0011766782285593403
broad_480_550,1,21600.0,0.25,21600.0,0.987358392119787,0.5988438186464763,1.033008816969226,0.047076710738122036,0.9131205669627661,True,0.7634373037471879,23433.9615995331,8.793187087321662,184.8855106204046,0.07702572209162636,0.0032753805381403253,0.0028402822549353805,0.08314138488470207,0.0012492597932343562,0.016077290649934108,0.0010049463014748725,0.0028402822549353805,0.01992251920634436,0.0012492597932343562,0.012727548587137838,0.0008746754846170186,0.0028402822549353805,0.016442506326690236,0.0012218447596572947,0.05848760983378205,0.0011631329696773763,0.00461244043789881,0.06426318324135824,0.0012155189848375287
broad_480_550,2,43200.0,0.5,21600.0,0.9775859608713237,0.6670756854549514,1.0605306589851686,0.04337085841508481,0.8412402269552428,True,0.7837771116149006,23202.022740818476,9.79507698161867,170.3314266947042,0.07626335598473825,0.003648575220404209,0.0026166968253779547,0.08252862803052041,0.0012825430819163822,0.01591816482612789,0.0011194492153512913,0.0026166968253779547,0.019654310866857136,0.0012825430819163822,0.012601577010330507,0.0009743354281761239,0.0026166968253779547,0.016192609263884584,0.0012543976458388045,0.05790872566107504,0.0012956595674252678,0.004249351707958796,0.06345373693645912,0.001247903337147538
broad_480_550,3,64800.0,0.75,21600.0,0.9706063435772849,0.7144208236018887,1.0809072123607733,0.04063865027764061,0.788245117390312,True,0.7988362482971733,23036.368521486034,10.490274367711885,159.60115925051895,0.07571886265152991,0.00390752979125132,0.0024518543338805897,0.08207824677666183,0.0013071852809360591,0.015804514770831703,0.0011989011859521094,0.0024518543338805897,0.019455270290664402,0.0013071852809360591,0.012511606216606064,0.0010434880692546137,0.0024518543338805897,0.01600694861974127,0.001278499071260231,0.057495277883306696,0.0013876179202009559,0.003981657829174296,0.06286455363268195,0.0012718799838776892
broad_480_550,4,86400.0,1.0,21600.0,0.9664823980807905,0.7496934231862872,1.093330335569814,0.03897589043793649,0.7559934969234631,True,0.808017462949973,22938.49080942655,11.008203346093643,153.07096210669314,0.07539714575291519,0.004100453526307118,0.002351534936180902,0.0818491342154032,0.001322209071707744,0.015737364006832746,0.0012580936955715021,0.002351534936180902,0.01934699263858515,0.001322209071707744,0.012458446475324429,0.0010950074757751962,0.002351534936180902,0.015904988887280525,0.0012931931646137397,0.05725098997620043,0.0014561278091325509,0.003818745412335562,0.06252586319766855,0.0012864980024884778
broad_480_550,5,108000.0,1.25,21600.0,0.9651818096122368,0.77706344273375,1.0974945300661616,0.045062706512286735,0.8740560560458868,True,0.8110949791979928,22907.622645979383,11.410093947567097,176.97586285940073,0.07529568435173206,0.0042501540434751895,0.002718771206811693,0.08226460960201894,0.001327245002350386,0.015716186348353537,0.0013040245360662513,0.002718771206811693,0.019738982091231483,0.001327245002350386,0.012441681232776735,0.0011349843184280334,0.002718771206811693,0.01629543675801646,0.0012981185816479173,0.05717394772739777,0.0015092885350599266,0.004415114108431629,0.06309835037088932,0.0012913979194918166
broad_480_550,6,129600.0,1.5,21600.0,0.9666800367242471,0.7993452306639599,1.093330335569814,0.045716082017429265,0.8867292144365431,True,0.808017462949973,22943.18156449412,11.737270957347715,179.54188036574533,0.07541256392259597,0.004372024441514087,0.002758191353715945,0.082542779717826,0.001322209071707744,0.01574058218367701,0.0013414165900100038,0.002758191353715945,0.01984019012740296,0.001322209071707744,0.012460994137305493,0.0011675292542679663,0.002758191353715945,0.016386714745289403,0.0012931931646137397,0.05726269738858364,0.0015525664004365186,0.004479129957325922,0.06329439374634607,0.0012864980024884778
broad_480_550,7,151200.0,1.75,21600.0,0.9709942780162459,0.8185639710375483,1.0809072123607733,0.04766638679181907,0.9245581828036743,True,0.7988362482971733,23045.575756486316,12.019471381607898,187.20135972241323,0.0757491261612379,0.004477141479090765,0.0028758592186870074,0.08310212685901568,0.0013071852809360591,0.015810831559930853,0.0013736684083573937,0.0028758592186870074,0.020060359186975255,0.0013071852809360591,0.012516606887547748,0.001195600281348102,0.0028758592186870074,0.01658806638758286,0.001278499071260231,0.05751825774379922,0.0015898949155988115,0.004670215198129249,0.06377836785752729,0.0012718799838776892
broad_480_550,8,172800.0,2.0,21600.0,0.9781496956660047,0.8361927938643017,1.0605306589851682,0.050871082050776215,0.9867178601881051,True,0.7837771116149004,23215.402421020026,12.278326081979117,199.78723732611934,0.07630733401741113,0.004573562451302819,0.0030692083064583556,0.08395010477517231,0.0012825430819163818,0.015927344196269375,0.0014032521157406374,0.0030692083064583556,0.020399804618468367,0.0012825430819163818,0.012608843836689433,0.0012213490637001843,0.0030692083064583556,0.01689940120684797,0.001254397645838804,0.05794211931122699,0.0016241353375718447,0.004984202003320095,0.06455045665211893,0.0012479033371475376
broad_480_550,9,194400.0,2.25,21600.0,0.9880765706559972,0.8532575646135694,1.0330088169692258,0.05521779605373718,1.0710286349337719,True,0.7634373037471877,23451.006847108325,12.52889846350544,216.85819290814396,0.07708174857682545,0.00466689833665321,0.003331458885488119,0.08508010579896678,0.0012492597932343558,0.01608898484847169,0.0014318892623822346,0.003331458885488119,0.020852332996342045,0.0012492597932343558,0.01273680627136558,0.0012462739876289819,0.003331458885488119,0.01731453914448268,0.0012218447596572942,0.058530152183502375,0.0016572802024939237,0.005410080513625677,0.06559751289962197,0.0012155189848375284
