event_id,track_id,parent_id,E_keV,x_mm,y_mm,z_mm,ux,uy,uz,source_tag,creator_process
2,2,1,511,4.377402059,-9.053553586,10000,-0.006681151752,-0.003673441779,0.9999709336,laue_bfull_diffracted,BFullLaueBraggProcess
4,1,0,511,32.14169344,70.58487549,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
6,2,1,511,-7.916006296,-3.700931614,10000,-0.0004565447174,-0.007267121459,0.9999734899,laue_bfull_diffracted,BFullLaueBraggProcess
8,1,0,511,-23.34902941,73.90770944,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
9,2,1,511,-7.843917674,-3.246226997,10000,0.003195079655,-0.006789760286,0.9999718449,laue_bfull_diffracted,BFullLaueBraggProcess
10,1,0,511,-51.89332076,41.99687443,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
11,2,1,511,-7.098639441,6.407688533,10000,0.006788581651,-0.002688206075,0.999973344,laue_bfull_diffracted,BFullLaueBraggProcess
12,1,0,511,-72.97279985,14.78038845,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
14,2,1,511,-3.453026049,2.481203672,10000,0.006824317029,0.002700937444,0.9999730665,laue_bfull_diffracted,BFullLaueBraggProcess
17,1,0,511,-35.85264638,-73.0428024,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
19,2,1,511,3.572070584,6.908478461,10000,-0.0004664601671,0.007412573307,0.9999724177,laue_bfull_diffracted,BFullLaueBraggProcess
20,2,1,511,8.358823185,-4.660371617,10000,-0.002244207153,0.00690593812,0.9999736354,laue_bfull_diffracted,BFullLaueBraggProcess
23,2,1,511,-0.2904219902,-2.497139786,10000,-0.006416242981,0.003527451401,0.9999731941,laue_bfull_diffracted,BFullLaueBraggProcess
24,2,1,511,-7.198191089,9.011592331,10000,-0.007294153883,0.001872904015,0.9999716434,laue_bfull_diffracted,BFullLaueBraggProcess
27,2,1,511,-1.465823402,9.056931994,10000,-0.007077186677,-0.001817640219,0.9999733045,laue_bfull_diffracted,BFullLaueBraggProcess
28,2,1,511,1.682652356,3.385502135,10000,-0.0054997487,-0.005164139692,0.9999715418,laue_bfull_diffracted,BFullLaueBraggProcess
31,1,0,511,0.0398471467,80.69906508,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
33,1,0,511,-28.0673199,62.60222743,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
34,1,0,511,-39.57923757,55.090623,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
35,1,0,511,-60.76234921,45.88304477,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
36,2,1,511,8.501141538,-2.345115466,10000,0.006959578479,-0.002755484914,0.9999719854,laue_bfull_diffracted,BFullLaueBraggProcess
41,2,1,511,3.595261949,-9.192511686,10000,0.004598627515,0.005557655579,0.9999739822,laue_bfull_diffracted,BFullLaueBraggProcess
42,1,0,511,-27.47078036,-58.90487101,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
44,1,0,511,4.790216485,-82.87260383,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
45,2,1,511,4.727338071,6.366838385,10000,-0.002315078276,0.00712492323,0.9999719375,laue_bfull_diffracted,BFullLaueBraggProcess
46,2,1,511,-9.296642014,9.072034718,10000,-0.004026927706,0.006347303325,0.9999717474,laue_bfull_diffracted,BFullLaueBraggProcess
47,1,0,511,59.50041004,-45.6842337,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
49,2,1,511,3.766743498,3.857997929,10000,-0.007097862958,0.001821580094,0.9999731507,laue_bfull_diffracted,BFullLaueBraggProcess
50,1,0,511,82.15366543,3.565899054,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
51,1,0,511,73.75775964,19.89354217,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
52,1,0,511,64.70245439,40.8239429,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
55,1,0,511,17.79308469,66.06983048,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
56,1,0,511,9.965037477,80.24153799,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
57,2,1,511,-5.366109729,-6.149035027,10000,0.001359696253,-0.007127551242,0.9999736743,laue_bfull_diffracted,BFullLaueBraggProcess
59,1,0,511,-43.86891538,55.28312661,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
62,2,1,511,7.654356732,8.001887475,10000,0.007777462914,-0.0009829868477,0.9999692719,laue_bfull_diffracted,BFullLaueBraggProcess
64,2,1,511,3.386650152,-0.9760502232,10000,0.006929918737,0.002743814653,0.9999722235,laue_bfull_diffracted,BFullLaueBraggProcess
65,1,0,511,-57.96096513,-44.77368247,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
67,2,1,511,-0.1508807927,5.199048347,10000,0.003160390537,0.006715891832,0.999972454,laue_bfull_diffracted,BFullLaueBraggProcess
68,1,0,511,-16.27836679,-66.46526362,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
70,1,0,511,15.92944546,-68.6782505,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
74,1,0,511,63.89003264,-26.2796942,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
75,1,0,511,77.51031968,7.730814817,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
77,2,1,511,-2.229207265,8.513560084,10000,-0.00729461124,-0.001872110792,0.9999716415,laue_bfull_diffracted,BFullLaueBraggProcess
79,1,0,511,47.77051915,67.30901783,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
80,1,0,511,23.889839,76.26264839,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
85,1,0,511,-51.49979419,43.19391097,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
86,1,0,511,-63.73927024,23.48469496,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
88,1,0,511,-66.09318815,-12.47457656,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
90,1,0,511,-65.43337571,-35.08573479,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
91,1,0,511,-46.01749427,-65.51551434,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
93,1,0,511,-20.96550365,-78.74662821,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
94,2,1,511,-6.647381445,4.85750371,10000,-0.0004645496359,0.007380868257,0.9999726531,laue_bfull_diffracted,BFullLaueBraggProcess
96,1,0,511,45.86114263,-63.4739691,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
97,1,0,511,57.45995212,-49.67446154,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
99,2,1,511,-9.57801861,-3.439427768,10000,-0.007269720922,0.001866586971,0.9999718331,laue_bfull_diffracted,BFullLaueBraggProcess
101,1,0,511,73.16759089,12.70953654,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
102,1,0,511,58.71838523,33.17180125,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
103,2,1,511,3.297062039,4.723581104,10000,-0.005136643024,-0.004822935042,0.9999751768,laue_bfull_diffracted,BFullLaueBraggProcess
105,1,0,511,19.00268408,62.48544446,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
106,1,0,511,13.37796231,77.71143229,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
107,1,0,511,-21.79214886,75.20231844,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
