event_id,track_id,parent_id,E_keV,x_mm,y_mm,z_mm,ux,uy,uz,source_tag,creator_process
25112,1,0,511,-75.38132079,2.771147365,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25114,1,0,511,-74.98309655,-21.38233312,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25115,2,1,511,2.259648087,-7.652346296,10000,0.005939875919,0.004315121315,0.9999730484,laue_bfull_diffracted,BFullLaueBraggProcess
25116,1,0,511,-39.50872135,-58.90899137,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25119,2,1,511,-8.014152974,-0.9494968095,10000,-0.0004570995964,0.007268130894,0.9999734823,laue_bfull_diffracted,BFullLaueBraggProcess
25120,1,0,511,17.08569523,-63.47855415,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25123,1,0,511,69.47574514,-28.26197111,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25125,2,1,511,-3.917547605,3.531570247,10000,-0.007180649675,3.677751151e-09,0.9999742188,laue_bfull_diffracted,BFullLaueBraggProcess
25126,2,1,511,1.488158333,8.533738011,10000,-0.00712950699,-0.001830802159,0.9999729088,laue_bfull_diffracted,BFullLaueBraggProcess
25127,1,0,511,62.5014652,37.84089995,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25129,1,0,511,42.5934493,62.77165758,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25130,2,1,511,-0.396795534,9.08795191,10000,-0.002238903552,-0.006890987709,0.9999737505,laue_bfull_diffracted,BFullLaueBraggProcess
25132,2,1,511,6.154353114,5.826563801,10000,0.001386765981,-0.007271284642,0.9999726023,laue_bfull_diffracted,BFullLaueBraggProcess
25133,1,0,511,-32.08963984,71.98987979,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25134,2,1,511,2.913552254,-0.2025621478,10000,0.004730395555,-0.00571744707,0.9999724667,laue_bfull_diffracted,BFullLaueBraggProcess
25135,2,1,511,-6.912959045,-4.581691019,10000,0.004589883998,-0.005548027891,0.9999740758,laue_bfull_diffracted,BFullLaueBraggProcess
25137,1,0,511,-71.65076412,0.9963169728,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25138,2,1,511,-0.1153724717,8.203623741,10000,0.007411649832,0.0009357820938,0.9999720955,laue_bfull_diffracted,BFullLaueBraggProcess
25140,1,0,511,-52.23573955,-49.23408947,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25141,2,1,511,2.272375847,3.056478408,10000,0.004683549437,0.005661495741,0.9999730056,laue_bfull_diffracted,BFullLaueBraggProcess
25142,1,0,511,-33.03751432,-67.93485421,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25143,2,1,511,7.236996736,-3.813128021,10000,0.001381663264,0.007244486712,0.9999728038,laue_bfull_diffracted,BFullLaueBraggProcess
