event_id,track_id,parent_id,E_keV,x_mm,y_mm,z_mm,ux,uy,uz,source_tag,creator_process
0,1,0,511,81.79626225,6.490215117,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
2,1,0,511,58.61190871,31.90600789,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
4,1,0,511,39.72792435,66.8945073,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
5,2,1,511,0.8519249266,9.995923505,10000,-0.002252991894,-0.006935258547,0.9999734128,laue_bfull_diffracted,BFullLaueBraggProcess
6,2,1,511,-8.128973453,-3.980227434,10000,-0.0004632123364,-0.007378698042,0.9999726698,laue_bfull_diffracted,BFullLaueBraggProcess
11,1,0,511,-68.70317613,26.88214131,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
13,2,1,511,3.211591586,-8.509208883,10000,0.007508288703,0.0009477889087,0.9999713632,laue_bfull_diffracted,BFullLaueBraggProcess
14,2,1,511,-4.830292071,-0.8711035298,10000,0.007188421269,0.002846207335,0.9999701124,laue_bfull_diffracted,BFullLaueBraggProcess
15,1,0,511,-56.33590654,-37.84959731,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
16,2,1,511,0.2299395209,-5.390618023,10000,0.004677364203,0.005654151318,0.9999730761,laue_bfull_diffracted,BFullLaueBraggProcess
17,1,0,511,-28.38222505,-67.22886436,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
18,1,0,511,-5.874046864,-71.10880285,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
19,1,0,511,7.502618696,-72.95681739,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25,1,0,511,80.43211186,8.189584725,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
27,2,1,511,4.788607589,-1.375775254,10000,-0.006426147567,-0.003532715327,0.9999731119,laue_bfull_diffracted,BFullLaueBraggProcess
28,1,0,511,46.63569297,50.53890478,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
30,1,0,511,25.14814545,67.33212439,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
31,2,1,511,-3.032748326,-0.8453671643,10000,-0.0004796830842,-0.007619288949,0.9999708577,laue_bfull_diffracted,BFullLaueBraggProcess
33,1,0,511,-24.49418195,66.80726712,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
34,1,0,511,-39.95231381,65.46080798,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
35,1,0,511,-64.57448023,48.64309814,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
37,2,1,511,8.32609194,-2.73687888,10000,0.007403730868,-0.0009343262496,0.9999721555,laue_bfull_diffracted,BFullLaueBraggProcess
38,2,1,511,9.09084004,-5.938554308,10000,0.007399713028,0.0009343100158,0.9999721853,laue_bfull_diffracted,BFullLaueBraggProcess
40,1,0,511,-58.94936066,-49.9647314,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
41,1,0,511,-52.55242484,-60.53065195,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
42,2,1,511,6.157583579,-4.949726054,10000,0.004652755021,0.005624257599,0.9999733594,laue_bfull_diffracted,BFullLaueBraggProcess
43,1,0,511,-12.80590247,-64.02451683,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
44,2,1,511,-4.612986427,-6.548023203,10000,-0.000472144821,0.007509112965,0.9999716948,laue_bfull_diffracted,BFullLaueBraggProcess
45,2,1,511,4.235653455,-1.899912592,10000,-0.002219360596,0.006833564933,0.9999741881,laue_bfull_diffracted,BFullLaueBraggProcess
46,2,1,511,1.154649878,5.58556117,10000,-0.004029317796,0.006347367026,0.9999717374,laue_bfull_diffracted,BFullLaueBraggProcess
48,1,0,511,70.93620264,-34.5979288,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
49,1,0,511,66.85172487,-24.08364565,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
52,1,0,511,66.51756576,36.33724465,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
54,1,0,511,32.54978476,71.55286607,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
55,2,1,511,-9.080928352,-10.50091,10000,-0.002377764593,-0.007318136092,0.9999703951,laue_bfull_diffracted,BFullLaueBraggProcess
56,1,0,511,-1.440171065,74.60188715,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
57,1,0,511,-10.31302822,77.43648673,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
64,1,0,511,-62.35901086,-25.92072459,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
