local_id,status,init_energy_keV,depth_projection_cm,depth_distance_cm,entry_class,entry_surface_proxy,entry_region_proxy,theta_local_deg,phi_local_deg,first_hit_category,first_hit_volume,plotted
314403,active veto reject,0.0,-18.281424920234038,18.281424920485932,top,top,top_phi03_135deg,116.15145741101729,208.6021545170244,window_or_side_port,Shield_60K_Al_side_window_side_wall_above_side_port,False
457664,active veto reject,0.157,2.616594687004451,2.7687984118475777,side_wall,side,side_phi02_090deg,62.82075422296453,274.6468244330574,csi_active,CsI_Side_Segment_01,True
556865,missing coordinate,116.244,,,envelope_miss,miss_current_outer_envelope,phi06_270deg,27.211944245725736,105.34081121709046,other,ColdPlate_4K,False
681084,active veto reject,56.234,5.67156566252951,5.9624010250952395,side_wall,side,side_phi02_090deg,64.66786917942218,308.6374831973313,csi_active,CsI_Side_Segment_01,True
714779,active veto reject,18.446,19.421493602372347,19.643436055174938,side_wall,side,side_phi02_090deg,79.18004950161291,252.51386023335692,other,Cu_50mK_StillLike_Can_bottom_cap_2mm,True
191496,final pass,1.635,-6.829088093666759,6.829088097799644,top,top,top_phi06_270deg,127.44866413148209,202.8158985943407,g10_passive,G10_Support_Ring_Still_4K,False
192808,active veto reject,0.749,0.0005482473157659012,0.0005824667069533201,side_wall,side,side_phi02_090deg,107.62771647001306,180.16472454712775,geoopt_plastic_active,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,True
264586,active veto reject,0.0,-16.47894767045276,16.478947670600096,top,top,top_phi00_000deg,148.32191200552896,104.18382414954556,g10_passive,G10_Support_Ring_4K_60K,False
299408,active veto reject,2.206,8.79853724638107,14.431064559225069,bottom,bottom,bottom_phi03_135deg,62.75962694182918,104.56779157595079,outer_mechanics,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,True
533867,missing coordinate,0.0,,,envelope_miss,miss_current_outer_envelope,phi03_135deg,76.83433565183184,312.0736220151578,other,ColdPlate_Still_0p7K,False
752100,active veto reject,0.098,3.9719413209141585,3.990385449934628,bottom,bottom,bottom_phi04_180deg,36.87781585013144,325.63720360723585,csi_active,CsI_Bottom_Quadrant_02,True
