window,stage,counts,rate_s-1
broad_480_550,raw,13984,1.21266796173
broad_480_550,active_veto_pass,11396,0.988241139295
broad_480_550,side_compton_fov_pass,10964,0.950778856724
w2_510p58_511p42,raw,11729,1.01711831544
w2_510p58_511p42,active_veto_pass,10489,0.909587689546
w2_510p58_511p42,side_compton_fov_pass,10225,0.886694072419
