tag,files,tt_files,tt_line_count,tt_sum_s,tt_mean_s,tt_min_s,tt_max_s,rate_hz_per_event,rate_times_tt_sum,expected_files_from_normalization,warnings
alpha,8,8,8,1470.082,183.76025,181.928,186.44,0.0006802341638085495,1.0,8,
eminus,8,8,8,1473.937,184.242125,183.8,184.721,0.0006784550492999362,1.0,8,
eplus,8,8,8,1472.2730000000001,184.03412500000002,183.392,184.429,0.0006792218562725798,1.0,8,
gamma,12,12,12,184.2578,15.354816666666666,15.3276,15.3807,0.0054271786594651625,1.0,12,
muminus,8,8,8,1469.1889999999999,183.64862499999998,180.853,186.255,0.0006806476225999515,1.0,8,
muplus,8,8,8,1485.1770000000001,185.64712500000002,182.88,187.736,0.0006733204190476959,0.9999999999999999,8,
n,8,8,8,1473.602,184.20025,183.901,184.462,0.0006786092852751285,1.0,8,
p,8,8,8,1474.7060000000001,184.33825000000002,183.943,184.844,0.0006781012622176895,1.0,8,
