annulus_id,outer_cut_id,r_inner_cm,r_outer_cm,signal_cps_at_reference_flux,prompt_cps,delayed_cps,background_cps,source_counts_20d,prompt_counts_20d,delayed_counts_20d,background_counts_20d,s_over_sqrt_b_annulus
0_0.720711,spot_r50,0.0,0.7207108448941753,0.0005311780698844835,0.008806038179531845,0.0015160781047454778,0.010322116284277323,910.6309902515278,15271.554719484056,2584.3702513071266,17855.924970791177,6.814770735817795
0.720711_0.849486,spot_r68,0.7207108448941753,0.8494856401373088,0.00019120181685779354,0.006096487815639463,0.0012109866705362932,0.007307474486175757,327.7889462962369,10572.614537330512,2064.298611177998,12636.913148508504,2.9159079090598734
0.849486_1.05164,spot_r90,0.8494856401373088,1.0516422148529696,0.00023370879862195481,0.004063714270948813,0.0015577445332457464,0.0056214588041945575,400.66125991588575,7047.350191756984,2655.3965908850514,9702.746782642032,4.067522871217316
1.05164_1.13764,spot_r95,1.0516422148529696,1.1376384250741831,5.313372720472517e-05,0.004741712760934748,0.0008479591480115185,0.005589671908946266,91.09039202374422,8223.144666917686,1445.4666877552515,9668.611354672934,0.9263828777508843
1.13764_1.30967,spot_r99,1.1376384250741831,1.3096744782126644,4.250698176630138e-05,0.010160202697600478,0.0020899588843364073,0.012250161581936887,72.87231362331768,17619.965788713413,3562.6314701252213,21182.597258838643,0.5006946530877935
1.30967_1.8,full_aperture_1p8,1.3096744782126644,1.8,1.0586944897502618e-05,0.025055620707079215,0.006855215205817681,0.0319108359128969,18.149845903555036,43451.808277208715,11685.68702942764,55137.49530663639,0.07729464826220003
