tag,files,tt_files,tt_line_count,tt_sum_s,tt_mean_s,tt_min_s,tt_max_s,rate_hz_per_event,rate_times_tt_sum,expected_files_from_normalization,warnings
alpha,8,8,8,147.1109,18.3888625,18.1918,18.9657,0.006797592836424766,1.0,8,
eminus,8,8,8,147.47609999999997,18.434512499999997,18.2993,18.5027,0.006780759729881657,1.0,8,
eplus,8,8,8,147.1786,18.397325,18.2861,18.6421,0.006794466043297056,1.0,8,
gamma,12,12,12,18.431889999999996,1.535990833333333,1.52799,1.55001,0.054253796002471814,1.0,12,
muminus,8,8,8,148.9315,18.6164375,17.194,19.4304,0.006714496261704206,1.0,8,
muplus,8,8,8,146.42170000000002,18.302712500000002,17.6825,19.2791,0.006829588783629748,1.0,8,
n,8,8,8,147.38340000000002,18.422925000000003,18.3549,18.4806,0.006785024636424454,1.0,8,
p,8,8,8,147.70960000000002,18.463700000000003,18.2595,18.6426,0.006770040674404371,1.0,8,
