time_bin_id,day_mid,altitude_km,depth_g_cm2,T_atm_511,science_atm_scale_to_day15
0,0.0,38.75,3.4614689720143224,0.7390423888027,1.0
1,0.25,39.52254248593737,3.089730493727418,0.7634373037471879,1.033008816969226
2,0.5,40.219463130731185,2.7887557765281525,0.7837771116149006,1.0605306589851686
3,0.75,40.77254248593737,2.570911072066955,0.7988362482971733,1.0809072123607733
4,1.0,41.127641290737884,2.44010220656668,0.808017462949973,1.093330335569814
5,1.25,41.25,2.3965878546996042,0.8110949791979928,1.0974945300661616
6,1.5,41.127641290737884,2.44010220656668,0.808017462949973,1.093330335569814
7,1.75,40.77254248593737,2.570911072066955,0.7988362482971733,1.0809072123607733
8,2.0,40.21946313073118,2.788755776528155,0.7837771116149004,1.0605306589851682
9,2.25,39.522542485937365,3.0897304937274215,0.7634373037471877,1.0330088169692258
10,2.5,38.75,3.4614689720143224,0.7390423888027,1.0
11,2.75,37.97745751406263,3.8779328710198326,0.7126370627291281,0.9642708909886071
12,3.0,37.280536869268815,4.296456342668533,0.6870515445807625,0.9296510660150816
13,3.25,36.727457514062635,4.660514155623752,0.6655438918795834,0.9005490103995397
14,3.5,36.372358709262116,4.910354743327211,0.6511747745022454,0.8811061237734871
15,3.75,36.25,4.999511042635957,0.6461225723909806,0.8742699771764703
16,4.0,36.372358709262116,4.910354743327211,0.6511747745022454,0.8811061237734871
17,4.25,36.727457514062635,4.660514155623752,0.6655438918795834,0.9005490103995397
18,4.5,37.280536869268815,4.296456342668533,0.6870515445807625,0.9296510660150816
19,4.75,37.977457514062635,3.877932871019828,0.7126370627291283,0.9642708909886073
20,5.0,38.75,3.4614689720143224,0.7390423888027,1.0
21,5.25,39.52254248593737,3.089730493727418,0.7634373037471879,1.033008816969226
22,5.5,40.219463130731185,2.7887557765281525,0.7837771116149006,1.0605306589851686
23,5.75,40.77254248593737,2.570911072066955,0.7988362482971733,1.0809072123607733
24,6.0,41.127641290737884,2.44010220656668,0.808017462949973,1.093330335569814
25,6.25,41.25,2.3965878546996042,0.8110949791979928,1.0974945300661616
26,6.5,41.127641290737884,2.44010220656668,0.808017462949973,1.093330335569814
27,6.75,40.772542485937365,2.570911072066957,0.7988362482971731,1.0809072123607733
28,7.0,40.219463130731185,2.7887557765281525,0.7837771116149006,1.0605306589851686
29,7.25,39.522542485937365,3.0897304937274215,0.7634373037471877,1.0330088169692258
30,7.5,38.75,3.4614689720143224,0.7390423888027,1.0
31,7.75,37.97745751406263,3.8779328710198326,0.7126370627291281,0.9642708909886071
32,8.0,37.280536869268815,4.296456342668533,0.6870515445807625,0.9296510660150816
33,8.25,36.72745751406263,4.6605141556237575,0.6655438918795831,0.9005490103995393
34,8.5,36.372358709262116,4.910354743327211,0.6511747745022454,0.8811061237734871
35,8.75,36.25,4.999511042635957,0.6461225723909806,0.8742699771764703
36,9.0,36.372358709262116,4.910354743327211,0.6511747745022454,0.8811061237734871
37,9.25,36.727457514062635,4.660514155623752,0.6655438918795834,0.9005490103995397
38,9.5,37.28053686926882,4.296456342668528,0.6870515445807628,0.9296510660150821
39,9.75,37.977457514062635,3.877932871019828,0.7126370627291283,0.9642708909886073
40,10.0,38.75,3.4614689720143224,0.7390423888027,1.0
41,10.25,39.52254248593737,3.089730493727418,0.7634373037471879,1.033008816969226
42,10.5,40.219463130731185,2.7887557765281525,0.7837771116149006,1.0605306589851686
