time_bin_id,time_mid_s,day_mid,dt_s,altitude_km,altitude_offset_km,latitude_deg,latitude_offset_deg,longitude_deg,longitude_offset_deg,Rc_GV,depth_g_cm2,T_atm_511,science_atm_scale_to_day15,prompt_scale_to_day15,delayed_production_scale_to_day15
0,0.0,0.0,10800.0,38.75,1.8369701987210296e-15,33.804542129382995,-0.1954578706170071,100.2165063509461,0.21650635094610945,11.022131820177744,3.4614689720143224,0.7390423888027,1.0,0.9995980883233027,0.9995980883233027
1,21600.0,0.25,21600.0,39.52254248593737,0.7725424859373744,33.844127549535315,-0.1558724504646833,100.19151111077974,0.19151111077974428,11.018215129360568,3.089730493727418,0.7634373037471879,1.033008816969226,0.987358392119787,0.987358392119787
2,43200.0,0.5,21600.0,40.219463130731185,1.4694631307311843,33.89152906522061,-0.10847093477938942,100.16069690242163,0.16069690242163495,11.013498581855,2.7887557765281525,0.7837771116149006,1.0605306589851686,0.9775859608713237,0.9775859608713237
3,64800.0,0.75,21600.0,40.77254248593737,2.022542485937372,33.944369766510924,-0.05563023348907848,100.125,0.12499999999999979,11.008200418679126,2.570911072066955,0.7988362482971733,1.0809072123607733,0.9706063435772849,0.9706063435772849
4,86400.0,1.0,21600.0,41.127641290737884,2.3776412907378845,34.0,1.2246467991473532e-16,100.08550503583142,0.085505035831417,11.002565151074943,2.44010220656668,0.808017462949973,1.093330335569814,0.9664823980807905,0.9664823980807905
5,108000.0,1.25,21600.0,41.25,2.5,34.055630233489076,0.055630233489078716,100.04341204441673,0.043412044416732444,10.996851942653377,2.3965878546996042,0.8110949791979928,1.0974945300661616,0.9651818096122368,0.9651818096122368
6,129600.0,1.5,21600.0,41.127641290737884,2.3776412907378837,34.10847093477939,0.10847093477938964,100.0,-9.184850993605148e-17,10.991322325217649,2.44010220656668,0.808017462949973,1.093330335569814,0.9666800367242471,0.9666800367242471
7,151200.0,1.75,21600.0,40.77254248593737,2.0225424859373704,34.155872450464685,0.15587245046468348,99.95658795558327,-0.043412044416732624,10.986227842630322,2.570911072066955,0.7988362482971733,1.0809072123607733,0.9709942780162459,0.9709942780162459
8,172800.0,2.0,21600.0,40.21946313073118,1.4694631307311814,34.195457870617005,0.19545787061700726,99.91449496416858,-0.08550503583141718,10.981798219275696,2.788755776528155,0.7837771116149004,1.0605306589851682,0.9781496956660047,0.9781496956660047
9,194400.0,2.25,21600.0,39.522542485937365,0.7725424859373629,34.2252422169756,0.22524221697560484,99.875,-0.12499999999999994,10.978230622641952,3.0897304937274215,0.7634373037471877,1.0330088169692258,0.9880765706559972,0.9880765706559972
10,216000.0,2.5,21600.0,38.75,-1.5308084989341915e-15,34.24373197804545,0.24373197804545593,99.83930309757837,-0.16069690242163476,10.975680534683715,3.4614689720143224,0.7390423888027,1.0,1.0004427595978038,1.0004427595978038
11,237600.0,2.75,21600.0,37.97745751406263,-0.7725424859373742,34.25,0.25,99.80848888922026,-0.1915111107797447,10.974254666676607,3.8779328710198326,0.7126370627291281,0.9642708909886071,1.0144542423095344,1.0144542423095344
12,259200.0,3.0,21600.0,37.280536869268815,-1.4694631307311838,34.24373197804545,0.24373197804545588,99.7834936490539,-0.2165063509461098,10.97400625122798,4.296456342668533,0.6870515445807625,0.9296510660150816,1.0287105093605544,1.0287105093605544
13,280800.0,3.25,21600.0,36.727457514062635,-2.022542485937367,34.2252422169756,0.22524221697560473,99.76507684480352,-0.234923155196477,10.974932927986059,4.660514155623752,0.6655438918795834,0.9005490103995397,1.0412526482439335,1.0412526482439335
14,302400.0,3.5,21600.0,36.372358709262116,-2.3776412907378845,34.195457870617005,0.1954578706170074,99.75379806174695,-0.24620193825305203,10.976977312203047,4.910354743327211,0.6511747745022454,0.8811061237734871,1.0499213172045039,1.0499213172045039
15,324000.0,3.75,21600.0,36.25,-2.5,34.155872450464685,0.15587245046468332,99.75,-0.25,10.980030203962825,4.999511042635957,0.6461225723909806,0.8742699771764703,1.0529876305340695,1.0529876305340695
16,345600.0,4.0,21600.0,36.372358709262116,-2.3776412907378823,34.10847093477939,0.10847093477938904,99.75379806174695,-0.24620193825305198,10.983936267070057,4.910354743327211,0.6511747745022454,0.8811061237734871,1.049788246378433,1.049788246378433
17,367200.0,4.25,21600.0,36.727457514062635,-2.0225424859373677,34.055630233489076,0.05563023348907851,99.76507684480352,-0.23492315519647702,10.98850188666498,4.660514155623752,0.6655438918795834,0.9005490103995397,1.0409953666214347,1.0409953666214347
18,388800.0,4.5,21600.0,37.280536869268815,-1.4694631307311816,34.0,-9.184850993605148e-17,99.7834936490539,-0.2165063509461097,10.993504809471617,4.296456342668533,0.6870515445807625,0.9296510660150816,1.0283453370546611,1.0283453370546611
19,410400.0,4.75,21600.0,37.977457514062635,-0.7725424859373631,33.944369766510924,-0.05563023348907869,99.80848888922026,-0.1915111107797443,10.998705085355732,3.877932871019828,0.7126370627291283,0.9642708909886073,1.0140028088714788,1.0140028088714788
20,432000.0,5.0,21600.0,38.75,1.2246467991473533e-15,33.89152906522061,-0.10847093477938961,99.83930309757837,-0.16069690242163479,11.003856767709703,3.4614689720143224,0.7390423888027,1.0,0.999929891698667,0.999929891698667
