metric,Mass_model_511_fullstat_v1,fix5_fullstat_v2_exactpos_m50000_s260613,delta_mass_minus_fix5,ratio_mass_over_fix5,unit
W2 prompt final rate,0.044088948071811976,0.036641023029691425,0.007447925042120551,1.2032673879243287,cps
W2 delayed final rate,0.003984600717591324,0.0025752034889400762,0.0014093972286512474,1.547295479640461,cps
W2 total background,0.0480735487894033,0.0392162265186315,0.008857322270771802,1.2258586064256773,cps
W2 background sigma,0.005520162710878366,0.005008329321646361,0.0005118333892320049,1.1021964324549953,cps
W2 signal at 1e-4,0.0011847573754053184,0.00118587480749719,-1.1174320918715293e-06,0.9990577149587738,cps
20-day Z at 1e-4,7.038367535725279,7.79950030715189,-0.7611327714266105,0.9024126236999214,
20-day 3-sigma flux,4.2623520081505106e-05,3.8464002588077305e-05,4.159517493427801e-06,1.108140526558646,ph cm^-2 s^-1
W/collimator selected delayed rate,0.0,0.0,0.0,,cps
W/collimator fraction of delayed selected rate,0.0,0.0,0.0,,
