material,status_step05,status_step06,status_step07,status_step08,active_veto_threshold_keV,step05_w2_background_cps,step05_w2_signal_cps_at_1e-4,step05_w2_response_cps_per_ph_cm2_s,step06_w2_mission_mean_background_cps,step06_w2_mission_mean_signal_cps_at_1e-4,step08_w2_Z20d,step08_w2_T3_day,step08_w2_T5_day,step08_w2_F3_20d_ph_cm2_s,step08_w2_source_counts,step08_w2_background_counts,w2_low_stat_background_events,source_csi_active_mass_kg,bgo_active_mass_kg,active_mass_ratio_bgo_over_csi,attenuation_max_abs_relative_difference,bgo_total_mass_kg,outer_shell_r_out_cm
CsI_exactpos_m50000,PASS_V3P5_STEP05_SIDE_ENTRY_COMPTON_TIME_AXIS_L1_FULLSTAT_V2_EXACTPOS_M50000_S260613,PASS_V3P5_STEP06_TIME_AXIS_FULLSTAT_V2_EXACTPOS_M50000_S260613,PASS_V3P5_STEP07_SOURCE_CASES_FULLSTAT_V2_EXACTPOS_M50000_S260613,PASS_V3P5_STEP08_TIME_DEPENDENT_FULLSTAT_V2_EXACTPOS_M50000_S260613,50.0,0.06298036183985109,0.0011811656293957314,11.811656293957313,0.06319228710672735,0.0011728072724834458,6.130394687582996,4.777656378990109,12.886716737474934,4.893649027323553e-05,2024.9442412886613,109106.15864638158,132,,,,,,
BGO,PASS_BGO_SAMPLE_STEP05_SIDE_ENTRY_COMPTON_TIME_AXIS_L1_FULLSTAT_V2_EXACTPOS,PASS_BGO_SAMPLE_STEP06_TIME_AXIS_FULLSTAT_V2_EXACTPOS,PASS_BGO_SAMPLE_STEP07_SOURCE_CASES_FULLSTAT_V2_EXACTPOS,PASS_BGO_SAMPLE_STEP08_TIME_DEPENDENT_FULLSTAT_V2_EXACTPOS,70.0,0.05784553549642035,0.0011859546240751808,11.859546240751808,0.05783299834663861,0.0011775623784975075,6.434747870773267,4.216224045243973,11.719261310605743,4.662187330798229e-05,2033.5455891021018,99872.23214943838,248,62.83369781500205,45.02592311618547,0.7165887840749549,0.07311828916996332,72.21487790067297,16.737000000000002
