tag,files,division,is_gamma,gamma_div_mode,tt_count,tt_files,tt_line_count,tt_sum_s,tt_mean_s,tt_min_s,tt_max_s,tt_relative_spread,rp_raw_total,rp_scaled_total,warnings
alpha,8,8.0,False,,8,8,8,1474.1490000000001,184.26862500000001,183.06,185.793,0.014831607931084328,165.0,20.625,
eminus,8,8.0,False,,8,8,8,1473.735,184.216875,183.862,184.352,0.002659908328159454,0.0,0.0,
eplus,8,8.0,False,,8,8,8,1472.1399999999999,184.01749999999998,183.5,184.488,0.005369054573613921,4.0,0.5,
gamma,12,12.0,True,auto,12,12,12,184.27089999999998,15.355908333333332,15.3276,15.3807,0.0034579523950878073,0.0,0.0,
muminus,8,8.0,False,,8,8,8,1471.844,183.9805,181.269,186.665,0.029329195213623108,4321.0,540.125,tag=muminus TT spread is 0.0293; rate uses mean TT
muplus,8,8.0,False,,8,8,8,1474.337,184.292125,182.367,187.186,0.02614870277283968,14.0,1.75,tag=muplus TT spread is 0.0261; rate uses mean TT
n,8,8.0,False,,8,8,8,1473.674,184.20925,183.984,184.447,0.002513445986018584,253754.0,31719.25,
p,8,8.0,False,,8,8,8,1474.621,184.327625,183.58,184.781,0.006515572475910723,1550.0,193.75,
