case,M,seed,ZA,nuclide,activity_Bq,activity_fraction,expected_draws,miss_probability_if_multinomial,dominant_incident_family,dominant_incident_family_activity_Bq,dominant_category,dominant_category_activity_Bq
M5000_seed260613,5000,260613,53121,I-121,0.029180025316000103,0.0003407420734903867,1.7037103674519336,0.18200695698348288,n,0.022391062926066702,CsI active shield,0.029180025316000103
M5000_seed260613,5000,260613,55127,Cs-127,0.021715895449,0.00025358165946947893,1.2679082973473945,0.28141965280522135,n,0.0142496745252,CsI active shield,0.021715895449
M5000_seed260613,5000,260613,54133,Xe-133,0.019918700927000002,0.00023259539296490323,1.1629769648245163,0.3125543312790872,n,0.012874982921333301,CsI active shield,0.019918700927000002
M5000_seed260613,5000,260613,51117,Sb-117,0.0176448268,0.00020604282570358285,1.0302141285179143,0.3569305233817785,n,0.0108564218424,CsI active shield,0.0176448268
M5000_seed260613,5000,260613,51119,Sb-119,0.016938032122,0.0001977894166847211,0.9889470834236054,0.37196813632288356,n,0.014226168333,CsI active shield,0.016938032122
M5000_seed260613,5000,260613,53120,I-120,0.014927348046,0.0001743101820448981,0.8715509102244904,0.41830229660276586,n,0.013568152830000001,CsI active shield,0.014927348046
M5000_seed260613,5000,260613,56131,Ba-131,0.014533280908,0.0001697085666507224,0.8485428332536119,0.42803820076748644,p,0.012916817761,CsI active shield,0.014533280908
M5000_seed260613,5000,260613,51116,Sb-116,0.014249674527000001,0.000166396827703599,0.831984138517995,0.4351849618900555,n,0.010855352678,CsI active shield,0.014249674527000001
M5000_seed260613,5000,260613,55126,Cs-126,0.0135712668900001,0.0001584749008923735,0.7923745044618675,0.45276841722895034,n,0.0101772564456667,CsI active shield,0.0135712668900001
M5000_seed260613,5000,260613,25056,Mn-56,0.0128897451780004,0.0001505166102891038,0.7525830514455188,0.47114798012955705,n,0.0128897451780004,other,0.012211337536000401
M5000_seed260613,5000,260613,53130,I-130,0.010870502966,0.00012693744026627784,0.6346872013313892,0.530101277360708,n,0.0074640821129999995,CsI active shield,0.010870502966
M5000_seed260613,5000,260613,54122,Xe-122,0.010180432981,0.00011887932945259568,0.5943966472629784,0.5518954530656872,n,0.005428017617,CsI active shield,0.010180432981
M5000_seed260613,5000,260613,73180,Ta-180,0.009520079996,0.00011116823109309262,0.5558411554654631,0.5735895802096947,muminus,0.004769628430000001,W/collimator,0.006806449428
M5000_seed260613,5000,260613,73177,Ta-177,0.008062600571999999,9.414889832606366e-05,0.4707444916303184,0.6245371324913702,muminus,0.00403682673,W/collimator,0.006721991778
M5000_seed260613,5000,260613,54121,Xe-121,0.007466220927,8.718483182426614e-05,0.4359241591213307,0.6466667678516053,p,0.004074182721,CsI active shield,0.007466220927
M5000_seed260613,5000,260613,51113,Sb-113,0.006785322040000001,7.92338140961746e-05,0.3961690704808731,0.6728929199900215,n,0.005427676342000001,CsI active shield,0.006785322040000001
M5000_seed260613,5000,260613,73184,Ta-184,0.005452830288,6.367399200663174e-05,0.31836996003315876,0.7273336542503791,muminus,0.005452830288,W/collimator,0.005452830288
M5000_seed260613,5000,260613,55125,Cs-125,0.005427883946,6.338268765692581e-05,0.31691343828462903,0.7283938034139674,n,0.0047491648990000005,CsI active shield,0.005427883946
M5000_seed260613,5000,260613,74177,W-177,0.005427261133000001,6.337541492187097e-05,0.3168770746093549,0.728420290971296,n,0.005427261133000001,W/collimator,0.005427261133000001
M5000_seed260613,5000,260613,56127,Ba-127,0.004753213175,5.550439711590134e-05,0.2775219855795067,0.7576589068497244,p,0.004753213175,CsI active shield,0.004753213175
M5000_seed260613,5000,260613,28065,Ni-65,0.00474885349,5.545348804058089e-05,0.27726744020290445,0.7578517899692162,n,0.00474885349,other,0.002713630568
M5000_seed260613,5000,260613,56128,Ba-128,0.004687329556,5.473505847743207e-05,0.2736752923871603,0.7605790009611633,p,0.004687329556,CsI active shield,0.004687329556
M5000_seed260613,5000,260613,27055,Co-55,0.004071688794,4.754607534608237e-05,0.23773037673041186,0.7884152375328866,n,0.00271362878,other,0.001358060014
M5000_seed260613,5000,260613,27058,Co-58,0.00379785101700003,4.434840670376612e-05,0.2217420335188306,0.8011220003043422,n,0.00333419908266003,Al shells,0.00157468745140003
M5000_seed260613,5000,260613,73183,Ta-183,0.003554365654,4.150517039554751e-05,0.20752585197773757,0.8125922343852046,muminus,0.002964288045,W/collimator,0.003554365654
M5000_seed260613,5000,260613,74181,W-181,0.00346459610079989,4.0456910040648545e-05,0.20228455020324274,0.8168624564908901,n,0.00335281259599989,W/collimator,0.00346459610079989
M5000_seed260613,5000,260613,52116,Te-116,0.003393906643,3.963145248316527e-05,0.19815726241582632,0.8202408499367989,p,0.002037091359,CsI active shield,0.003393906643
M5000_seed260613,5000,260613,53119,I-119,0.0033920382070000005,3.9609634313032465e-05,0.19804817156516233,0.820330335589812,n,0.0033920382070000005,CsI active shield,0.0033920382070000005
M5000_seed260613,5000,260613,27062,Co-62,0.002716826708,3.1725029562958525e-05,0.15862514781479262,0.8533161664547877,n,0.002035222922,other,0.002038419066
M5000_seed260613,5000,260613,8015,O-15,0.0027154990020001,3.170952562523084e-05,0.15854762812615417,0.853382317822305,p,0.0020366761523334,Cu/support,0.0020364685490001
M5000_seed260613,5000,260613,9017,F-17,0.002714253374,3.1694980131765515e-05,0.1584749006588276,0.8534443844138871,n,0.002035534327,other,0.001357438094
M5000_seed260613,5000,260613,49114,In-114,0.002713630565,3.168770744341963e-05,0.15843853721709814,0.8534754191532906,n,0.002713630565,CsI active shield,0.002713630565
M5000_seed260613,5000,260613,72173,Hf-173,0.002713561136,3.16868967045267e-05,0.1584344835226335,0.8534788788888853,n,0.002713561136,W/collimator,0.002713561136
M5000_seed260613,5000,260613,74178,W-178,0.002592113114,3.026871935925568e-05,0.1513435967962784,0.859552308495122,n,0.0023328066240000003,W/collimator,0.002592113114
M5000_seed260613,5000,260613,21047,Sc-47,0.002591918605,3.026644803154932e-05,0.1513322401577466,0.8595620701754185,n,0.002591918605,other,0.002591918605
M5000_seed260613,5000,260613,27056,Co-56,0.00213650433669999,2.494846765294545e-05,0.12474233826472725,0.8827243175646993,n,0.00170914071533999,other,0.0012819026019
M5000_seed260613,5000,260613,49108,In-108,0.002038737168,2.3806817245813946e-05,0.11903408622906973,0.8877775392576366,alpha,0.001360329526,CsI active shield,0.002038737168
M5000_seed260613,5000,260613,72169,Hf-169,0.002038737168,2.3806817245813946e-05,0.11903408622906973,0.8877775392576366,alpha,0.001360329526,W/collimator,0.002038737168
