case,geometry,inventory,i128_csi_rows,i128_activity_bq,i128_points,active_csi_mass_kg,specific_activity_bq_per_kg,authority
mainline_div8_review_20260612,legacy_DEMO2_mainline_div8_rebuilt,runs/step02_decay_source_mainline_div8_review_20260612/activation_inventory_day15.csv,20,66.62942376598845,288648.0,,,R1/R2 normalization cross-check only; current v3p5 geometry uses the next row.
v3p5_centerfinger_fullstat_v2_current,DEMO2_DR_v3p5_minpatch_centerfinger,runs/step02_decay_source_v3p5_centerfinger_fullstat_v2/activation_inventory_day15.csv,24,66.00180110381153,97289.0,62.83369781500205,1.0504204495195741,Current R2 repo-local CsI I-128 anchor.
