cut_id,radius_cm,signal_psf_fraction,prompt_cps,delayed_cps,background_cps,signal_cps_at_reference_flux,Z20d,T3_day,T3_status,T5_day,T5_status,F3_20d_ph_cm2_s,source_counts,background_counts
spot_r50,0.7245795359278085,0.5000284727875673,0.008009824773019987,0.0009358450412829607,0.008945669814302948,0.0005323394677792716,7.351980687152396,2.8344046475059566,mission_internal_crossing,9.070791704875731,mission_internal_crossing,4.0805330259402176e-05,912.7976354505732,15414.885306123379
spot_r68,0.8539620688831576,0.6800362943721647,0.012068685013067366,0.0013130968522280576,0.013381781865295423,0.0007239790906276313,8.17339021191702,2.2079304972019758,mission_internal_crossing,7.0391058757402885,mission_internal_crossing,3.6704475403926274e-05,1241.4003507900152,23068.494941643057
spot_r90,1.055732784975917,0.9000330387095764,0.01680340951731633,0.001866399511774606,0.018669809029090937,0.0009581916528460724,9.158848794495363,1.7446452323646588,mission_internal_crossing,5.7987668874577,mission_internal_crossing,3.275520829433341e-05,1643.002497400828,32180.63938798181
spot_r95,1.1449645028010191,0.9500165189703581,0.02086226952770138,0.0021180660444099215,0.0229803355721113,0.0010114049811420483,8.711610812363581,1.9323784104909236,mission_internal_crossing,6.3071688251737665,mission_internal_crossing,3.443680008916811e-05,1734.2469066227313,39630.07794713886
spot_r99,1.3112857613168307,0.9900182578705029,0.025597518951509857,0.0027971192952788663,0.02839463824678872,0.0010539915648172448,8.168783710005437,2.210490843605033,mission_internal_crossing,7.046120883045212,mission_internal_crossing,3.6725173618264444e-05,1807.2697336597744,48947.57232825807
spot_rmax,1.708006744272094,1.0,0.05265466229710279,0.004206187701991149,0.05686084999909394,0.0010646183102565668,5.826257820980511,5.246854003725462,mission_internal_crossing,14.696985816555303,mission_internal_crossing,5.149102721127307e-05,1825.491317248181,98170.30615315131
full_aperture_1p8,1.8,1.0,0.05265466229710279,0.00425648794065252,0.05691115023775531,0.0010646183102565668,5.823832702168608,5.250437446247268,mission_internal_crossing,14.709943584727933,mission_internal_crossing,5.151246873700367e-05,1825.491317248181,98252.08193108784
