time_bin_id,day_mid,elapsed_stop_day,dt_s,prompt_event_rate_hz,delayed_event_rate_hz,coincidence_occupancy_rate_hz,accidental_live_factor,prompt_final_cps_noacc,delayed_final_cps_noacc,background_final_cps_noacc,signal_final_cps_noacc,cumulative_source_counts,cumulative_background_counts,counting_Z
0,0.0,0.125,10800.0,927.036014406441,77.4337182248421,1004.4697326312831,0.9989960345782215,0.04271488831400421,0.002950072054869801,0.04566496036887401,0.0011171527338467153,12.05313643221575,492.6864347389092,0.5430186803959255
1,0.25,0.375,21600.0,915.6848130400145,84.17611370001971,999.8609267400343,0.9990006387676409,0.042191860846827405,0.003206944034288979,0.04539880488111638,0.0011540286239649319,36.9552436141533,1472.3206323702009,0.9631077342805205
2,0.5,0.625,21600.0,906.6217747834764,85.9741632772903,992.5959380607667,0.9990078965223358,0.04177426470072575,0.0032754461795143222,0.04504971088024007,0.0011847747250135396,62.520988621347165,2444.428997527014,1.2645532533720034
3,0.75,0.875,21600.0,900.148816627663,87.23369401198711,987.3825106396501,0.999013104791074,0.04147601125599434,0.0033234318181722708,0.044799443074166605,0.00120753844732347,88.57807806311575,3411.1419810451916,1.5166185189809933
4,1.0,1.125,21600.0,896.3242334863403,88.21311942682539,984.5373529131657,0.9990159471449713,0.04129978655793466,0.003360745996186478,0.04466053255412114,0.0012214169733793644,114.9347228087376,4374.860200403561,1.7376774407370013
5,1.25,1.375,21600.0,895.1180563593979,89.06667543925072,984.1847317986486,0.9990162994191502,0.04124420972978172,0.0033932647980372483,0.044637474527818966,0.0012260690146452286,141.39176209335417,5338.081196156644,1.9352252379746893
6,1.5,1.625,21600.0,896.5075252937808,89.90102766350593,986.4085529572867,0.999014077788036,0.041308232064864295,0.0034250519734063383,0.044733284038270635,0.0012214169733793644,167.74835752046735,6303.367494954986,2.112866039296203
7,1.75,1.875,21600.0,900.508590421097,90.7953646908645,991.3039551119615,0.9990091872243376,0.04149258849481356,0.003459124451553196,0.04495171294636676,0.00120753844732347,193.80534478100694,7273.3624579966445,2.2724698744557865
8,2.0,2.125,21600.0,907.1445873652012,91.80807237843943,998.9526597436407,0.9990015461273625,0.041798354251390966,0.003497706618564623,0.04529606086995559,0.0011847747250135392,219.3709272743917,8250.780490596044,2.41508018397984
9,2.25,2.375,21600.0,916.3508580991416,92.97428926266312,1009.3251473618047,0.9989911840499351,0.042222550097159195,0.0035421371834262476,0.04576468728058544,0.0011540286239649317,244.27279877840817,9238.300503892757,2.5414353472398257
10,2.5,2.625,21600.0,927.8193699379733,94.29591408337728,1022.1152840213506,0.9989784068978804,0.04275098285997606,0.003592488484383927,0.04634347134435999,0.0011171527338467153,268.3786462781159,10238.296850844814,2.6523699519214796
11,2.75,2.875,21600.0,940.8137416166899,95.72728501191159,1036.5410266286015,0.9989639959964565,0.04334972241954153,0.0036470208957574955,0.046996743315299024,0.0010772378620367304,291.622878006972,11252.374828067945,2.7491567087270217
12,3.0,3.125,21600.0,954.0351284337253,97.16413091259957,1051.1992593463249,0.9989493530570466,0.04395892211887307,0.0037017618927798236,0.047660684011652896,0.0010385622299222616,314.032253069083,12280.7639923974,2.8337501913033774
13,3.25,3.375,21600.0,965.6668177880763,98.44781407502344,1064.1146318630997,0.9989364513373419,0.04449487358564797,0.003750667691333594,0.048245541276981566,0.0010060507889308,335.7398384562118,13321.759355992668,2.9088550791092356
14,3.5,3.625,21600.0,973.7062172400056,99.39546937845235,1073.101686618458,0.9989274738810971,0.04486530369231508,0.003786771490716921,0.048652075183032,0.0009843301149826335,356.9785653930652,14371.51707852451,2.977767819573306
15,3.75,3.875,21600.0,976.5499430545776,99.85396711370431,1076.403910168282,0.9989241752047148,0.04499633358616756,0.003804239350804182,0.048800572936971744,0.0009766930951227992,378.0524400336967,15424.475435249082,3.044015390100646
16,4.0,4.125,21600.0,973.5828061914297,99.75592478300801,1073.3387309744376,0.9989272370910055,0.04485961730141471,0.0038005041312304346,0.04866012143264514,0.0009843301149826335,399.29116193603033,16474.40652148834,3.1108910986787586
17,4.25,4.375,21600.0,965.4282125599476,99.14653690541503,1064.5747494653626,0.9989359917092029,0.0444838794111906,0.003777287654100363,0.04826116706529096,0.0010060507889308,420.9987373351193,17515.738564009996,3.181021219181101
18,4.5,4.625,21600.0,953.6964644416855,98.1649517396968,1051.8614161813823,0.9989486915961237,0.04394331755295421,0.0037398911938341544,0.047683208746788365,0.0010385622299222616,443.4080975587144,18544.613070166113,3.2560774892725397
19,4.75,4.875,21600.0,940.3950782958277,96.99322533529478,1037.3883036311224,0.9989631495975949,0.04333043173750341,0.003695250727112119,0.047025682464615526,0.0010772378620367306,466.65230959327585,19559.314625689614,3.3366957123144387
20,5.0,5.125,21600.0,927.3437317603031,95.8030335155282,1023.1467652758313,0.9989773764709114,0.042729066956687156,0.0036499067644570806,0.04637897372114424,0.0011171527338467153,490.7581322282666,20560.076008303033,3.4225921268187762
21,5.25,5.375,21600.0,915.8427193987933,94.72332341918582,1010.5660428179791,0.9989899444070832,0.0421991366725499,0.0036087719377226658,0.04580790861027257,0.0011540286239649319,515.659972831683,21548.527433944222,3.512809696354944
22,5.5,5.625,21600.0,906.6288067023802,93.83340379074689,1000.462210493127,0.9990000380849681,0.04177458870931434,0.003574867753768658,0.045349456463083,0.0011847747250135396,541.2255167325527,22527.096182593275,3.605999457764313
23,5.75,5.875,21600.0,900.0095995325778,93.17280777216145,993.1824073047393,0.9990073106351018,0.04146959657244855,0.003549700347389844,0.04501929691983839,0.00120753844732347,567.2824550463334,23498.547688232808,3.7006570607704976
24,6.0,6.125,21600.0,896.0485918844165,92.75682896661678,988.8054208510333,0.9990116832861371,0.0412870858644795,0.003533852374726409,0.04482093823920591,0.0012214169733793644,593.6389873002449,24465.72313289997,3.795276201394328
25,6.25,6.375,21600.0,894.7205451071965,92.59034052068404,987.3108856278805,0.9990131763454019,0.04122589366818598,0.003527509493058519,0.0447534031612445,0.0012260690146452286,620.0959438762161,25431.442704898604,3.8884219994112943
26,6.5,6.625,21600.0,896.0068807480995,92.67678603398029,988.6836667820799,0.999011804919882,0.04128516394720602,0.0035308028967448012,0.044815966843950825,0.0012214169733793644,646.4524793391429,26398.51099130031,3.9787521825205685
27,6.75,6.875,21600.0,899.9270718087599,93.02161398364618,992.9486857924061,0.9990075441246286,0.04146579395588252,0.0035439401620262325,0.045009734117908755,0.00120753844732347,672.5094237429913,27369.756372465537,4.065022077124126
28,7.0,7.125,21600.0,906.5072471574198,93.62999504206643,1000.1372421994862,0.9990003627283586,0.04176898762984623,0.003567118281330103,0.04533610591117634,0.0011847747250135396,698.0749759518535,28348.037355464596,4.146107629675996
29,7.25,7.375,21600.0,915.6848130400147,94.49852581427844,1010.1833388542931,0.9989903267245678,0.04219186084682741,0.0036002075920158853,0.0457920684388433,0.0011540286239649317,722.9768260853049,29336.147357144655,4.221072753755362
30,7.5,7.625,21600.0,927.153117827953,95.60113622272844,1022.7542540506814,0.9989777685808223,0.04272028406939379,0.0036422148755087423,0.046362498944902526,0.0011171527338467153,747.0826581821035,30336.55364116774,4.289291230434175
31,7.75,7.875,21600.0,940.1764687100684,96.87182643424092,1037.0482951443093,0.9989634892536016,0.04332035889902145,0.00369062566823982,0.04701098456726127,0.0010772378620367304,770.3268781198956,31350.938396181402,4.350606247154615
32,8.0,8.125,21600.0,953.4558045662218,98.19147695992949,1051.6472815261513,0.9989489055056802,0.04393222870684431,0.0037409017524480453,0.047673130459292355,0.0010385622299222616,792.7362431421118,32379.595660459137,4.405477662811536
33,8.25,8.375,21600.0,965.1727890365337,99.39051124180364,1064.5633002783372,0.9989360031462079,0.044472110302864874,0.003786582595482301,0.04825869289834717,0.0010060507889307995,814.4438187897348,33420.87432975934,4.455046361571733
34,8.5,8.625,21600.0,973.3211461754204,100.2778635883377,1073.599009763758,0.9989269770914675,0.044847560835229595,0.003820388971055435,0.04866794980628503,0.0009843301149826335,835.6825351640803,34470.97405415394,4.501057367671687
35,8.75,8.875,21600.0,976.2913778678866,100.69410066306698,1076.9854785309535,0.9989235942621867,0.044984419719931765,0.0038362467832657966,0.04882066650319756,0.0009766930951227992,856.7563975488166,35524.36535235918,4.545631145850431
36,9.0,9.125,21600.0,973.4601383453429,100.5668814670561,1074.027019812399,0.9989265495407749,0.04485396515493508,0.003831399982626508,0.04868536513756159,0.0009843301149826335,877.99510483278,36574.84039465512,4.590932154441803
37,9.25,9.375,21600.0,965.4418474873603,99.93747222348127,1065.3793197108416,0.9989351879953501,0.04448450766553299,0.0038074207309114435,0.04829192839644443,0.0010060507889308,899.7026627666067,37616.8353365965,4.6388238119177565
38,9.5,9.625,21600.0,953.8384950451402,98.94195501261223,1052.7804500577524,0.9989477735288571,0.04394986187406954,0.003769493487182826,0.047719355361252366,0.0010385622299222623,922.1120023952501,38646.488842511375,4.690602745494881
39,9.75,9.875,21600.0,940.6510206737408,97.76006257771529,1038.4110832514561,0.9989621278789665,0.04334222475300387,0.003724465714734558,0.04706669046773843,0.0010772378620367306,945.3561906561173,39662.074213767824,4.746874623592884
40,10.0,10.125,21600.0,927.6945455653425,96.56176355778567,1024.2563091231282,0.9989762680623248,0.042745231347572084,0.0036788128837313048,0.04642404423130339,0.0011171527338467153,969.4619865446557,40663.80701238605,4.807582735332103
41,10.25,10.375,21600.0,916.266537449944,95.47477795789715,1011.7413154078412,0.998988770322274,0.042218664868260786,0.0036374008746506373,0.04585606574291142,0.0011540286239649319,994.3637978816387,41653.296418517944,4.872149611923325
42,10.5,10.625,21600.0,907.1022147628142,94.57754583556141,1001.6797605983757,0.998998821753107,0.0417964018558525,0.0036032180990909195,0.04539961995494342,0.0011847747250135396,1019.9293106551967,42632.94642232733,4.939663882113918
43,10.75,10.875,21600.0,900.508590421097,93.90900008050987,994.4175905016068,0.9990060766788202,0.04149258849481356,0.003577747823420409,0.04507033631823397,0.00120753844732347,1045.9862167839049,43605.498083300605,5.009049644366468
44,11.0,11.125,21600.0,896.5493764787066,93.48404423484371,990.0334207135503,0.9990104565006807,0.04131016043513484,0.0035615578432206577,0.0448717182783555,0.0012214169733793644,1072.3427166720182,44573.76810374317,5.079183833537372
45,11.25,11.375,21600.0,895.2003291220237,93.30733494213821,988.507664064162,0.9990119807486902,0.0412480005985422,0.003554825567434384,0.044802826165976584,0.0012260690146452286,1098.7996415848932,45540.55300214534,5.1489581160846605
46,11.5,11.625,21600.0,896.4446230622033,93.3822466020458,989.8268696642491,0.9990106628473601,0.04130533372892612,0.00355767955403794,0.04486301328296406,0.0012214169733793644,1125.1561469169699,46508.635380707645,5.217302268711191
47,11.75,11.875,21600.0,900.3041851541499,93.71428256641373,994.0184677205636,0.9990064754049834,0.0414831701464293,0.003570329469890481,0.04505349961631978,0.00120753844732347,1151.213063445585,47480.824118405006,5.283194323578397
48,12.0,12.125,21600.0,906.8081960185544,94.30876978574854,1001.1169658043029,0.9989993839846014,0.04178285440178586,0.0035929782613077347,0.0453758326630936,0.0011847747250135396,1176.7785906072845,48459.96138217453,5.345683311167754
49,12.25,12.375,21600.0,915.897597943022,95.16254210367634,1011.0601400466983,0.9989894508090421,0.04220166530234545,0.0036255053039718466,0.045827170606317295,0.0011540286239649317,1201.6804189067736,49448.8279580911,5.403945785103345
50,12.5,12.625,21600.0,927.2696924375397,96.24983366998086,1023.5195261075205,0.9989770040913432,0.04272565545880192,0.003666928969769952,0.04639258442857187,0.0011171527338467153,1225.7862325560595,50449.8826581885,5.457385831460266
51,12.75,12.875,21600.0,940.1931827593586,97.50501210643813,1037.6981948657967,0.9989628400277191,0.04332112902956396,0.0037147487944426596,0.047035877824006624,0.0010772378620367304,1249.0304373874444,51464.80389062466,5.505767408382753
52,13.0,13.125,21600.0,953.3739451158215,98.80939305635593,1052.1833381721774,0.9989483700126238,0.04392845688220432,0.0037644431379079144,0.047692900020112235,0.0010385622299222616,1271.4397903969748,52493.88717692801,5.549341249866717
53,13.25,13.375,21600.0,964.999152048439,99.99390262781523,1064.9930546762541,0.9989355738491595,0.04446410965948276,0.00380957061810125,0.04827368027758401,0.0010060507889307995,1293.1473567156738,53535.48878154183,5.588910183409535
54,13.5,13.625,21600.0,973.0683388399704,100.86801915626934,1073.9363579962396,0.9989266401052742,0.044835912272573025,0.0038428727350912225,0.048678785007664246,0.0009843301149826335,1314.386065925177,54585.821940827474,5.625783556235959
55,13.75,13.875,21600.0,975.9774062054933,101.27282807406667,1077.25023427956,0.9989233297914577,0.044969952898487424,0.0038582951570455496,0.04882824805553297,0.0009766930951227992,1335.459922730488,55639.37654535463,5.661607160352795
56,14.0,14.125,21600.0,973.1070018985334,101.13638836451439,1074.2433902630478,0.9989263334026106,0.04483769374406144,0.003853097073012493,0.048690790817073934,0.0009843301149826335,1356.6986254190233,56689.96842920829,5.698102764512412
57,14.25,14.375,21600.0,965.0733430531687,100.50016967204604,1065.5735127252149,0.9989349940091337,0.0444675281463934,0.0038288583947149223,0.04829638654110832,0.0010060507889307995,1378.4061791373942,57732.059362170556,5.736786487493118
58,14.5,14.625,21600.0,953.4778687165579,99.50023962855222,1052.97810834511,0.9989475760785705,0.043933245353126336,0.0037907630307602897,0.04772400838388663,0.0010385622299222616,1400.8155143366464,58761.813064080634,5.77874258770484
59,14.75,14.875,21600.0,940.3191214155867,98.31613767728187,1038.6352590928686,0.9989619039358161,0.043326931884632804,0.0037456510800927987,0.0470725829647256,0.0010772378620367304,1424.0596973867287,59777.525353475605,5.824507775793916
60,15.0,15.125,21600.0,927.408750812464,97.11752713286423,1024.5262779453283,0.9989759983699147,0.04273206282902456,0.0036999863806205166,0.046432049209645075,0.0011171527338467153,1448.1654867674547,60779.43061213184,5.874080303262834
61,15.25,15.375,21600.0,916.0403104588781,96.03176828829348,1012.0720787471716,0.998988439893467,0.04220824104382805,0.003658621108499717,0.04586686215232777,0.0011540286239649319,1473.0672898678326,61769.15265752207,5.927025067458702
62,15.5,15.625,21600.0,906.9449940726018,95.13691969192053,1002.0819137645224,0.9989984200026486,0.04178915762356948,0.003624529140581633,0.04541368676415111,0.0011847747250135396,1498.6327923601407,62749.10580611793,5.982620581443924
63,15.75,15.875,21600.0,900.4257878453935,94.47152369747427,994.8973115428678,0.9990055974346999,0.041488773213941704,0.0035991788645825078,0.045087952078524215,0.00120753844732347,1524.6896859888056,63722.03712258949,6.039995802688278
64,16.0,16.125,21600.0,896.5424073511832,94.05008964068051,990.5924969918638,0.9990098979777887,0.04130983931977452,0.003583123057597912,0.04489296237737243,0.0012214169733793644,1551.0461711416292,64690.76501990355,6.098226943380132
65,16.25,16.375,21600.0,895.2666971784622,93.87688303629626,989.1435802147585,0.9990113454610391,0.04125105862873124,0.0035765242273334374,0.044827582856064675,0.0012260690146452286,1577.5030792301238,65658.0835193401,6.15638986606503
66,16.5,16.625,21600.0,896.57810701533,93.95490087707047,990.5330078924005,0.9990099574079897,0.041311484247418304,0.003579496553306226,0.04489098080072453,0.0012214169733793644,1603.859565950871,66626.76871460317,6.213580985525005
67,16.75,16.875,21600.0,900.4951508538963,94.28929556121054,994.7844464151069,0.9990057101876006,0.04149196924205203,0.0035922363317334245,0.04508420557378545,0.00120753844732347,1629.9164625204508,67599.6192968448,6.268927123626703
68,17.0,17.125,21600.0,907.0440205754973,94.88508108727564,1001.9291016627728,0.9989985726617086,0.041793720451707296,0.0036149345860783475,0.04540865503778564,0.0011847747250135396,1655.4819689194774,68579.4640187403,6.321605811739408
69,17.25,17.375,21600.0,916.1631664067695,95.7388243334388,1011.9019907402082,0.9989886098094342,0.04221390185744407,0.0036474605211655217,0.04586136237860959,0.0011540286239649319,1680.3837762553537,69569.06755750629,6.370894137017295
