threshold_keV,prompt_final_cps,delayed_final_cps,background_final_cps,signal_cps_at_reference_flux,Z20d,T3_day,T3_status,T5_day,T5_status,F3_20d_ph_cm2_s,source_counts,background_counts,raw_events,active_veto_pass_events,side_compton_fov_pass_events
50.0,0.053583655462880214,0.004236661808489603,0.05782031727136982,0.0011859546240751808,6.436069043726851,4.214226228893453,mission_internal_crossing,11.715309113084956,mission_internal_crossing,4.661230293860908e-05,2033.5455891021018,99831.23353737274,30716,30583,29964
60.0,0.053583655462880214,0.004261880033540136,0.05784553549642035,0.0011859546240751808,6.434747870773267,4.216224045243973,mission_internal_crossing,11.719261310605743,mission_internal_crossing,4.662187330798229e-05,2033.5455891021018,99872.23214943838,30716,30584,29965
70.0,0.053583655462880214,0.004261880033540136,0.05784553549642035,0.0011859546240751808,6.434747870773267,4.216224045243973,mission_internal_crossing,11.719261310605743,mission_internal_crossing,4.662187330798229e-05,2033.5455891021018,99872.23214943838,30716,30584,29965
80.0,0.053583655462880214,0.004261880033540136,0.05784553549642035,0.0011859546240751808,6.434747870773267,4.216224045243973,mission_internal_crossing,11.719261310605743,mission_internal_crossing,4.662187330798229e-05,2033.5455891021018,99872.23214943838,30716,30584,29965
100.0,0.054262402468757485,0.004261880033540136,0.058524282502297624,0.0011859546240751808,6.397152692530885,4.283186026617141,mission_internal_crossing,11.836884864463112,mission_internal_crossing,4.689586358478993e-05,2033.5455891021018,101049.55197206982,30716,30585,29966
