part,energy_keV,energy_label,mu_csi_cm_inv,mu_bgo_cm_inv,mu_csi_over_mu_bgo,csi_thickness_cm,bgo_thickness_cm,csi_efficiency,bgo_efficiency,relative_difference,abs_relative_difference,within_tolerance
side,511.0,annihilation_line,0.43121842494295587,0.953652858071438,0.4521754654151662,4.0,2.137,0.8218044435088622,0.8697052591728682,0.05828736512969403,0.05828736512969403,True
side,662.0,Cs137_reference,0.3476580542391637,0.7045086818029105,0.4934758977695929,4.0,2.137,0.7510821152324069,0.7781014654159335,0.03597389637638496,0.03597389637638496,True
side,1173.2,Co60_line,0.23773231431061512,0.4262020485449081,0.5577925191168238,4.0,2.137,0.6136181915150953,0.5977951639570924,-0.02578643817409324,0.02578643817409324,True
side,1332.5,Co60_line,0.22138832100136493,0.3910385621733405,0.5661547029298543,4.0,2.137,0.5875141117128112,0.5664071883813644,-0.0359258150751693,0.0359258150751693,True
side,1460.8,K40_background_line,0.21111389575642084,0.37026116447951535,0.5701756381963216,4.0,2.137,0.5702087198022359,0.5467212989140404,-0.04119091846989209,0.04119091846989209,True
side,1764.5,Bi214_background_line,0.19380237876063594,0.337005774205966,0.5750713892581282,4.0,2.137,0.5393927332623625,0.5133360034374137,-0.04830752848180232,0.04830752848180232,True
side,2614.5,Tl208_background_line,0.171484882722537,0.294855113882506,0.5815903291094703,4.0,2.137,0.49638315635210895,0.46746431969031976,-0.05825910144556886,0.05825910144556886,True
bottom,511.0,annihilation_line,0.43121842494295587,0.953652858071438,0.4521754654151662,5.999999999999998,3.287,0.9247779256834512,0.9564853207800905,0.03428649648314885,0.03428649648314885,True
bottom,662.0,Cs137_reference,0.3476580542391637,0.7045086818029105,0.4934758977695929,5.999999999999998,3.287,0.8758107075596782,0.9013049057165209,0.029109256071872747,0.029109256071872747,True
bottom,1173.2,Co60_line,0.23773231431061512,0.4262020485449081,0.5577925191168238,5.999999999999998,3.287,0.7598265446030545,0.7536313120608973,-0.008153482641743908,0.008153482641743908,True
bottom,1332.5,Co60_line,0.22138832100136493,0.3910385621733405,0.5661547029298543,5.999999999999998,3.287,0.7350806730662437,0.7234444997314913,-0.015829790880250494,0.015829790880250494,True
bottom,1460.8,K40_background_line,0.21111389575642084,0.37026116447951535,0.5701756381963216,5.999999999999998,3.287,0.7182354186308892,0.7038971585425378,-0.01996317602337585,0.01996317602337585,True
bottom,1764.5,Bi214_background_line,0.19380237876063594,0.337005774205966,0.5750713892581282,5.999999999999998,3.287,0.6873948144134762,0.6696947261336393,-0.025749522557774213,0.025749522557774213,True
bottom,2614.5,Tl208_background_line,0.171484882722537,0.294855113882506,0.5815903291094703,5.999999999999998,3.287,0.6426034381994867,0.6206093095462892,-0.03422659660026554,0.03422659660026554,True
top,511.0,annihilation_line,0.43121842494295587,0.953652858071438,0.4521754654151662,3.0,1.582,0.7257335705622199,0.7787979676349382,0.07311828916996332,0.07311828916996332,True
top,662.0,Cs137_reference,0.3476580542391637,0.7045086818029105,0.4934758977695929,3.0,1.582,0.6475949880601559,0.6719314618368663,0.03757977474410239,0.03757977474410239,True
top,1173.2,Co60_line,0.23773231431061512,0.4262020485449081,0.5577925191168238,3.0,1.582,0.509925051245276,0.49046240488992077,-0.03816766073332924,0.03816766073332924,True
top,1332.5,Co60_line,0.22138832100136493,0.3910385621733405,0.5661547029298543,3.0,1.582,0.4852968555237338,0.461314305560959,-0.04941830899953552,0.04941830899953552,True
top,1460.8,K40_background_line,0.21111389575642084,0.37026116447951535,0.5701756381963216,3.0,1.582,0.4691849838511436,0.4433135712976043,-0.055141177667671105,0.055141177667671105,True
top,1764.5,Bi214_background_line,0.19380237876063594,0.337005774205966,0.5750713892581282,3.0,1.582,0.44088893269179175,0.4132421906240388,-0.06270681801640898,0.06270681801640898,True
top,2614.5,Tl208_background_line,0.171484882722537,0.294855113882506,0.5815903291094703,3.0,1.582,0.4021734684705661,0.3727817985274915,-0.0730820709154406,0.0730820709154406,True
