case_id,time_bin_id,day_mid,elapsed_stop_day,dt_s,T_atm_vertical,T_atm_slant,science_scale_to_day15,accidental_live_factor,source_cps,background_cps,cumulative_source_counts,cumulative_background_counts,counting_Z
w2_hard_window,0,0.0,0.125,10800.0,0.7390423888027,0.6520342542373311,1.0,0.9991915649390216,0.0010412634474592476,0.062191635092418804,11.245645232559873,671.669658998123,0.43391684825488486
w2_hard_window,1,0.25,0.375,21600.0,0.7634373037471879,0.6826789626589138,1.0469986173616401,0.9991956329271605,0.0010902058283136205,0.06174267098666493,34.79409112413408,2005.3113523100856,0.7769884988414459
w2_hard_window,2,0.5,0.625,21600.0,0.7837771116149006,0.7085421765182374,1.0866640393716773,0.999202353579857,0.0011315157611283462,0.06119830136583741,59.23483156450635,3327.1946618121738,1.0269234060473154
w2_hard_window,3,0.75,0.875,21600.0,0.7988362482971733,0.7278710495576816,1.116307992758839,0.9992071267330086,0.0011623888121751597,0.0608109381449884,84.3424299074898,4640.710925743923,1.2380946603265894
w2_hard_window,4,1.0,1.125,21600.0,0.808017462949973,0.7397298852634182,1.134495435563677,0.999209800730977,0.001181330187889675,0.06058989044884011,109.85916196590678,5949.45255943887,1.4242878806568042
w2_hard_window,5,1.25,1.375,21600.0,0.8110949791979928,0.7437174703023954,1.1406110422408775,0.9992103382319295,0.001187698900694189,0.06053654877756276,135.51345822090127,7257.042013034225,1.5907524825801773
w2_hard_window,6,1.5,1.625,21600.0,0.808017462949973,0.7397298852634182,1.134495435563677,0.9992087139928202,0.0011813289030778266,0.06065180136105363,161.03016252738232,8567.120922432983,1.7397617680536093
w2_hard_window,7,1.75,1.875,21600.0,0.7988362482971733,0.7278710495576816,1.116307992758839,0.9992048810757761,0.001162386199777016,0.060938484825539,186.13770444256585,9883.392194664626,1.8723254427709135
w2_hard_window,8,2.0,2.125,21600.0,0.7837771116149004,0.708542176518237,1.0866640393716767,0.9991987946943498,0.0011315117309786675,0.061399469515147805,210.57835783170506,11209.620736191819,1.9889243971297736
w2_hard_window,9,2.25,2.375,21600.0,0.7634373037471877,0.6826789626589136,1.04699861736164,0.9991904934660921,0.0010902002207326556,0.06203136711800566,234.12668259953043,12549.498265940741,2.089958825406058
w2_hard_window,10,2.5,2.625,21600.0,0.7390423888027,0.6520342542373311,1.0,0.999180234141527,0.0010412516395680725,0.06281415404750536,256.6177180142008,13906.283993366857,2.176111236822739
w2_hard_window,11,2.75,2.875,21600.0,0.7126370627291281,0.6193334023908916,0.9498479541006801,0.9991686529702037,0.000989019276015862,0.06369876742591112,277.98053437614345,15282.177369766538,2.2486495043303796
w2_hard_window,12,3.0,3.125,21600.0,0.6870515445807625,0.58812289446444,0.9019815916762737,0.9991568830053399,0.0009391678620507955,0.06459809715108836,298.26656019644065,16677.496268230047,2.3096125970698225
w2_hard_window,13,3.25,3.375,21600.0,0.6655438918795834,0.5622559937833749,0.8623105153287266,0.9991465150060428,0.0008978519372505572,0.06538999047073034,317.6601620410527,18089.92006239782,2.361807129298305
w2_hard_window,14,3.5,3.625,21600.0,0.6511747745022454,0.5451657636924687,0.8360998830193915,0.99913930626461,0.0008705547133875588,0.06593960082198952,336.46414385022393,19514.215440152795,2.4085920117721136
w2_hard_window,15,3.75,3.875,21600.0,0.6461225723909806,0.539193661275189,0.8269406979329191,0.9991366669686179,0.0008610158131100575,0.06613879489817809,355.0620854134012,20942.813409953444,2.453504098665818
