selection_id,background_final_cps_day15,background_final_upper95_cps_day15,response_cps_per_ph_cm2_s,response_lower95_cps_per_ph_cm2_s,analysis_case_id,source_case_id,source_class,model_id,flux_ph_cm2_s,duration_s,final_rate_day15_cps,final_rate_lower95_day15_cps
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,3e-05,,0.00035484056077336295,0.0003530034685678021
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,A_point_broad_480_550_F5e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,5e-05,,0.0005914009346222716,0.0005883391142796702
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,A_point_broad_480_550_F8e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,8e-05,,0.0009462414953956346,0.0009413425828474723
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,A_point_broad_480_550_F0.0001,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,0.0001,,0.0011828018692445431,0.0011766782285593403
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,A_point_broad_480_550_F0.00015,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,0.00015,,0.0017742028038668144,0.0017650173428390102
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,A_point_broad_480_550_F0.0002,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,0.0002,,0.0023656037384890863,0.0023533564571186806
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,A_point_broad_480_550_F0.0003,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,0.0003,,0.0035484056077336287,0.0035300346856780205
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,B_diffuse_proxy_broad_480_550,B_GC_DIFFUSE_BULGE_DISK_PROXY,extended_steady,routeB_fov_flux_proxy,6.26238e-07,,7.407154769919642e-06,7.368806204965441e-06
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.0001_T3600s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.0001,3600.0,0.0011828018692445431,0.0011766782285593403
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.0001_T21600s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.0001,21600.0,0.0011828018692445431,0.0011766782285593403
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.0001_T86400s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.0001,86400.0,0.0011828018692445431,0.0011766782285593403
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.0001_T259200s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.0001,259200.0,0.0011828018692445431,0.0011766782285593403
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.0003_T3600s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.0003,3600.0,0.0035484056077336287,0.0035300346856780205
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.0003_T21600s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.0003,21600.0,0.0035484056077336287,0.0035300346856780205
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.0003_T86400s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.0003,86400.0,0.0035484056077336287,0.0035300346856780205
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.0003_T259200s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.0003,259200.0,0.0035484056077336287,0.0035300346856780205
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.001_T3600s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.001,3600.0,0.011828018692445432,0.011766782285593403
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.001_T21600s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.001,21600.0,0.011828018692445432,0.011766782285593403
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.001_T86400s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.001,86400.0,0.011828018692445432,0.011766782285593403
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.001_T259200s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.001,259200.0,0.011828018692445432,0.011766782285593403
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.003_T3600s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.003,3600.0,0.03548405607733629,0.035300346856780206
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.003_T21600s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.003,21600.0,0.03548405607733629,0.035300346856780206
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.003_T86400s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.003,86400.0,0.03548405607733629,0.035300346856780206
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.003_T259200s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.003,259200.0,0.03548405607733629,0.035300346856780206
w2_510p58_511p42,0.00610607963250202,0.048064935550823445,11.812055376847269,11.75070086974427,A_point_w2_510p58_511p42_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,3e-05,,0.00035436166130541806,0.0003525210260923281
