source_name,flux_Bq
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_13028_z007,0.109063742
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_13028_z008,0.109063742
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_13028_z009,0.218127485
S_CsI_Side_Segment_03_below_side_port_53128_z000,0.0545318713
S_CsI_Side_Segment_03_below_side_port_53128_z001,0.0545318713
S_CsI_Side_Segment_03_below_side_port_53128_z002,0.109063742
S_CsI_Side_Segment_03_below_side_port_53128_z003,0.381723098
S_CsI_Side_Segment_03_below_side_port_53128_z004,0.218127485
S_CsI_Side_Segment_03_below_side_port_53128_z005,0.163595613
S_CsI_Side_Segment_03_below_side_port_53128_z006,0.109063742
S_CsI_Side_Segment_03_below_side_port_53128_z007,0.109063742
S_CsI_Side_Segment_03_below_side_port_53128_z008,0.163595613
S_CsI_Side_Segment_03_below_side_port_53128_z009,0.0545318713
S_CsI_TopAnnulus_Segment_01_53128_z000,0.163595613
S_CsI_TopAnnulus_Segment_01_53128_z001,0.109063742
S_CsI_TopAnnulus_Segment_01_53128_z002,0.163595613
S_CsI_TopAnnulus_Segment_01_53128_z003,0.163595613
S_CsI_TopAnnulus_Segment_01_53128_z004,0.109063742
S_CsI_TopAnnulus_Segment_01_53128_z005,0.163595613
S_CsI_TopAnnulus_Segment_01_53128_z006,0.163595613
S_CsI_TopAnnulus_Segment_01_53128_z007,0.0545318713
S_CsI_TopAnnulus_Segment_01_53128_z008,0.109063742
S_CsI_TopAnnulus_Segment_01_53128_z009,0.163595613
S_Passive_W_Bottom_Plate_detector_bay_74187_z000,0.163591021
S_Passive_W_Bottom_Plate_detector_bay_74187_z001,0.10906068
S_Passive_W_Bottom_Plate_detector_bay_74187_z002,0.163591021
S_Passive_W_Bottom_Plate_detector_bay_74187_z003,0.163591021
S_Passive_W_Bottom_Plate_detector_bay_74187_z004,0.0545303401
S_Passive_W_Bottom_Plate_detector_bay_74187_z005,0.163591021
S_Passive_W_Bottom_Plate_detector_bay_74187_z006,0.0545303401
S_Passive_W_Bottom_Plate_detector_bay_74187_z007,0.21812136
S_Passive_W_Bottom_Plate_detector_bay_74187_z008,0.163591021
S_Passive_W_Bottom_Plate_detector_bay_74187_z009,0.0545303401
S_CsI_TopAnnulus_Segment_07_53128_z000,0.0545318713
