particle,down_flux_cm2_s,up_flux_cm2_s,total_flux_cm2_s,main_omni_integral_cm2_s,fullsphere_to_main_ratio
gamma,1.186751447069e+00,3.612910130717e+00,4.799661577785e+00,4.788222850296e+00,1.00238893
n,1.245928402656e-01,3.376463419640e-01,4.622391822296e-01,4.617035109476e-01,1.00116021
p,8.926878476716e-02,2.303193686417e-02,1.123007216313e-01,1.118753844839e-01,1.00380188
alpha,1.122378657463e-02,2.633098756007e-04,1.148709645023e-02,1.148815857945e-02,0.99990755
eminus,7.748130318558e-02,1.215207413866e-01,1.990020445721e-01,1.982069175876e-01,1.00401160
eplus,4.821807714859e-02,6.876246857417e-02,1.169805457228e-01,1.162721548026e-01,1.00609252
muminus,4.133255593591e-03,8.356744287836e-04,4.968930022375e-03,4.960215847951e-03,1.00175681
muplus,4.648428808680e-03,9.215829573819e-04,5.570011766062e-03,5.560159877590e-03,1.00177187
