component_name,particle,bin_id,direction_tag,theta_min_deg,theta_max_deg,theta_mid_deg,mu_high,mu_low,mu_mid,delta_omega_sr,black_hole_mode,energy_unit_raw,energy_unit_cosima,flux_unit_raw,integral_per_sr_cm2_s,flux_cm2_s,raw_spectrum_path,cosima_spectrum_path,source_file,expacs_lat_deg,expacs_lon_deg,expacs_altitude_km,expacs_Rc_GV,W_or_date
Atm_gamma_bin11_up,gamma,11,atm_up_albedo_like,95.739170,101.536959,98.626927,-0.100000,-0.200000,-0.150000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,6.637046959063e-01,4.170179593624e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin11_theta98.63_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin11_theta98.63_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin12_up,gamma,12,atm_up_albedo_like,101.536959,107.457603,104.477512,-0.200000,-0.300000,-0.250000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,6.200654473285e-01,3.895986108144e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin12_theta104.48_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin12_theta104.48_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin13_up,gamma,13,atm_up_albedo_like,107.457603,113.578178,110.487315,-0.300000,-0.400000,-0.350000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.885450647189e-01,3.697937703255e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin13_theta110.49_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin13_theta110.49_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin14_up,gamma,14,atm_up_albedo_like,113.578178,120.000000,116.743684,-0.400000,-0.500000,-0.450000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.638182634444e-01,3.542574628794e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin14_theta116.74_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin14_theta116.74_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin15_up,gamma,15,atm_up_albedo_like,120.000000,126.869898,123.367013,-0.500000,-0.600000,-0.550000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.436232203254e-01,3.415685430590e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin15_theta123.37_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin15_theta123.37_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin16_up,gamma,16,atm_up_albedo_like,126.869898,134.427004,130.541602,-0.600000,-0.700000,-0.650000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.267651324799e-01,3.309762940732e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin16_theta130.54_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin16_theta130.54_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin17_up,gamma,17,atm_up_albedo_like,134.427004,143.130102,138.590378,-0.700000,-0.800000,-0.750000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.125278296904e-01,3.220307329032e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin17_theta138.59_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin17_theta138.59_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin18_up,gamma,18,atm_up_albedo_like,143.130102,154.158067,148.211669,-0.800000,-0.900000,-0.850000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.004446529640e-01,3.144386490560e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin18_theta148.21_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin18_theta148.21_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin19_up,gamma,19,atm_up_albedo_like,154.158067,180.000000,161.805128,-0.900000,-1.000000,-0.950000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,4.901928629095e-01,3.079972593917e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin19_theta161.81_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin19_theta161.81_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin00_down,n,00,atm_down,0.000000,25.841933,18.194872,1.000000,0.900000,0.950000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,9.735023159573e-03,6.116695448128e-03,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin00_theta18.19_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin00_theta18.19_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
