particle,bin_id,theta_mid_deg,rows_seen,numeric_rows,rows_kept,rows_dropped,pdf_integral,raw_spectrum_path,cosima_spectrum_path
n,05,63.256316,143,140,140,3,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin05_theta63.26_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin05_theta63.26_pdf.dat
n,06,69.512685,143,140,140,3,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin06_theta69.51_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin06_theta69.51_pdf.dat
n,07,75.522488,143,140,140,3,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin07_theta75.52_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin07_theta75.52_pdf.dat
n,08,81.373073,143,140,140,3,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin08_theta81.37_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin08_theta81.37_pdf.dat
n,09,87.134016,143,140,140,3,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin09_theta87.13_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin09_theta87.13_pdf.dat
n,10,92.865984,143,140,140,3,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin10_theta92.87_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin10_theta92.87_pdf.dat
n,11,98.626927,143,140,140,3,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin11_theta98.63_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin11_theta98.63_pdf.dat
n,12,104.477512,143,140,140,3,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin12_theta104.48_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin12_theta104.48_pdf.dat
n,13,110.487315,143,140,140,3,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin13_theta110.49_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin13_theta110.49_pdf.dat
n,14,116.743684,143,140,140,3,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin14_theta116.74_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin14_theta116.74_pdf.dat
n,15,123.367013,143,140,140,3,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin15_theta123.37_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin15_theta123.37_pdf.dat
n,16,130.541602,143,140,140,3,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin16_theta130.54_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin16_theta130.54_pdf.dat
n,17,138.590378,143,140,140,3,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin17_theta138.59_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin17_theta138.59_pdf.dat
n,18,148.211669,143,140,140,3,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin18_theta148.21_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin18_theta148.21_pdf.dat
n,19,161.805128,143,140,140,3,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin19_theta161.81_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin19_theta161.81_pdf.dat
p,00,18.194872,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin00_theta18.19_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin00_theta18.19_pdf.dat
p,01,31.788331,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin01_theta31.79_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin01_theta31.79_pdf.dat
p,02,41.409622,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin02_theta41.41_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin02_theta41.41_pdf.dat
p,03,49.458398,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin03_theta49.46_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin03_theta49.46_pdf.dat
p,04,56.632987,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin04_theta56.63_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin04_theta56.63_pdf.dat
p,05,63.256316,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin05_theta63.26_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin05_theta63.26_pdf.dat
p,06,69.512685,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin06_theta69.51_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin06_theta69.51_pdf.dat
p,07,75.522488,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin07_theta75.52_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin07_theta75.52_pdf.dat
p,08,81.373073,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin08_theta81.37_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin08_theta81.37_pdf.dat
p,09,87.134016,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin09_theta87.13_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin09_theta87.13_pdf.dat
p,10,92.865984,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin10_theta92.87_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin10_theta92.87_pdf.dat
p,11,98.626927,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin11_theta98.63_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin11_theta98.63_pdf.dat
p,12,104.477512,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin12_theta104.48_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin12_theta104.48_pdf.dat
p,13,110.487315,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin13_theta110.49_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin13_theta110.49_pdf.dat
p,14,116.743684,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin14_theta116.74_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin14_theta116.74_pdf.dat
p,15,123.367013,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin15_theta123.37_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin15_theta123.37_pdf.dat
