cut_id,time_bin_id,day_mid,elapsed_stop_day,dt_s,prompt_scale_to_day15,delayed_activity_scale_to_day15,science_atm_scale_to_day15,accidental_live_factor,source_cps,background_cps,cumulative_source_counts,cumulative_background_counts,counting_Z
spot_r50,0,0.0,0.125,10800.0,0.9995980883233027,0.8166422129915613,1.0,0.9992367455821493,0.0005307726458759788,0.010032928782052156,5.732344575460571,108.35563084616328,0.5506891829180456
spot_r50,1,0.25,0.375,21600.0,0.987358392119787,0.8868323446153292,1.033008816969226,0.9992446971269093,0.0005482971861010536,0.010031640144316385,17.57556379524333,325.0390579633972,0.9748582919289349
spot_r50,2,0.5,0.625,21600.0,0.9775859608713237,0.8950840274154916,1.0605306589851686,0.9992518746502125,0.0005629091865695738,0.009958221015793658,29.734402225146123,540.1366319045402,1.2794030919482242
spot_r50,3,0.75,0.875,21600.0,0.9706063435772849,0.9013472163170664,1.0809072123607733,0.9992569945649767,0.0005737276070898296,0.00990634335837911,42.126918538286446,754.113648445529,1.5340562782927067
spot_r50,4,1.0,1.125,21600.0,0.9664823980807905,0.9070605659495687,1.093330335569814,0.9992599848013027,0.0005803233312753663,0.009878739729688769,54.66190249383436,967.4944266068063,1.7573590699955188
spot_r50,5,1.25,1.375,21600.0,0.9651818096122368,0.9130708393590858,1.0974945300661616,0.9992608548624698,0.000582534130424864,0.009876409073701312,67.24463971101142,1180.8248625987546,1.9568832984062672
spot_r50,6,1.5,1.625,21600.0,0.9666800367242471,0.919978356298864,1.093330335569814,0.9992596127161933,0.0005803231151857866,0.009900045055179758,79.77961899902441,1394.6658357906374,2.136273615756786
spot_r50,7,1.75,1.875,21600.0,0.9709942780162459,0.9282519086879755,1.0809072123607733,0.9992562373564784,0.0005737271723353848,0.009950508753525109,92.17212592146872,1609.5968248667798,2.2974234579325974
spot_r50,8,2.0,2.125,21600.0,0.9781496956660047,0.938248797593042,1.0605306589851682,0.9992507037591164,0.0005629085269707565,0.010028562025632968,104.33095010403706,1826.213764620452,2.4413910966612886
spot_r50,9,2.25,2.375,21600.0,0.9880765706559972,0.950156841241034,1.0330088169692258,0.9992430609296873,0.0005482962883006095,0.010133875451643501,116.17414993133022,2045.1054743759514,2.568926316350584
spot_r50,10,2.5,2.625,21600.0,1.0004427595978038,0.9638673168950146,1.0,0.9992335596104209,0.0005307709535576654,0.010263362982915065,127.63880252817579,2266.7941148069167,2.680875729038646
spot_r50,11,2.75,2.875,21600.0,1.0144542423095344,0.9788100879252475,0.9642708909886071,0.9992228045350435,0.0005118014715531463,0.010409179073027906,138.69371431372375,2491.6323827843194,2.7785281156235793
spot_r50,12,3.0,3.125,21600.0,1.0287105093605544,0.9938295704559229,0.9296510660150816,0.9992118648813025,0.000493421069704922,0.010557260162352219,149.35160941935007,2719.6692022911275,2.8638605383952718
spot_r50,13,3.25,3.375,21600.0,1.0412526482439335,1.0072266405510906,0.9005490103995397,0.9992022374938281,0.0004779702739816556,0.010687811688371131,159.67576733735382,2950.525934759944,2.9396071408173663
spot_r50,14,3.5,3.625,21600.0,1.0499213172045039,1.017075533707782,0.8811061237734871,0.9991955732290426,0.00046764775895309006,0.010778935307519447,169.77695893074056,3183.3509374023643,3.009099100778345
spot_r50,15,3.75,3.875,21600.0,1.0529876305340695,1.0217897703330654,0.8742699771764703,0.9991931945935496,0.0004640183642199379,0.010813031319120774,179.79975559789122,3416.912413895373,3.075899728427959
spot_r50,16,4.0,4.125,21600.0,1.049788246378433,1.0207036967021816,0.8811061237734871,0.9991956099901568,0.00046764777615818293,0.010783260973780797,189.90094756290796,3649.830850929038,3.1433356844916074
spot_r50,17,4.25,4.375,21600.0,1.0409953666214347,1.0143400193300862,0.9005490103995397,0.9992023068586722,0.0004779703071624595,0.01069632444095526,200.2251061976171,3880.871458853672,3.2140594344419826
spot_r50,18,4.5,4.625,21600.0,1.0283453370546611,1.0041966979139239,0.9296510660150816,0.9992119586395836,0.0004934211160037231,0.010569752954823722,210.8830023032975,4109.178122677864,3.289759064971393
spot_r50,19,4.75,4.875,21600.0,1.0140028088714788,0.9921980052453557,0.9642708909886073,0.9992229105248814,0.0005118015258410937,0.010425489281889508,221.93791526146512,4334.368691166677,3.371076258073311
spot_r50,20,5.0,5.125,21600.0,0.999929891698667,0.980132313537703,1.0,0.9992336617266929,0.0005307710077995896,0.010283491266658501,233.40256902993625,4556.492102526501,3.4577239732731577
spot_r50,21,5.25,5.375,21600.0,0.9875286583143214,0.9693193814980173,1.033008816969226,0.9992431390483528,0.0005482963311652299,0.01015808487815498,245.2457697831052,4775.906735894649,3.5487352985887113
spot_r50,22,5.5,5.625,21600.0,0.9775935432010111,0.9605490996101151,1.0605306589851686,0.9992507336341683,0.0005629085438002885,0.01005745216282399,257.4045943291914,4993.147702611646,3.6427476579952134
spot_r50,23,5.75,5.875,21600.0,0.9704562295148899,0.9541951898930083,1.0809072123607733,0.9992561904905989,0.0005737271454271429,0.009985076520473384,269.7971006704177,5208.825355453871,3.7382417203660774
spot_r50,24,6.0,6.125,21600.0,0.9661851811290609,0.9503844482139245,1.093330335569814,0.9992594560960656,0.0005803230242281622,0.009941752885903836,282.332077993746,5423.567217789394,3.8336963475098527
spot_r50,25,6.25,6.375,21600.0,0.9647531838829096,0.9491437887488722,1.0974945300661616,0.9992605503489757,0.0005825339529041469,0.009927283329167572,294.91481137647554,5637.996537699413,3.927662679268851
